Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,abanteo,abanteo,abanteo,abanteio,I advance
Active Indicative,Present,1st Person,Plural,abanteamus,abantemus,abanteimus,abanteimus,We advance
Active Indicative,Present,2nd Person,Singular,abanteas,abantes,abanteis,abanteis,You advance
Active Indicative,Present,2nd Person,Plural,abanteatis,abantetis,abanteitis,abanteitis,You (pl.) advance
Active Indicative,Present,3rd Person,Singular,abanteat,abantet,abanteit,abanteit,He/she/it advance
Active Indicative,Present,3rd Person,Plural,abanteant,abantent,abanteiunt,abanteiunt,They advance
Active Indicative,Imperfect,1st Person,Singular,abanteabam,abantebam,abantebam,abanteiebam,I was advanceing
Active Indicative,Imperfect,1st Person,Plural,abanteabamus,abantebamus,abantebamus,abanteiebamus,We were advanceing
Active Indicative,Imperfect,2nd Person,Singular,abanteabas,abantebas,abantebas,abanteiebas,You were advanceing
Active Indicative,Imperfect,2nd Person,Plural,abanteabatis,abantebatis,abantebatis,abanteiebatis,You (pl.) were advanceing
Active Indicative,Imperfect,3rd Person,Singular,abanteabat,abantebat,abantebat,abanteiebat,He/she/it was advanceing
Active Indicative,Imperfect,3rd Person,Plural,abanteabant,abantebant,abantebant,abanteiebant,They were advanceing
Active Indicative,Future,1st Person,Singular,abanteabo,abantebo,abanteam,abanteiam,I will advance
Active Indicative,Future,1st Person,Plural,abanteabimus,abantebimus,abantemus,abanteiemus,We will advance
Active Indicative,Future,2nd Person,Singular,abanteabis,abantebis,abantes,abanteies,You will advance
Active Indicative,Future,2nd Person,Plural,abanteabitis,abantebitis,abantetis,abanteietis,You (pl.) will advance
Active Indicative,Future,3rd Person,Singular,abanteabit,abantebit,abantet,abanteiet,He/she/it will advance
Active Indicative,Future,3rd Person,Plural,abanteabunt,abantebunt,abantent,abanteient,They will advance
Active Indicative,Perfect,1st Person,Singular,abanteavi,abanteui,abantei,abantei,I have advanceed
Active Indicative,Perfect,1st Person,Plural,abanteavimus,abanteuimus,abanteimus,abanteimus,We have advanceed
Active Indicative,Perfect,2nd Person,Singular,abanteavisti,abanteuisti,abanteisti,abanteisti,You have advanceed
Active Indicative,Perfect,2nd Person,Plural,abanteavistis,abanteuistis,abanteistis,abanteistis,You (pl.) have advanceed
Active Indicative,Perfect,3rd Person,Singular,abanteavit,abanteuit,abanteit,abanteit,He/she/it has advanceed
Active Indicative,Perfect,3rd Person,Plural,abanteaverunt,abanteuerunt,abanterunt,abanterunt,They have advanceed
Active Indicative,Pluperfect,1st Person,Singular,abanteaveram,abanteueram,abanteram,abanteram,I had advanceed
Active Indicative,Pluperfect,1st Person,Plural,abanteaveramus,abanteueramus,abanteramus,abanteramus,We had advanceed
Active Indicative,Pluperfect,2nd Person,Singular,abanteaveras,abanteueras,abanteras,abanteras,You had advanceed
Active Indicative,Pluperfect,2nd Person,Plural,abanteaveratis,abanteueratis,abanteratis,abanteratis,You (pl.) had advanceed
Active Indicative,Pluperfect,3rd Person,Singular,abanteaverat,abanteuerat,abanterat,abanterat,He/she/it had advanceed
Active Indicative,Pluperfect,3rd Person,Plural,abanteaverant,abanteuerant,abanterant,abanterant,They had advanceed
Active Indicative,Future Perfect,1st Person,Singular,abanteavero,abanteueero,abantero,abanteiero,I will have advanceed
Active Indicative,Future Perfect,1st Person,Plural,abanteaverimus,abanteuerimus,abanterimus,abanteierimus,We will have advanceed
Active Indicative,Future Perfect,2nd Person,Singular,abanteaveris,abanteueris,abanteris,abanteieris,You will have advanceed
Active Indicative,Future Perfect,2nd Person,Plural,abanteaveritis,abanteueritis,abanteritis,abanteieritis,You (pl.) will have advanceed
Active Indicative,Future Perfect,3rd Person,Singular,abanteaverit,abanteuerit,abanterit,abanteierit,He/she/it will have advanceed
Active Indicative,Future Perfect,3rd Person,Plural,abanteaverint,abanteuerint,abanterint,abanteierint,They will have advanceed
Passive Indicative,Present,1st Person,Singular,abanteor,abanteor,abanteor,abanteior,I am being advanceed
Passive Indicative,Present,1st Person,Plural,abanteamur,abantemur,abanteimur,abanteimur,We are being advanceed
Passive Indicative,Present,2nd Person,Singular,abantearis,abanteris,abanteiris,abanteiris,You are being advanceed
Passive Indicative,Present,2nd Person,Plural,abanteamini,abantemini,abanteimini,abanteimini,You (pl.) are being advanceed
Passive Indicative,Present,3rd Person,Singular,abanteatur,abantetur,abanteitur,abanteitur,He/she/it is being advanceed
Passive Indicative,Present,3rd Person,Plural,abanteantur,abantentur,abanteiuntur,abanteiuntur,They are being advanceed
Passive Indicative,Imperfect,1st Person,Singular,abanteabar,abantebar,abantebar,abanteiebar,I was advanceed
