Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,abbello,abbelleo,abbello,abbellio,I embellish
Active Indicative,Present,1st Person,Plural,abbellamus,abbellemus,abbellimus,abbellimus,We embellish
Active Indicative,Present,2nd Person,Singular,abbellas,abbelles,abbellis,abbellis,You embellish
Active Indicative,Present,2nd Person,Plural,abbellatis,abbelletis,abbellitis,abbellitis,You (pl.) embellish
Active Indicative,Present,3rd Person,Singular,abbellat,abbellet,abbellit,abbellit,He/she/it embellish
Active Indicative,Present,3rd Person,Plural,abbellant,abbellent,abbelliunt,abbelliunt,They embellish
Active Indicative,Imperfect,1st Person,Singular,abbellabam,abbellebam,abbellebam,abbelliebam,I was embellishing
Active Indicative,Imperfect,1st Person,Plural,abbellabamus,abbellebamus,abbellebamus,abbelliebamus,We were embellishing
Active Indicative,Imperfect,2nd Person,Singular,abbellabas,abbellebas,abbellebas,abbelliebas,You were embellishing
Active Indicative,Imperfect,2nd Person,Plural,abbellabatis,abbellebatis,abbellebatis,abbelliebatis,You (pl.) were embellishing
Active Indicative,Imperfect,3rd Person,Singular,abbellabat,abbellebat,abbellebat,abbelliebat,He/she/it was embellishing
Active Indicative,Imperfect,3rd Person,Plural,abbellabant,abbellebant,abbellebant,abbelliebant,They were embellishing
Active Indicative,Future,1st Person,Singular,abbellabo,abbellebo,abbellam,abbelliam,I will embellish
Active Indicative,Future,1st Person,Plural,abbellabimus,abbellebimus,abbellemus,abbelliemus,We will embellish
Active Indicative,Future,2nd Person,Singular,abbellabis,abbellebis,abbelles,abbellies,You will embellish
Active Indicative,Future,2nd Person,Plural,abbellabitis,abbellebitis,abbelletis,abbellietis,You (pl.) will embellish
Active Indicative,Future,3rd Person,Singular,abbellabit,abbellebit,abbellet,abbelliet,He/she/it will embellish
Active Indicative,Future,3rd Person,Plural,abbellabunt,abbellebunt,abbellent,abbellient,They will embellish
Active Indicative,Perfect,1st Person,Singular,abbellavi,abbellui,abbelli,abbelli,I have embellished
Active Indicative,Perfect,1st Person,Plural,abbellavimus,abbelluimus,abbellimus,abbellimus,We have embellished
Active Indicative,Perfect,2nd Person,Singular,abbellavisti,abbelluisti,abbellisti,abbellisti,You have embellished
Active Indicative,Perfect,2nd Person,Plural,abbellavistis,abbelluistis,abbellistis,abbellistis,You (pl.) have embellished
Active Indicative,Perfect,3rd Person,Singular,abbellavit,abbelluit,abbellit,abbellit,He/she/it has embellished
Active Indicative,Perfect,3rd Person,Plural,abbellaverunt,abbelluerunt,abbellerunt,abbellerunt,They have embellished
Active Indicative,Pluperfect,1st Person,Singular,abbellaveram,abbellueram,abbelleram,abbelleram,I had embellished
