Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,abbibero,abbibereo,abbibero,abbiberio,I water
Active Indicative,Present,1st Person,Plural,abbiberamus,abbiberemus,abbiberimus,abbiberimus,We water
Active Indicative,Present,2nd Person,Singular,abbiberas,abbiberes,abbiberis,abbiberis,You water
Active Indicative,Present,2nd Person,Plural,abbiberatis,abbiberetis,abbiberitis,abbiberitis,You (pl.) water
Active Indicative,Present,3rd Person,Singular,abbiberat,abbiberet,abbiberit,abbiberit,He/she/it water
Active Indicative,Present,3rd Person,Plural,abbiberant,abbiberent,abbiberiunt,abbiberiunt,They water
Active Indicative,Imperfect,1st Person,Singular,abbiberabam,abbiberebam,abbiberebam,abbiberiebam,I was watering
Active Indicative,Imperfect,1st Person,Plural,abbiberabamus,abbiberebamus,abbiberebamus,abbiberiebamus,We were watering
Active Indicative,Imperfect,2nd Person,Singular,abbiberabas,abbiberebas,abbiberebas,abbiberiebas,You were watering
Active Indicative,Imperfect,2nd Person,Plural,abbiberabatis,abbiberebatis,abbiberebatis,abbiberiebatis,You (pl.) were watering
Active Indicative,Imperfect,3rd Person,Singular,abbiberabat,abbiberebat,abbiberebat,abbiberiebat,He/she/it was watering
Active Indicative,Imperfect,3rd Person,Plural,abbiberabant,abbiberebant,abbiberebant,abbiberiebant,They were watering
Active Indicative,Future,1st Person,Singular,abbiberabo,abbiberebo,abbiberam,abbiberiam,I will water
Active Indicative,Future,1st Person,Plural,abbiberabimus,abbiberebimus,abbiberemus,abbiberiemus,We will water
Active Indicative,Future,2nd Person,Singular,abbiberabis,abbiberebis,abbiberes,abbiberies,You will water
Active Indicative,Future,2nd Person,Plural,abbiberabitis,abbiberebitis,abbiberetis,abbiberietis,You (pl.) will water
Active Indicative,Future,3rd Person,Singular,abbiberabit,abbiberebit,abbiberet,abbiberiet,He/she/it will water
Active Indicative,Future,3rd Person,Plural,abbiberabunt,abbiberebunt,abbiberent,abbiberient,They will water
Active Indicative,Perfect,1st Person,Singular,abbiberavi,abbiberui,abbiberi,abbiberi,I have watered
Active Indicative,Perfect,1st Person,Plural,abbiberavimus,abbiberuimus,abbiberimus,abbiberimus,We have watered
Active Indicative,Perfect,2nd Person,Singular,abbiberavisti,abbiberuisti,abbiberisti,abbiberisti,You have watered
Active Indicative,Perfect,2nd Person,Plural,abbiberavistis,abbiberuistis,abbiberistis,abbiberistis,You (pl.) have watered
Active Indicative,Perfect,3rd Person,Singular,abbiberavit,abbiberuit,abbiberit,abbiberit,He/she/it has watered
Active Indicative,Perfect,3rd Person,Plural,abbiberaverunt,abbiberuerunt,abbibererunt,abbibererunt,They have watered
Active Indicative,Pluperfect,1st Person,Singular,abbiberaveram,abbiberueram,abbibereram,abbibereram,I had watered
Active Indicative,Pluperfect,1st Person,Plural,abbiberaveramus,abbiberueramus,abbibereramus,abbibereramus,We had watered
Active Indicative,Pluperfect,2nd Person,Singular,abbiberaveras,abbiberueras,abbibereras,abbibereras,You had watered
Active Indicative,Pluperfect,2nd Person,Plural,abbiberaveratis,abbiberueratis,abbibereratis,abbibereratis,You (pl.) had watered
Active Indicative,Pluperfect,3rd Person,Singular,abbiberaverat,abbiberuerat,abbibererat,abbibererat,He/she/it had watered
Active Indicative,Pluperfect,3rd Person,Plural,abbiberaverant,abbiberuerant,abbibererant,abbibererant,They had watered
Active Indicative,Future Perfect,1st Person,Singular,abbiberavero,abbiberueero,abbiberero,abbiberiero,I will have watered
Active Indicative,Future Perfect,1st Person,Plural,abbiberaverimus,abbiberuerimus,abbibererimus,abbiberierimus,We will have watered
Active Indicative,Future Perfect,2nd Person,Singular,abbiberaveris,abbiberueris,abbibereris,abbiberieris,You will have watered
Active Indicative,Future Perfect,2nd Person,Plural,abbiberaveritis,abbiberueritis,abbibereritis,abbiberieritis,You (pl.) will have watered
Active Indicative,Future Perfect,3rd Person,Singular,abbiberaverit,abbiberuerit,abbibererit,abbiberierit,He/she/it will have watered
Active Indicative,Future Perfect,3rd Person,Plural,abbiberaverint,abbiberuerint,abbibererint,abbiberierint,They will have watered
Passive Indicative,Present,1st Person,Singular,abbiberor,abbibereor,abbiberor,abbiberior,I am being watered
Passive Indicative,Present,1st Person,Plural,abbiberamur,abbiberemur,abbiberimur,abbiberimur,We are being watered
Passive Indicative,Present,2nd Person,Singular,abbiberaris,abbibereris,abbiberiris,abbiberiris,You are being watered
Passive Indicative,Present,2nd Person,Plural,abbiberamini,abbiberemini,abbiberimini,abbiberimini,You (pl.) are being watered
Passive Indicative,Present,3rd Person,Singular,abbiberatur,abbiberetur,abbiberitur,abbiberitur,He/she/it is being watered
