Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,accapito,accapiteo,accapito,accapitio,I catch
Active Indicative,Present,1st Person,Plural,accapitamus,accapitemus,accapitimus,accapitimus,We catch
Active Indicative,Present,2nd Person,Singular,accapitas,accapites,accapitis,accapitis,You catch
Active Indicative,Present,2nd Person,Plural,accapitatis,accapitetis,accapititis,accapititis,You (pl.) catch
Active Indicative,Present,3rd Person,Singular,accapitat,accapitet,accapitit,accapitit,He/she/it catch
Active Indicative,Present,3rd Person,Plural,accapitant,accapitent,accapitiunt,accapitiunt,They catch
Active Indicative,Imperfect,1st Person,Singular,accapitabam,accapitebam,accapitebam,accapitiebam,I was catching
Active Indicative,Imperfect,1st Person,Plural,accapitabamus,accapitebamus,accapitebamus,accapitiebamus,We were catching
Active Indicative,Imperfect,2nd Person,Singular,accapitabas,accapitebas,accapitebas,accapitiebas,You were catching
Active Indicative,Imperfect,2nd Person,Plural,accapitabatis,accapitebatis,accapitebatis,accapitiebatis,You (pl.) were catching
Active Indicative,Imperfect,3rd Person,Singular,accapitabat,accapitebat,accapitebat,accapitiebat,He/she/it was catching
Active Indicative,Imperfect,3rd Person,Plural,accapitabant,accapitebant,accapitebant,accapitiebant,They were catching
Active Indicative,Future,1st Person,Singular,accapitabo,accapitebo,accapitam,accapitiam,I will catch
Active Indicative,Future,1st Person,Plural,accapitabimus,accapitebimus,accapitemus,accapitiemus,We will catch
Active Indicative,Future,2nd Person,Singular,accapitabis,accapitebis,accapites,accapities,You will catch
Active Indicative,Future,2nd Person,Plural,accapitabitis,accapitebitis,accapitetis,accapitietis,You (pl.) will catch
Active Indicative,Future,3rd Person,Singular,accapitabit,accapitebit,accapitet,accapitiet,He/she/it will catch
Active Indicative,Future,3rd Person,Plural,accapitabunt,accapitebunt,accapitent,accapitient,They will catch
Active Indicative,Perfect,1st Person,Singular,accapitavi,accapitui,accapiti,accapiti,I have catched
Active Indicative,Perfect,1st Person,Plural,accapitavimus,accapituimus,accapitimus,accapitimus,We have catched
Active Indicative,Perfect,2nd Person,Singular,accapitavisti,accapituisti,accapitisti,accapitisti,You have catched
Active Indicative,Perfect,2nd Person,Plural,accapitavistis,accapituistis,accapitistis,accapitistis,You (pl.) have catched
Active Indicative,Perfect,3rd Person,Singular,accapitavit,accapituit,accapitit,accapitit,He/she/it has catched
Active Indicative,Perfect,3rd Person,Plural,accapitaverunt,accapituerunt,accapiterunt,accapiterunt,They have catched
Active Indicative,Pluperfect,1st Person,Singular,accapitaveram,accapitueram,accapiteram,accapiteram,I had catched
Active Indicative,Pluperfect,1st Person,Plural,accapitaveramus,accapitueramus,accapiteramus,accapiteramus,We had catched
Active Indicative,Pluperfect,2nd Person,Singular,accapitaveras,accapitueras,accapiteras,accapiteras,You had catched
Active Indicative,Pluperfect,2nd Person,Plural,accapitaveratis,accapitueratis,accapiteratis,accapiteratis,You (pl.) had catched
Active Indicative,Pluperfect,3rd Person,Singular,accapitaverat,accapituerat,accapiterat,accapiterat,He/she/it had catched
Active Indicative,Pluperfect,3rd Person,Plural,accapitaverant,accapituerant,accapiterant,accapiterant,They had catched
Active Indicative,Future Perfect,1st Person,Singular,accapitavero,accapitueero,accapitero,accapitiero,I will have catched
Active Indicative,Future Perfect,1st Person,Plural,accapitaverimus,accapituerimus,accapiterimus,accapitierimus,We will have catched
Active Indicative,Future Perfect,2nd Person,Singular,accapitaveris,accapitueris,accapiteris,accapitieris,You will have catched
Active Indicative,Future Perfect,2nd Person,Plural,accapitaveritis,accapitueritis,accapiteritis,accapitieritis,You (pl.) will have catched
Active Indicative,Future Perfect,3rd Person,Singular,accapitaverit,accapituerit,accapiterit,accapitierit,He/she/it will have catched
Active Indicative,Future Perfect,3rd Person,Plural,accapitaverint,accapituerint,accapiterint,accapitierint,They will have catched
Passive Indicative,Present,1st Person,Singular,accapitor,accapiteor,accapitor,accapitior,I am being catched
Passive Indicative,Present,1st Person,Plural,accapitamur,accapitemur,accapitimur,accapitimur,We are being catched
Passive Indicative,Present,2nd Person,Singular,accapitaris,accapiteris,accapitiris,accapitiris,You are being catched
Passive Indicative,Present,2nd Person,Plural,accapitamini,accapitemini,accapitimini,accapitimini,You (pl.) are being catched
Passive Indicative,Present,3rd Person,Singular,accapitatur,accapitetur,accapititur,accapititur,He/she/it is being catched
Passive Indicative,Present,3rd Person,Plural,accapitantur,accapitentur,accapitiuntur,accapitiuntur,They are being catched
Passive Indicative,Imperfect,1st Person,Singular,accapitabar,accapitebar,accapitebar,accapitiebar,I was catched
Passive Indicative,Imperfect,1st Person,Plural,accapitabamur,accapitebamur,accapitebamur,accapitiebamur,We were catched
Passive Indicative,Imperfect,2nd Person,Singular,accapitabaris,accapitebaris,accapitebaris,accapitiebaris,You were catched
Passive Indicative,Imperfect,2nd Person,Plural,accapitabamini,accapitebamini,accapitebamini,accapitiebamini,You (pl.) were catched
Passive Indicative,Imperfect,3rd Person,Singular,accapitabatur,accapitebatur,accapitebatur,accapitiebatur,He/she/it was catched
Passive Indicative,Imperfect,3rd Person,Plural,accapitabantur,accapitebantur,accapitebantur,accapitiebantur,They were catched
