Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,accapto,accapteo,accapto,accaptio,I accept
Active Indicative,Present,1st Person,Plural,accaptamus,accaptemus,accaptimus,accaptimus,We accept
Active Indicative,Present,2nd Person,Singular,accaptas,accaptes,accaptis,accaptis,You accept
Active Indicative,Present,2nd Person,Plural,accaptatis,accaptetis,accaptitis,accaptitis,You (pl.) accept
Active Indicative,Present,3rd Person,Singular,accaptat,accaptet,accaptit,accaptit,He/she/it accept
Active Indicative,Present,3rd Person,Plural,accaptant,accaptent,accaptiunt,accaptiunt,They accept
Active Indicative,Imperfect,1st Person,Singular,accaptabam,accaptebam,accaptebam,accaptiebam,I was accepting
Active Indicative,Imperfect,1st Person,Plural,accaptabamus,accaptebamus,accaptebamus,accaptiebamus,We were accepting
Active Indicative,Imperfect,2nd Person,Singular,accaptabas,accaptebas,accaptebas,accaptiebas,You were accepting
Active Indicative,Imperfect,2nd Person,Plural,accaptabatis,accaptebatis,accaptebatis,accaptiebatis,You (pl.) were accepting
Active Indicative,Imperfect,3rd Person,Singular,accaptabat,accaptebat,accaptebat,accaptiebat,He/she/it was accepting
Active Indicative,Imperfect,3rd Person,Plural,accaptabant,accaptebant,accaptebant,accaptiebant,They were accepting
Active Indicative,Future,1st Person,Singular,accaptabo,accaptebo,accaptam,accaptiam,I will accept
Active Indicative,Future,1st Person,Plural,accaptabimus,accaptebimus,accaptemus,accaptiemus,We will accept
Active Indicative,Future,2nd Person,Singular,accaptabis,accaptebis,accaptes,accapties,You will accept
Active Indicative,Future,2nd Person,Plural,accaptabitis,accaptebitis,accaptetis,accaptietis,You (pl.) will accept
Active Indicative,Future,3rd Person,Singular,accaptabit,accaptebit,accaptet,accaptiet,He/she/it will accept
Active Indicative,Future,3rd Person,Plural,accaptabunt,accaptebunt,accaptent,accaptient,They will accept
Active Indicative,Perfect,1st Person,Singular,accaptavi,accaptui,accapti,accapti,I have accepted
Active Indicative,Perfect,1st Person,Plural,accaptavimus,accaptuimus,accaptimus,accaptimus,We have accepted
Active Indicative,Perfect,2nd Person,Singular,accaptavisti,accaptuisti,accaptisti,accaptisti,You have accepted
Active Indicative,Perfect,2nd Person,Plural,accaptavistis,accaptuistis,accaptistis,accaptistis,You (pl.) have accepted
Active Indicative,Perfect,3rd Person,Singular,accaptavit,accaptuit,accaptit,accaptit,He/she/it has accepted
Active Indicative,Perfect,3rd Person,Plural,accaptaverunt,accaptuerunt,accapterunt,accapterunt,They have accepted
Active Indicative,Pluperfect,1st Person,Singular,accaptaveram,accaptueram,accapteram,accapteram,I had accepted
Active Indicative,Pluperfect,1st Person,Plural,accaptaveramus,accaptueramus,accapteramus,accapteramus,We had accepted
Active Indicative,Pluperfect,2nd Person,Singular,accaptaveras,accaptueras,accapteras,accapteras,You had accepted
Active Indicative,Pluperfect,2nd Person,Plural,accaptaveratis,accaptueratis,accapteratis,accapteratis,You (pl.) had accepted
Active Indicative,Pluperfect,3rd Person,Singular,accaptaverat,accaptuerat,accapterat,accapterat,He/she/it had accepted
Active Indicative,Pluperfect,3rd Person,Plural,accaptaverant,accaptuerant,accapterant,accapterant,They had accepted
