Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,accatto,accatteo,accatto,accattio,I look at
Active Indicative,Present,1st Person,Plural,accattamus,accattemus,accattimus,accattimus,We look at
Active Indicative,Present,2nd Person,Singular,accattas,accattes,accattis,accattis,You look at
Active Indicative,Present,2nd Person,Plural,accattatis,accattetis,accattitis,accattitis,You (pl.) look at
Active Indicative,Present,3rd Person,Singular,accattat,accattet,accattit,accattit,He/she/it look at
Active Indicative,Present,3rd Person,Plural,accattant,accattent,accattiunt,accattiunt,They look at
Active Indicative,Imperfect,1st Person,Singular,accattabam,accattebam,accattebam,accattiebam,I was look ating
Active Indicative,Imperfect,1st Person,Plural,accattabamus,accattebamus,accattebamus,accattiebamus,We were look ating
Active Indicative,Imperfect,2nd Person,Singular,accattabas,accattebas,accattebas,accattiebas,You were look ating
Active Indicative,Imperfect,2nd Person,Plural,accattabatis,accattebatis,accattebatis,accattiebatis,You (pl.) were look ating
Active Indicative,Imperfect,3rd Person,Singular,accattabat,accattebat,accattebat,accattiebat,He/she/it was look ating
Active Indicative,Imperfect,3rd Person,Plural,accattabant,accattebant,accattebant,accattiebant,They were look ating
Active Indicative,Future,1st Person,Singular,accattabo,accattebo,accattam,accattiam,I will look at
Active Indicative,Future,1st Person,Plural,accattabimus,accattebimus,accattemus,accattiemus,We will look at
Active Indicative,Future,2nd Person,Singular,accattabis,accattebis,accattes,accatties,You will look at
Active Indicative,Future,2nd Person,Plural,accattabitis,accattebitis,accattetis,accattietis,You (pl.) will look at
Active Indicative,Future,3rd Person,Singular,accattabit,accattebit,accattet,accattiet,He/she/it will look at
Active Indicative,Future,3rd Person,Plural,accattabunt,accattebunt,accattent,accattient,They will look at
Active Indicative,Perfect,1st Person,Singular,accattavi,accattui,accatti,accatti,I have look ated
Active Indicative,Perfect,1st Person,Plural,accattavimus,accattuimus,accattimus,accattimus,We have look ated
Active Indicative,Perfect,2nd Person,Singular,accattavisti,accattuisti,accattisti,accattisti,You have look ated
Active Indicative,Perfect,2nd Person,Plural,accattavistis,accattuistis,accattistis,accattistis,You (pl.) have look ated
Active Indicative,Perfect,3rd Person,Singular,accattavit,accattuit,accattit,accattit,He/she/it has look ated
Active Indicative,Perfect,3rd Person,Plural,accattaverunt,accattuerunt,accatterunt,accatterunt,They have look ated
Active Indicative,Pluperfect,1st Person,Singular,accattaveram,accattueram,accatteram,accatteram,I had look ated
Active Indicative,Pluperfect,1st Person,Plural,accattaveramus,accattueramus,accatteramus,accatteramus,We had look ated
Active Indicative,Pluperfect,2nd Person,Singular,accattaveras,accattueras,accatteras,accatteras,You had look ated
Active Indicative,Pluperfect,2nd Person,Plural,accattaveratis,accattueratis,accatteratis,accatteratis,You (pl.) had look ated
Active Indicative,Pluperfect,3rd Person,Singular,accattaverat,accattuerat,accatterat,accatterat,He/she/it had look ated
Active Indicative,Pluperfect,3rd Person,Plural,accattaverant,accattuerant,accatterant,accatterant,They had look ated
Active Indicative,Future Perfect,1st Person,Singular,accattavero,accattueero,accattero,accattiero,I will have look ated
Active Indicative,Future Perfect,1st Person,Plural,accattaverimus,accattuerimus,accatterimus,accattierimus,We will have look ated
Active Indicative,Future Perfect,2nd Person,Singular,accattaveris,accattueris,accatteris,accattieris,You will have look ated
Active Indicative,Future Perfect,2nd Person,Plural,accattaveritis,accattueritis,accatteritis,accattieritis,You (pl.) will have look ated
Active Indicative,Future Perfect,3rd Person,Singular,accattaverit,accattuerit,accatterit,accattierit,He/she/it will have look ated
Active Indicative,Future Perfect,3rd Person,Plural,accattaverint,accattuerint,accatterint,accattierint,They will have look ated
Passive Indicative,Present,1st Person,Singular,accattor,accatteor,accattor,accattior,I am being look ated
Passive Indicative,Present,1st Person,Plural,accattamur,accattemur,accattimur,accattimur,We are being look ated
Passive Indicative,Present,2nd Person,Singular,accattaris,accatteris,accattiris,accattiris,You are being look ated
Passive Indicative,Present,2nd Person,Plural,accattamini,accattemini,accattimini,accattimini,You (pl.) are being look ated
Passive Indicative,Present,3rd Person,Singular,accattatur,accattetur,accattitur,accattitur,He/she/it is being look ated
Passive Indicative,Present,3rd Person,Plural,accattantur,accattentur,accattiuntur,accattiuntur,They are being look ated
Passive Indicative,Imperfect,1st Person,Singular,accattabar,accattebar,accattebar,accattiebar,I was look ated
Passive Indicative,Imperfect,1st Person,Plural,accattabamur,accattebamur,accattebamur,accattiebamur,We were look ated
Passive Indicative,Imperfect,2nd Person,Singular,accattabaris,accattebaris,accattebaris,accattiebaris,You were look ated
Passive Indicative,Imperfect,2nd Person,Plural,accattabamini,accattebamini,accattebamini,accattiebamini,You (pl.) were look ated
Passive Indicative,Imperfect,3rd Person,Singular,accattabatur,accattebatur,accattebatur,accattiebatur,He/she/it was look ated
Passive Indicative,Imperfect,3rd Person,Plural,accattabantur,accattebantur,accattebantur,accattiebantur,They were look ated
Passive Indicative,Future,1st Person,Singular,accattabor,accattebor,accattar,accattiar,I will be look ated
Passive Indicative,Future,1st Person,Plural,accattabimur,accattebimur,accattemur,accattiemur,We will be look ated
Passive Indicative,Future,2nd Person,Singular,accattaberis,accatteberis,accatteris,accattieris,You will be look ated
Passive Indicative,Future,2nd Person,Plural,accattabimini,accattebimini,accattemini,accattiemini,You (pl.) will be look ated
Passive Indicative,Future,3rd Person,Singular,accattabitur,accattebitur,accattetur,accattietur,He/she/it will be look ated
Passive Indicative,Future,3rd Person,Plural,accattabuntur,accattebuntur,accattentur,accattientur,They will be look ated
Passive Indicative,Perfect,1st Person,Singular,accattatus sum,accattetus sum,accattus sum,accattus sum,I have been look ated
Passive Indicative,Perfect,1st Person,Plural,accattati sumus,accatteti sumus,accatti sumus,accatti sumus,We have been look ated
