Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,accommodo,accommodeo,accommodo,accommodio,I fit
Active Indicative,Present,1st Person,Plural,accommodamus,accommodemus,accommodimus,accommodimus,We fit
Active Indicative,Present,2nd Person,Singular,accommodas,accommodes,accommodis,accommodis,You fit
Active Indicative,Present,2nd Person,Plural,accommodatis,accommodetis,accommoditis,accommoditis,You (pl.) fit
Active Indicative,Present,3rd Person,Singular,accommodat,accommodet,accommodit,accommodit,He/she/it fit
Active Indicative,Present,3rd Person,Plural,accommodant,accommodent,accommodiunt,accommodiunt,They fit
Active Indicative,Imperfect,1st Person,Singular,accommodabam,accommodebam,accommodebam,accommodiebam,I was fiting
Active Indicative,Imperfect,1st Person,Plural,accommodabamus,accommodebamus,accommodebamus,accommodiebamus,We were fiting
Active Indicative,Imperfect,2nd Person,Singular,accommodabas,accommodebas,accommodebas,accommodiebas,You were fiting
Active Indicative,Imperfect,2nd Person,Plural,accommodabatis,accommodebatis,accommodebatis,accommodiebatis,You (pl.) were fiting
Active Indicative,Imperfect,3rd Person,Singular,accommodabat,accommodebat,accommodebat,accommodiebat,He/she/it was fiting
Active Indicative,Imperfect,3rd Person,Plural,accommodabant,accommodebant,accommodebant,accommodiebant,They were fiting
Active Indicative,Future,1st Person,Singular,accommodabo,accommodebo,accommodam,accommodiam,I will fit
Active Indicative,Future,1st Person,Plural,accommodabimus,accommodebimus,accommodemus,accommodiemus,We will fit
Active Indicative,Future,2nd Person,Singular,accommodabis,accommodebis,accommodes,accommodies,You will fit
Active Indicative,Future,2nd Person,Plural,accommodabitis,accommodebitis,accommodetis,accommodietis,You (pl.) will fit
Active Indicative,Future,3rd Person,Singular,accommodabit,accommodebit,accommodet,accommodiet,He/she/it will fit
Active Indicative,Future,3rd Person,Plural,accommodabunt,accommodebunt,accommodent,accommodient,They will fit
Active Indicative,Perfect,1st Person,Singular,accommodavi,accommodui,accommodi,accommodi,I have fited
Active Indicative,Perfect,1st Person,Plural,accommodavimus,accommoduimus,accommodimus,accommodimus,We have fited
Active Indicative,Perfect,2nd Person,Singular,accommodavisti,accommoduisti,accommodisti,accommodisti,You have fited
Active Indicative,Perfect,2nd Person,Plural,accommodavistis,accommoduistis,accommodistis,accommodistis,You (pl.) have fited
Active Indicative,Perfect,3rd Person,Singular,accommodavit,accommoduit,accommodit,accommodit,He/she/it has fited
Active Indicative,Perfect,3rd Person,Plural,accommodaverunt,accommoduerunt,accommoderunt,accommoderunt,They have fited
Active Indicative,Pluperfect,1st Person,Singular,accommodaveram,accommodueram,accommoderam,accommoderam,I had fited
Active Indicative,Pluperfect,1st Person,Plural,accommodaveramus,accommodueramus,accommoderamus,accommoderamus,We had fited
Active Indicative,Pluperfect,2nd Person,Singular,accommodaveras,accommodueras,accommoderas,accommoderas,You had fited
Active Indicative,Pluperfect,2nd Person,Plural,accommodaveratis,accommodueratis,accommoderatis,accommoderatis,You (pl.) had fited
Active Indicative,Pluperfect,3rd Person,Singular,accommodaverat,accommoduerat,accommoderat,accommoderat,He/she/it had fited
Active Indicative,Pluperfect,3rd Person,Plural,accommodaverant,accommoduerant,accommoderant,accommoderant,They had fited
Active Indicative,Future Perfect,1st Person,Singular,accommodavero,accommodueero,accommodero,accommodiero,I will have fited
Active Indicative,Future Perfect,1st Person,Plural,accommodaverimus,accommoduerimus,accommoderimus,accommodierimus,We will have fited
Active Indicative,Future Perfect,2nd Person,Singular,accommodaveris,accommodueris,accommoderis,accommodieris,You will have fited
Active Indicative,Future Perfect,2nd Person,Plural,accommodaveritis,accommodueritis,accommoderitis,accommodieritis,You (pl.) will have fited
Active Indicative,Future Perfect,3rd Person,Singular,accommodaverit,accommoduerit,accommoderit,accommodierit,He/she/it will have fited
Active Indicative,Future Perfect,3rd Person,Plural,accommodaverint,accommoduerint,accommoderint,accommodierint,They will have fited
Passive Indicative,Present,1st Person,Singular,accommodor,accommodeor,accommodor,accommodior,I am being fited
Passive Indicative,Present,1st Person,Plural,accommodamur,accommodemur,accommodimur,accommodimur,We are being fited
Passive Indicative,Present,2nd Person,Singular,accommodaris,accommoderis,accommodiris,accommodiris,You are being fited
Passive Indicative,Present,2nd Person,Plural,accommodamini,accommodemini,accommodimini,accommodimini,You (pl.) are being fited
Passive Indicative,Present,3rd Person,Singular,accommodatur,accommodetur,accommoditur,accommoditur,He/she/it is being fited
Passive Indicative,Present,3rd Person,Plural,accommodantur,accommodentur,accommodiuntur,accommodiuntur,They are being fited
Passive Indicative,Imperfect,1st Person,Singular,accommodabar,accommodebar,accommodebar,accommodiebar,I was fited
Passive Indicative,Imperfect,1st Person,Plural,accommodabamur,accommodebamur,accommodebamur,accommodiebamur,We were fited
Passive Indicative,Imperfect,2nd Person,Singular,accommodabaris,accommodebaris,accommodebaris,accommodiebaris,You were fited
Passive Indicative,Imperfect,2nd Person,Plural,accommodabamini,accommodebamini,accommodebamini,accommodiebamini,You (pl.) were fited
Passive Indicative,Imperfect,3rd Person,Singular,accommodabatur,accommodebatur,accommodebatur,accommodiebatur,He/she/it was fited
Passive Indicative,Imperfect,3rd Person,Plural,accommodabantur,accommodebantur,accommodebantur,accommodiebantur,They were fited
Passive Indicative,Future,1st Person,Singular,accommodabor,accommodebor,accommodar,accommodiar,I will be fited
