Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,accordo,accordeo,accordo,accordio,I agree
Active Indicative,Present,1st Person,Plural,accordamus,accordemus,accordimus,accordimus,We agree
Active Indicative,Present,2nd Person,Singular,accordas,accordes,accordis,accordis,You agree
Active Indicative,Present,2nd Person,Plural,accordatis,accordetis,accorditis,accorditis,You (pl.) agree
Active Indicative,Present,3rd Person,Singular,accordat,accordet,accordit,accordit,He/she/it agree
Active Indicative,Present,3rd Person,Plural,accordant,accordent,accordiunt,accordiunt,They agree
Active Indicative,Imperfect,1st Person,Singular,accordabam,accordebam,accordebam,accordiebam,I was agreeing
Active Indicative,Imperfect,1st Person,Plural,accordabamus,accordebamus,accordebamus,accordiebamus,We were agreeing
Active Indicative,Imperfect,2nd Person,Singular,accordabas,accordebas,accordebas,accordiebas,You were agreeing
Active Indicative,Imperfect,2nd Person,Plural,accordabatis,accordebatis,accordebatis,accordiebatis,You (pl.) were agreeing
Active Indicative,Imperfect,3rd Person,Singular,accordabat,accordebat,accordebat,accordiebat,He/she/it was agreeing
Active Indicative,Imperfect,3rd Person,Plural,accordabant,accordebant,accordebant,accordiebant,They were agreeing
Active Indicative,Future,1st Person,Singular,accordabo,accordebo,accordam,accordiam,I will agree
Active Indicative,Future,1st Person,Plural,accordabimus,accordebimus,accordemus,accordiemus,We will agree
Active Indicative,Future,2nd Person,Singular,accordabis,accordebis,accordes,accordies,You will agree
Active Indicative,Future,2nd Person,Plural,accordabitis,accordebitis,accordetis,accordietis,You (pl.) will agree
Active Indicative,Future,3rd Person,Singular,accordabit,accordebit,accordet,accordiet,He/she/it will agree
Active Indicative,Future,3rd Person,Plural,accordabunt,accordebunt,accordent,accordient,They will agree
Active Indicative,Perfect,1st Person,Singular,accordavi,accordui,accordi,accordi,I have agreeed
Active Indicative,Perfect,1st Person,Plural,accordavimus,accorduimus,accordimus,accordimus,We have agreeed
Active Indicative,Perfect,2nd Person,Singular,accordavisti,accorduisti,accordisti,accordisti,You have agreeed
Active Indicative,Perfect,2nd Person,Plural,accordavistis,accorduistis,accordistis,accordistis,You (pl.) have agreeed
Active Indicative,Perfect,3rd Person,Singular,accordavit,accorduit,accordit,accordit,He/she/it has agreeed
Active Indicative,Perfect,3rd Person,Plural,accordaverunt,accorduerunt,accorderunt,accorderunt,They have agreeed
Active Indicative,Pluperfect,1st Person,Singular,accordaveram,accordueram,accorderam,accorderam,I had agreeed
Active Indicative,Pluperfect,1st Person,Plural,accordaveramus,accordueramus,accorderamus,accorderamus,We had agreeed
Active Indicative,Pluperfect,2nd Person,Singular,accordaveras,accordueras,accorderas,accorderas,You had agreeed
Active Indicative,Pluperfect,2nd Person,Plural,accordaveratis,accordueratis,accorderatis,accorderatis,You (pl.) had agreeed
Active Indicative,Pluperfect,3rd Person,Singular,accordaverat,accorduerat,accorderat,accorderat,He/she/it had agreeed
Active Indicative,Pluperfect,3rd Person,Plural,accordaverant,accorduerant,accorderant,accorderant,They had agreeed
Active Indicative,Future Perfect,1st Person,Singular,accordavero,accordueero,accordero,accordiero,I will have agreeed
Active Indicative,Future Perfect,1st Person,Plural,accordaverimus,accorduerimus,accorderimus,accordierimus,We will have agreeed
Active Indicative,Future Perfect,2nd Person,Singular,accordaveris,accordueris,accorderis,accordieris,You will have agreeed
Active Indicative,Future Perfect,2nd Person,Plural,accordaveritis,accordueritis,accorderitis,accordieritis,You (pl.) will have agreeed
Active Indicative,Future Perfect,3rd Person,Singular,accordaverit,accorduerit,accorderit,accordierit,He/she/it will have agreeed
Active Indicative,Future Perfect,3rd Person,Plural,accordaverint,accorduerint,accorderint,accordierint,They will have agreeed
Passive Indicative,Present,1st Person,Singular,accordor,accordeor,accordor,accordior,I am being agreeed
Passive Indicative,Present,1st Person,Plural,accordamur,accordemur,accordimur,accordimur,We are being agreeed
Passive Indicative,Present,2nd Person,Singular,accordaris,accorderis,accordiris,accordiris,You are being agreeed
Passive Indicative,Present,2nd Person,Plural,accordamini,accordemini,accordimini,accordimini,You (pl.) are being agreeed
Passive Indicative,Present,3rd Person,Singular,accordatur,accordetur,accorditur,accorditur,He/she/it is being agreeed
Passive Indicative,Present,3rd Person,Plural,accordantur,accordentur,accordiuntur,accordiuntur,They are being agreeed
Passive Indicative,Imperfect,1st Person,Singular,accordabar,accordebar,accordebar,accordiebar,I was agreeed
Passive Indicative,Imperfect,1st Person,Plural,accordabamur,accordebamur,accordebamur,accordiebamur,We were agreeed
Passive Indicative,Imperfect,2nd Person,Singular,accordabaris,accordebaris,accordebaris,accordiebaris,You were agreeed
Passive Indicative,Imperfect,2nd Person,Plural,accordabamini,accordebamini,accordebamini,accordiebamini,You (pl.) were agreeed
Passive Indicative,Imperfect,3rd Person,Singular,accordabatur,accordebatur,accordebatur,accordiebatur,He/she/it was agreeed
Passive Indicative,Imperfect,3rd Person,Plural,accordabantur,accordebantur,accordebantur,accordiebantur,They were agreeed
Passive Indicative,Future,1st Person,Singular,accordabor,accordebor,accordar,accordiar,I will be agreeed
Passive Indicative,Future,1st Person,Plural,accordabimur,accordebimur,accordemur,accordiemur,We will be agreeed
Passive Indicative,Future,2nd Person,Singular,accordaberis,accordeberis,accorderis,accordieris,You will be agreeed
Passive Indicative,Future,2nd Person,Plural,accordabimini,accordebimini,accordemini,accordiemini,You (pl.) will be agreeed
Passive Indicative,Future,3rd Person,Singular,accordabitur,accordebitur,accordetur,accordietur,He/she/it will be agreeed
Passive Indicative,Future,3rd Person,Plural,accordabuntur,accordebuntur,accordentur,accordientur,They will be agreeed
Passive Indicative,Perfect,1st Person,Singular,accordatus sum,accordetus sum,accordus sum,accordus sum,I have been agreeed
Passive Indicative,Perfect,1st Person,Plural,accordati sumus,accordeti sumus,accordi sumus,accordi sumus,We have been agreeed
Passive Indicative,Perfect,2nd Person,Singular,accordatus es,accordetus es,accordus es,accordus es,You have been agreeed
Passive Indicative,Perfect,2nd Person,Plural,accordati estis,accordeti estis,accordi estis,accordi estis,You (pl.) have been agreeed
Passive Indicative,Perfect,3rd Person,Singular,accordatus est,accordetus est,accordus est,accordus est,He/she/it has been agreeed
Passive Indicative,Perfect,3rd Person,Plural,accordati sunt,accordeti sunt,accordi sunt,accordi sunt,They have been agreeed
Passive Indicative,Pluperfect,1st Person,Singular,accordatus eram,accordetus eram,accordus eram,accordus eram,I had been agreeed
Passive Indicative,Pluperfect,1st Person,Plural,accordati eramus,accordeti eramus,accordi eramus,accordi eramus,We had been agreeed
Passive Indicative,Pluperfect,2nd Person,Singular,accordatus eras,accordetus eras,accordus eras,accordus eras,You had been agreeed
Passive Indicative,Pluperfect,2nd Person,Plural,accordati eratis,accordeti eratis,accordi eratis,accordi eratis,You (pl.) had been agreeed
Passive Indicative,Pluperfect,3rd Person,Singular,accordatus erat,accordetus erat,accordus erat,accordus erat,He/she/it had been agreeed
Passive Indicative,Pluperfect,3rd Person,Plural,accordati erant,accordeti erant,accordi erant,accordi erant,They had been agreeed
Passive Indicative,Future Perfect,1st Person,Singular,accordatus ero,accordetus ero,accordus ero,accordus ero,I will have been agreeed
Passive Indicative,Future Perfect,1st Person,Plural,accordati erimus,accordeti erimus,accordi erimus,accordi erimus,We will have been agreeed
Passive Indicative,Future Perfect,2nd Person,Singular,accordatus eris,accordetus eris,accordus eris,accordus eris,You will have been agreeed
Passive Indicative,Future Perfect,2nd Person,Plural,accordati eritis,accordeti eritis,accordi eritis,accordi eritis,You (pl.) will have been agreeed
Passive Indicative,Future Perfect,3rd Person,Singular,accordatus erit,accordetus erit,accordus erit,accordus erit,He/she/it will have been agreeed
Passive Indicative,Future Perfect,3rd Person,Plural,accordati erunt,accordeti erunt,accordi erunt,accordi erunt,They will have been agreeed
Active Subjunctive,Present,1st Person,Singular,accordem,accordem,accordam,accordam,I may agree
Active Subjunctive,Present,1st Person,Plural,accordemus,accordemus,accordamus,accordamus,We may agree
Active Subjunctive,Present,2nd Person,Singular,accordes,accordes,accordas,accordas,You may agree
Active Subjunctive,Present,2nd Person,Plural,accordetis,accordetis,accordatis,accordatis,You (pl.) may agree
Active Subjunctive,Present,3rd Person,Singular,accordet,accordet,accordat,accordat,He/she/it may agree
Active Subjunctive,Present,3rd Person,Plural,accordent,accordent,accordant,accordant,They may agree
Active Subjunctive,Imperfect,1st Person,Singular,accordarem,accorderem,accorderem,accordirem,I should agree
Active Subjunctive,Imperfect,1st Person,Plural,accordaremus,accorderemus,accorderemus,accordiremus,We should agree
Active Subjunctive,Imperfect,2nd Person,Singular,accordares,accorderes,accorderes,accordires,You should agree
Active Subjunctive,Imperfect,2nd Person,Plural,accordaretis,accorderetis,accorderetis,accordiretis,You (pl.) should agree
