Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,acquaero,acquaereo,acquaero,acquaerio,I obtain
Active Indicative,Present,1st Person,Plural,acquaeramus,acquaeremus,acquaerimus,acquaerimus,We obtain
Active Indicative,Present,2nd Person,Singular,acquaeras,acquaeres,acquaeris,acquaeris,You obtain
Active Indicative,Present,2nd Person,Plural,acquaeratis,acquaeretis,acquaeritis,acquaeritis,You (pl.) obtain
Active Indicative,Present,3rd Person,Singular,acquaerat,acquaeret,acquaerit,acquaerit,He/she/it obtain
Active Indicative,Present,3rd Person,Plural,acquaerant,acquaerent,acquaeriunt,acquaeriunt,They obtain
Active Indicative,Imperfect,1st Person,Singular,acquaerabam,acquaerebam,acquaerebam,acquaeriebam,I was obtaining
Active Indicative,Imperfect,1st Person,Plural,acquaerabamus,acquaerebamus,acquaerebamus,acquaeriebamus,We were obtaining
Active Indicative,Imperfect,2nd Person,Singular,acquaerabas,acquaerebas,acquaerebas,acquaeriebas,You were obtaining
Active Indicative,Imperfect,2nd Person,Plural,acquaerabatis,acquaerebatis,acquaerebatis,acquaeriebatis,You (pl.) were obtaining
Active Indicative,Imperfect,3rd Person,Singular,acquaerabat,acquaerebat,acquaerebat,acquaeriebat,He/she/it was obtaining
Active Indicative,Imperfect,3rd Person,Plural,acquaerabant,acquaerebant,acquaerebant,acquaeriebant,They were obtaining
Active Indicative,Future,1st Person,Singular,acquaerabo,acquaerebo,acquaeram,acquaeriam,I will obtain
Active Indicative,Future,1st Person,Plural,acquaerabimus,acquaerebimus,acquaeremus,acquaeriemus,We will obtain
Active Indicative,Future,2nd Person,Singular,acquaerabis,acquaerebis,acquaeres,acquaeries,You will obtain
Active Indicative,Future,2nd Person,Plural,acquaerabitis,acquaerebitis,acquaeretis,acquaerietis,You (pl.) will obtain
Active Indicative,Future,3rd Person,Singular,acquaerabit,acquaerebit,acquaeret,acquaeriet,He/she/it will obtain
Active Indicative,Future,3rd Person,Plural,acquaerabunt,acquaerebunt,acquaerent,acquaerient,They will obtain
Active Indicative,Perfect,1st Person,Singular,acquaeravi,acquaerui,acquaeri,acquaeri,I have obtained
Active Indicative,Perfect,1st Person,Plural,acquaeravimus,acquaeruimus,acquaerimus,acquaerimus,We have obtained
Active Indicative,Perfect,2nd Person,Singular,acquaeravisti,acquaeruisti,acquaeristi,acquaeristi,You have obtained
Active Indicative,Perfect,2nd Person,Plural,acquaeravistis,acquaeruistis,acquaeristis,acquaeristis,You (pl.) have obtained
Active Indicative,Perfect,3rd Person,Singular,acquaeravit,acquaeruit,acquaerit,acquaerit,He/she/it has obtained
Active Indicative,Perfect,3rd Person,Plural,acquaeraverunt,acquaeruerunt,acquaererunt,acquaererunt,They have obtained
Active Indicative,Pluperfect,1st Person,Singular,acquaeraveram,acquaerueram,acquaereram,acquaereram,I had obtained
Active Indicative,Pluperfect,1st Person,Plural,acquaeraveramus,acquaerueramus,acquaereramus,acquaereramus,We had obtained
Active Indicative,Pluperfect,2nd Person,Singular,acquaeraveras,acquaerueras,acquaereras,acquaereras,You had obtained
Active Indicative,Pluperfect,2nd Person,Plural,acquaeraveratis,acquaerueratis,acquaereratis,acquaereratis,You (pl.) had obtained
Active Indicative,Pluperfect,3rd Person,Singular,acquaeraverat,acquaeruerat,acquaererat,acquaererat,He/she/it had obtained
Active Indicative,Pluperfect,3rd Person,Plural,acquaeraverant,acquaeruerant,acquaererant,acquaererant,They had obtained
Active Indicative,Future Perfect,1st Person,Singular,acquaeravero,acquaerueero,acquaerero,acquaeriero,I will have obtained
Active Indicative,Future Perfect,1st Person,Plural,acquaeraverimus,acquaeruerimus,acquaererimus,acquaerierimus,We will have obtained
Active Indicative,Future Perfect,2nd Person,Singular,acquaeraveris,acquaerueris,acquaereris,acquaerieris,You will have obtained
Active Indicative,Future Perfect,2nd Person,Plural,acquaeraveritis,acquaerueritis,acquaereritis,acquaerieritis,You (pl.) will have obtained
Active Indicative,Future Perfect,3rd Person,Singular,acquaeraverit,acquaeruerit,acquaererit,acquaerierit,He/she/it will have obtained
Active Indicative,Future Perfect,3rd Person,Plural,acquaeraverint,acquaeruerint,acquaererint,acquaerierint,They will have obtained
Passive Indicative,Present,1st Person,Singular,acquaeror,acquaereor,acquaeror,acquaerior,I am being obtained
Passive Indicative,Present,1st Person,Plural,acquaeramur,acquaeremur,acquaerimur,acquaerimur,We are being obtained
Passive Indicative,Present,2nd Person,Singular,acquaeraris,acquaereris,acquaeriris,acquaeriris,You are being obtained
Passive Indicative,Present,2nd Person,Plural,acquaeramini,acquaeremini,acquaerimini,acquaerimini,You (pl.) are being obtained
Passive Indicative,Present,3rd Person,Singular,acquaeratur,acquaeretur,acquaeritur,acquaeritur,He/she/it is being obtained
Passive Indicative,Present,3rd Person,Plural,acquaerantur,acquaerentur,acquaeriuntur,acquaeriuntur,They are being obtained
Passive Indicative,Imperfect,1st Person,Singular,acquaerabar,acquaerebar,acquaerebar,acquaeriebar,I was obtained
Passive Indicative,Imperfect,1st Person,Plural,acquaerabamur,acquaerebamur,acquaerebamur,acquaeriebamur,We were obtained
Passive Indicative,Imperfect,2nd Person,Singular,acquaerabaris,acquaerebaris,acquaerebaris,acquaeriebaris,You were obtained
Passive Indicative,Imperfect,2nd Person,Plural,acquaerabamini,acquaerebamini,acquaerebamini,acquaeriebamini,You (pl.) were obtained
Passive Indicative,Imperfect,3rd Person,Singular,acquaerabatur,acquaerebatur,acquaerebatur,acquaeriebatur,He/she/it was obtained
