Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,acuo,acueo,acuo,acuio,I sharpen
Active Indicative,Present,1st Person,Plural,acuamus,acuemus,acuimus,acuimus,We sharpen
Active Indicative,Present,2nd Person,Singular,acuas,acues,acuis,acuis,You sharpen
Active Indicative,Present,2nd Person,Plural,acuatis,acuetis,acuitis,acuitis,You (pl.) sharpen
Active Indicative,Present,3rd Person,Singular,acuat,acuet,acuit,acuit,He/she/it sharpen
Active Indicative,Present,3rd Person,Plural,acuant,acuent,acuiunt,acuiunt,They sharpen
Active Indicative,Imperfect,1st Person,Singular,acuabam,acuebam,acuebam,acuiebam,I was sharpening
Active Indicative,Imperfect,1st Person,Plural,acuabamus,acuebamus,acuebamus,acuiebamus,We were sharpening
Active Indicative,Imperfect,2nd Person,Singular,acuabas,acuebas,acuebas,acuiebas,You were sharpening
Active Indicative,Imperfect,2nd Person,Plural,acuabatis,acuebatis,acuebatis,acuiebatis,You (pl.) were sharpening
Active Indicative,Imperfect,3rd Person,Singular,acuabat,acuebat,acuebat,acuiebat,He/she/it was sharpening
Active Indicative,Imperfect,3rd Person,Plural,acuabant,acuebant,acuebant,acuiebant,They were sharpening
Active Indicative,Future,1st Person,Singular,acuabo,acuebo,acuam,acuiam,I will sharpen
Active Indicative,Future,1st Person,Plural,acuabimus,acuebimus,acuemus,acuiemus,We will sharpen
Active Indicative,Future,2nd Person,Singular,acuabis,acuebis,acues,acuies,You will sharpen
Active Indicative,Future,2nd Person,Plural,acuabitis,acuebitis,acuetis,acuietis,You (pl.) will sharpen
Active Indicative,Future,3rd Person,Singular,acuabit,acuebit,acuet,acuiet,He/she/it will sharpen
Active Indicative,Future,3rd Person,Plural,acuabunt,acuebunt,acuent,acuient,They will sharpen
Active Indicative,Perfect,1st Person,Singular,acuavi,acui,acui,acui,I have sharpened
Active Indicative,Perfect,1st Person,Plural,acuavimus,acuimus,acuimus,acuimus,We have sharpened
Active Indicative,Perfect,2nd Person,Singular,acuavisti,acuisti,acuisti,acuisti,You have sharpened
Active Indicative,Perfect,2nd Person,Plural,acuavistis,acuistis,acuistis,acuistis,You (pl.) have sharpened
Active Indicative,Perfect,3rd Person,Singular,acuavit,acuit,acuit,acuit,He/she/it has sharpened
Active Indicative,Perfect,3rd Person,Plural,acuaverunt,acuerunt,acuerunt,acuerunt,They have sharpened
Active Indicative,Pluperfect,1st Person,Singular,acuaveram,acueram,acueram,acueram,I had sharpened
Active Indicative,Pluperfect,1st Person,Plural,acuaveramus,acueramus,acueramus,acueramus,We had sharpened
Active Indicative,Pluperfect,2nd Person,Singular,acuaveras,acueras,acueras,acueras,You had sharpened
Active Indicative,Pluperfect,2nd Person,Plural,acuaveratis,acueratis,acueratis,acueratis,You (pl.) had sharpened
Active Indicative,Pluperfect,3rd Person,Singular,acuaverat,acuerat,acuerat,acuerat,He/she/it had sharpened
Active Indicative,Pluperfect,3rd Person,Plural,acuaverant,acuerant,acuerant,acuerant,They had sharpened
Active Indicative,Future Perfect,1st Person,Singular,acuavero,acueero,acuero,acuiero,I will have sharpened
Active Indicative,Future Perfect,1st Person,Plural,acuaverimus,acuerimus,acuerimus,acuierimus,We will have sharpened
Active Indicative,Future Perfect,2nd Person,Singular,acuaveris,acueris,acueris,acuieris,You will have sharpened
Active Indicative,Future Perfect,2nd Person,Plural,acuaveritis,acueritis,acueritis,acuieritis,You (pl.) will have sharpened
Active Indicative,Future Perfect,3rd Person,Singular,acuaverit,acuerit,acuerit,acuierit,He/she/it will have sharpened
Active Indicative,Future Perfect,3rd Person,Plural,acuaverint,acuerint,acuerint,acuierint,They will have sharpened
Passive Indicative,Present,1st Person,Singular,acuor,acueor,acuor,acuior,I am being sharpened
Passive Indicative,Present,1st Person,Plural,acuamur,acuemur,acuimur,acuimur,We are being sharpened
