Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,acutio,acutieo,acutio,acutio,I sharpen
Active Indicative,Present,1st Person,Plural,acutiamus,acutiemus,acutimus,acutimus,We sharpen
Active Indicative,Present,2nd Person,Singular,acutias,acuties,acutis,acutis,You sharpen
Active Indicative,Present,2nd Person,Plural,acutiatis,acutietis,acutitis,acutitis,You (pl.) sharpen
Active Indicative,Present,3rd Person,Singular,acutiat,acutiet,acutit,acutit,He/she/it sharpen
Active Indicative,Present,3rd Person,Plural,acutiant,acutient,acutiunt,acutiunt,They sharpen
Active Indicative,Imperfect,1st Person,Singular,acutiabam,acutiebam,acutiebam,acutiebam,I was sharpening
Active Indicative,Imperfect,1st Person,Plural,acutiabamus,acutiebamus,acutiebamus,acutiebamus,We were sharpening
Active Indicative,Imperfect,2nd Person,Singular,acutiabas,acutiebas,acutiebas,acutiebas,You were sharpening
Active Indicative,Imperfect,2nd Person,Plural,acutiabatis,acutiebatis,acutiebatis,acutiebatis,You (pl.) were sharpening
Active Indicative,Imperfect,3rd Person,Singular,acutiabat,acutiebat,acutiebat,acutiebat,He/she/it was sharpening
Active Indicative,Imperfect,3rd Person,Plural,acutiabant,acutiebant,acutiebant,acutiebant,They were sharpening
Active Indicative,Future,1st Person,Singular,acutiabo,acutiebo,acutiam,acutiam,I will sharpen
Active Indicative,Future,1st Person,Plural,acutiabimus,acutiebimus,acutiemus,acutiemus,We will sharpen
Active Indicative,Future,2nd Person,Singular,acutiabis,acutiebis,acuties,acuties,You will sharpen
Active Indicative,Future,2nd Person,Plural,acutiabitis,acutiebitis,acutietis,acutietis,You (pl.) will sharpen
Active Indicative,Future,3rd Person,Singular,acutiabit,acutiebit,acutiet,acutiet,He/she/it will sharpen
Active Indicative,Future,3rd Person,Plural,acutiabunt,acutiebunt,acutient,acutient,They will sharpen
Active Indicative,Perfect,1st Person,Singular,acutiavi,acutiui,acuti,acuti,I have sharpened
