Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,adbracchio,adbracchieo,adbracchio,adbracchio,I hug
Active Indicative,Present,1st Person,Plural,adbracchiamus,adbracchiemus,adbracchimus,adbracchimus,We hug
Active Indicative,Present,2nd Person,Singular,adbracchias,adbracchies,adbracchis,adbracchis,You hug
Active Indicative,Present,2nd Person,Plural,adbracchiatis,adbracchietis,adbracchitis,adbracchitis,You (pl.) hug
Active Indicative,Present,3rd Person,Singular,adbracchiat,adbracchiet,adbracchit,adbracchit,He/she/it hug
Active Indicative,Present,3rd Person,Plural,adbracchiant,adbracchient,adbracchiunt,adbracchiunt,They hug
Active Indicative,Imperfect,1st Person,Singular,adbracchiabam,adbracchiebam,adbracchiebam,adbracchiebam,I was huging
Active Indicative,Imperfect,1st Person,Plural,adbracchiabamus,adbracchiebamus,adbracchiebamus,adbracchiebamus,We were huging
Active Indicative,Imperfect,2nd Person,Singular,adbracchiabas,adbracchiebas,adbracchiebas,adbracchiebas,You were huging
Active Indicative,Imperfect,2nd Person,Plural,adbracchiabatis,adbracchiebatis,adbracchiebatis,adbracchiebatis,You (pl.) were huging
Active Indicative,Imperfect,3rd Person,Singular,adbracchiabat,adbracchiebat,adbracchiebat,adbracchiebat,He/she/it was huging
Active Indicative,Imperfect,3rd Person,Plural,adbracchiabant,adbracchiebant,adbracchiebant,adbracchiebant,They were huging
Active Indicative,Future,1st Person,Singular,adbracchiabo,adbracchiebo,adbracchiam,adbracchiam,I will hug
Active Indicative,Future,1st Person,Plural,adbracchiabimus,adbracchiebimus,adbracchiemus,adbracchiemus,We will hug
Active Indicative,Future,2nd Person,Singular,adbracchiabis,adbracchiebis,adbracchies,adbracchies,You will hug
Active Indicative,Future,2nd Person,Plural,adbracchiabitis,adbracchiebitis,adbracchietis,adbracchietis,You (pl.) will hug
Active Indicative,Future,3rd Person,Singular,adbracchiabit,adbracchiebit,adbracchiet,adbracchiet,He/she/it will hug
Active Indicative,Future,3rd Person,Plural,adbracchiabunt,adbracchiebunt,adbracchient,adbracchient,They will hug
Active Indicative,Perfect,1st Person,Singular,adbracchiavi,adbracchiui,adbracchi,adbracchi,I have huged
Active Indicative,Perfect,1st Person,Plural,adbracchiavimus,adbracchiuimus,adbracchimus,adbracchimus,We have huged
Active Indicative,Perfect,2nd Person,Singular,adbracchiavisti,adbracchiuisti,adbracchisti,adbracchisti,You have huged
Active Indicative,Perfect,2nd Person,Plural,adbracchiavistis,adbracchiuistis,adbracchistis,adbracchistis,You (pl.) have huged
Active Indicative,Perfect,3rd Person,Singular,adbracchiavit,adbracchiuit,adbracchit,adbracchit,He/she/it has huged
Active Indicative,Perfect,3rd Person,Plural,adbracchiaverunt,adbracchiuerunt,adbracchierunt,adbracchierunt,They have huged
Active Indicative,Pluperfect,1st Person,Singular,adbracchiaveram,adbracchiueram,adbracchieram,adbracchieram,I had huged
Active Indicative,Pluperfect,1st Person,Plural,adbracchiaveramus,adbracchiueramus,adbracchieramus,adbracchieramus,We had huged
Active Indicative,Pluperfect,2nd Person,Singular,adbracchiaveras,adbracchiueras,adbracchieras,adbracchieras,You had huged
Active Indicative,Pluperfect,2nd Person,Plural,adbracchiaveratis,adbracchiueratis,adbracchieratis,adbracchieratis,You (pl.) had huged
