Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,adipisco,adipisceo,adipisco,adipiscio,I obtain
Active Indicative,Present,1st Person,Plural,adipiscamus,adipiscemus,adipiscimus,adipiscimus,We obtain
Active Indicative,Present,2nd Person,Singular,adipiscas,adipisces,adipiscis,adipiscis,You obtain
Active Indicative,Present,2nd Person,Plural,adipiscatis,adipiscetis,adipiscitis,adipiscitis,You (pl.) obtain
Active Indicative,Present,3rd Person,Singular,adipiscat,adipiscet,adipiscit,adipiscit,He/she/it obtain
Active Indicative,Present,3rd Person,Plural,adipiscant,adipiscent,adipisciunt,adipisciunt,They obtain
Active Indicative,Imperfect,1st Person,Singular,adipiscabam,adipiscebam,adipiscebam,adipisciebam,I was obtaining
Active Indicative,Imperfect,1st Person,Plural,adipiscabamus,adipiscebamus,adipiscebamus,adipisciebamus,We were obtaining
Active Indicative,Imperfect,2nd Person,Singular,adipiscabas,adipiscebas,adipiscebas,adipisciebas,You were obtaining
Active Indicative,Imperfect,2nd Person,Plural,adipiscabatis,adipiscebatis,adipiscebatis,adipisciebatis,You (pl.) were obtaining
Active Indicative,Imperfect,3rd Person,Singular,adipiscabat,adipiscebat,adipiscebat,adipisciebat,He/she/it was obtaining
Active Indicative,Imperfect,3rd Person,Plural,adipiscabant,adipiscebant,adipiscebant,adipisciebant,They were obtaining
Active Indicative,Future,1st Person,Singular,adipiscabo,adipiscebo,adipiscam,adipisciam,I will obtain
Active Indicative,Future,1st Person,Plural,adipiscabimus,adipiscebimus,adipiscemus,adipisciemus,We will obtain
Active Indicative,Future,2nd Person,Singular,adipiscabis,adipiscebis,adipisces,adipiscies,You will obtain
Active Indicative,Future,2nd Person,Plural,adipiscabitis,adipiscebitis,adipiscetis,adipiscietis,You (pl.) will obtain
Active Indicative,Future,3rd Person,Singular,adipiscabit,adipiscebit,adipiscet,adipisciet,He/she/it will obtain
Active Indicative,Future,3rd Person,Plural,adipiscabunt,adipiscebunt,adipiscent,adipiscient,They will obtain
Active Indicative,Perfect,1st Person,Singular,adipiscavi,adipiscui,adipisci,adipisci,I have obtained
Active Indicative,Perfect,1st Person,Plural,adipiscavimus,adipiscuimus,adipiscimus,adipiscimus,We have obtained
Active Indicative,Perfect,2nd Person,Singular,adipiscavisti,adipiscuisti,adipiscisti,adipiscisti,You have obtained
Active Indicative,Perfect,2nd Person,Plural,adipiscavistis,adipiscuistis,adipiscistis,adipiscistis,You (pl.) have obtained
Active Indicative,Perfect,3rd Person,Singular,adipiscavit,adipiscuit,adipiscit,adipiscit,He/she/it has obtained
Active Indicative,Perfect,3rd Person,Plural,adipiscaverunt,adipiscuerunt,adipiscerunt,adipiscerunt,They have obtained
Active Indicative,Pluperfect,1st Person,Singular,adipiscaveram,adipiscueram,adipisceram,adipisceram,I had obtained
Active Indicative,Pluperfect,1st Person,Plural,adipiscaveramus,adipiscueramus,adipisceramus,adipisceramus,We had obtained
Active Indicative,Pluperfect,2nd Person,Singular,adipiscaveras,adipiscueras,adipisceras,adipisceras,You had obtained
Active Indicative,Pluperfect,2nd Person,Plural,adipiscaveratis,adipiscueratis,adipisceratis,adipisceratis,You (pl.) had obtained
Active Indicative,Pluperfect,3rd Person,Singular,adipiscaverat,adipiscuerat,adipiscerat,adipiscerat,He/she/it had obtained
Active Indicative,Pluperfect,3rd Person,Plural,adipiscaverant,adipiscuerant,adipiscerant,adipiscerant,They had obtained
Active Indicative,Future Perfect,1st Person,Singular,adipiscavero,adipiscueero,adipiscero,adipisciero,I will have obtained
Active Indicative,Future Perfect,1st Person,Plural,adipiscaverimus,adipiscuerimus,adipiscerimus,adipiscierimus,We will have obtained
Active Indicative,Future Perfect,2nd Person,Singular,adipiscaveris,adipiscueris,adipisceris,adipiscieris,You will have obtained
Active Indicative,Future Perfect,2nd Person,Plural,adipiscaveritis,adipiscueritis,adipisceritis,adipiscieritis,You (pl.) will have obtained
Active Indicative,Future Perfect,3rd Person,Singular,adipiscaverit,adipiscuerit,adipiscerit,adipiscierit,He/she/it will have obtained
Active Indicative,Future Perfect,3rd Person,Plural,adipiscaverint,adipiscuerint,adipiscerint,adipiscierint,They will have obtained
Passive Indicative,Present,1st Person,Singular,adipiscor,adipisceor,adipiscor,adipiscior,I am being obtained
Passive Indicative,Present,1st Person,Plural,adipiscamur,adipiscemur,adipiscimur,adipiscimur,We are being obtained
Passive Indicative,Present,2nd Person,Singular,adipiscaris,adipisceris,adipisciris,adipisciris,You are being obtained
Passive Indicative,Present,2nd Person,Plural,adipiscamini,adipiscemini,adipiscimini,adipiscimini,You (pl.) are being obtained
Passive Indicative,Present,3rd Person,Singular,adipiscatur,adipiscetur,adipiscitur,adipiscitur,He/she/it is being obtained
Passive Indicative,Present,3rd Person,Plural,adipiscantur,adipiscentur,adipisciuntur,adipisciuntur,They are being obtained
Passive Indicative,Imperfect,1st Person,Singular,adipiscabar,adipiscebar,adipiscebar,adipisciebar,I was obtained
