Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,admorto,admorteo,admorto,admortio,I deaden
Active Indicative,Present,1st Person,Plural,admortamus,admortemus,admortimus,admortimus,We deaden
Active Indicative,Present,2nd Person,Singular,admortas,admortes,admortis,admortis,You deaden
Active Indicative,Present,2nd Person,Plural,admortatis,admortetis,admortitis,admortitis,You (pl.) deaden
Active Indicative,Present,3rd Person,Singular,admortat,admortet,admortit,admortit,He/she/it deaden
Active Indicative,Present,3rd Person,Plural,admortant,admortent,admortiunt,admortiunt,They deaden
Active Indicative,Imperfect,1st Person,Singular,admortabam,admortebam,admortebam,admortiebam,I was deadening
Active Indicative,Imperfect,1st Person,Plural,admortabamus,admortebamus,admortebamus,admortiebamus,We were deadening
Active Indicative,Imperfect,2nd Person,Singular,admortabas,admortebas,admortebas,admortiebas,You were deadening
Active Indicative,Imperfect,2nd Person,Plural,admortabatis,admortebatis,admortebatis,admortiebatis,You (pl.) were deadening
Active Indicative,Imperfect,3rd Person,Singular,admortabat,admortebat,admortebat,admortiebat,He/she/it was deadening
Active Indicative,Imperfect,3rd Person,Plural,admortabant,admortebant,admortebant,admortiebant,They were deadening
Active Indicative,Future,1st Person,Singular,admortabo,admortebo,admortam,admortiam,I will deaden
Active Indicative,Future,1st Person,Plural,admortabimus,admortebimus,admortemus,admortiemus,We will deaden
Active Indicative,Future,2nd Person,Singular,admortabis,admortebis,admortes,admorties,You will deaden
Active Indicative,Future,2nd Person,Plural,admortabitis,admortebitis,admortetis,admortietis,You (pl.) will deaden
Active Indicative,Future,3rd Person,Singular,admortabit,admortebit,admortet,admortiet,He/she/it will deaden
Active Indicative,Future,3rd Person,Plural,admortabunt,admortebunt,admortent,admortient,They will deaden
Active Indicative,Perfect,1st Person,Singular,admortavi,admortui,admorti,admorti,I have deadened
Active Indicative,Perfect,1st Person,Plural,admortavimus,admortuimus,admortimus,admortimus,We have deadened
Active Indicative,Perfect,2nd Person,Singular,admortavisti,admortuisti,admortisti,admortisti,You have deadened
Active Indicative,Perfect,2nd Person,Plural,admortavistis,admortuistis,admortistis,admortistis,You (pl.) have deadened
Active Indicative,Perfect,3rd Person,Singular,admortavit,admortuit,admortit,admortit,He/she/it has deadened
Active Indicative,Perfect,3rd Person,Plural,admortaverunt,admortuerunt,admorterunt,admorterunt,They have deadened
Active Indicative,Pluperfect,1st Person,Singular,admortaveram,admortueram,admorteram,admorteram,I had deadened
Active Indicative,Pluperfect,1st Person,Plural,admortaveramus,admortueramus,admorteramus,admorteramus,We had deadened
Active Indicative,Pluperfect,2nd Person,Singular,admortaveras,admortueras,admorteras,admorteras,You had deadened
Active Indicative,Pluperfect,2nd Person,Plural,admortaveratis,admortueratis,admorteratis,admorteratis,You (pl.) had deadened
Active Indicative,Pluperfect,3rd Person,Singular,admortaverat,admortuerat,admorterat,admorterat,He/she/it had deadened
Active Indicative,Pluperfect,3rd Person,Plural,admortaverant,admortuerant,admorterant,admorterant,They had deadened
Active Indicative,Future Perfect,1st Person,Singular,admortavero,admortueero,admortero,admortiero,I will have deadened
Active Indicative,Future Perfect,1st Person,Plural,admortaverimus,admortuerimus,admorterimus,admortierimus,We will have deadened
Active Indicative,Future Perfect,2nd Person,Singular,admortaveris,admortueris,admorteris,admortieris,You will have deadened
Active Indicative,Future Perfect,2nd Person,Plural,admortaveritis,admortueritis,admorteritis,admortieritis,You (pl.) will have deadened
Active Indicative,Future Perfect,3rd Person,Singular,admortaverit,admortuerit,admorterit,admortierit,He/she/it will have deadened
Active Indicative,Future Perfect,3rd Person,Plural,admortaverint,admortuerint,admorterint,admortierint,They will have deadened
Passive Indicative,Present,1st Person,Singular,admortor,admorteor,admortor,admortior,I am being deadened
Passive Indicative,Present,1st Person,Plural,admortamur,admortemur,admortimur,admortimur,We are being deadened
Passive Indicative,Present,2nd Person,Singular,admortaris,admorteris,admortiris,admortiris,You are being deadened
Passive Indicative,Present,2nd Person,Plural,admortamini,admortemini,admortimini,admortimini,You (pl.) are being deadened
Passive Indicative,Present,3rd Person,Singular,admortatur,admortetur,admortitur,admortitur,He/she/it is being deadened
Passive Indicative,Present,3rd Person,Plural,admortantur,admortentur,admortiuntur,admortiuntur,They are being deadened
Passive Indicative,Imperfect,1st Person,Singular,admortabar,admortebar,admortebar,admortiebar,I was deadened
Passive Indicative,Imperfect,1st Person,Plural,admortabamur,admortebamur,admortebamur,admortiebamur,We were deadened
Passive Indicative,Imperfect,2nd Person,Singular,admortabaris,admortebaris,admortebaris,admortiebaris,You were deadened
Passive Indicative,Imperfect,2nd Person,Plural,admortabamini,admortebamini,admortebamini,admortiebamini,You (pl.) were deadened
Passive Indicative,Imperfect,3rd Person,Singular,admortabatur,admortebatur,admortebatur,admortiebatur,He/she/it was deadened
Passive Indicative,Imperfect,3rd Person,Plural,admortabantur,admortebantur,admortebantur,admortiebantur,They were deadened
Passive Indicative,Future,1st Person,Singular,admortabor,admortebor,admortar,admortiar,I will be deadened
Passive Indicative,Future,1st Person,Plural,admortabimur,admortebimur,admortemur,admortiemur,We will be deadened
Passive Indicative,Future,2nd Person,Singular,admortaberis,admorteberis,admorteris,admortieris,You will be deadened
Passive Indicative,Future,2nd Person,Plural,admortabimini,admortebimini,admortemini,admortiemini,You (pl.) will be deadened
Passive Indicative,Future,3rd Person,Singular,admortabitur,admortebitur,admortetur,admortietur,He/she/it will be deadened
Passive Indicative,Future,3rd Person,Plural,admortabuntur,admortebuntur,admortentur,admortientur,They will be deadened
Passive Indicative,Perfect,1st Person,Singular,admortatus sum,admortetus sum,admortus sum,admortus sum,I have been deadened
Passive Indicative,Perfect,1st Person,Plural,admortati sumus,admorteti sumus,admorti sumus,admorti sumus,We have been deadened
