Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,adoculo,adoculeo,adoculo,adoculio,I look at
Active Indicative,Present,1st Person,Plural,adoculamus,adoculemus,adoculimus,adoculimus,We look at
Active Indicative,Present,2nd Person,Singular,adoculas,adocules,adoculis,adoculis,You look at
Active Indicative,Present,2nd Person,Plural,adoculatis,adoculetis,adoculitis,adoculitis,You (pl.) look at
Active Indicative,Present,3rd Person,Singular,adoculat,adoculet,adoculit,adoculit,He/she/it look at
Active Indicative,Present,3rd Person,Plural,adoculant,adoculent,adoculiunt,adoculiunt,They look at
Active Indicative,Imperfect,1st Person,Singular,adoculabam,adoculebam,adoculebam,adoculiebam,I was look ating
Active Indicative,Imperfect,1st Person,Plural,adoculabamus,adoculebamus,adoculebamus,adoculiebamus,We were look ating
Active Indicative,Imperfect,2nd Person,Singular,adoculabas,adoculebas,adoculebas,adoculiebas,You were look ating
Active Indicative,Imperfect,2nd Person,Plural,adoculabatis,adoculebatis,adoculebatis,adoculiebatis,You (pl.) were look ating
Active Indicative,Imperfect,3rd Person,Singular,adoculabat,adoculebat,adoculebat,adoculiebat,He/she/it was look ating
Active Indicative,Imperfect,3rd Person,Plural,adoculabant,adoculebant,adoculebant,adoculiebant,They were look ating
Active Indicative,Future,1st Person,Singular,adoculabo,adoculebo,adoculam,adoculiam,I will look at
Active Indicative,Future,1st Person,Plural,adoculabimus,adoculebimus,adoculemus,adoculiemus,We will look at
Active Indicative,Future,2nd Person,Singular,adoculabis,adoculebis,adocules,adoculies,You will look at
Active Indicative,Future,2nd Person,Plural,adoculabitis,adoculebitis,adoculetis,adoculietis,You (pl.) will look at
Active Indicative,Future,3rd Person,Singular,adoculabit,adoculebit,adoculet,adoculiet,He/she/it will look at
Active Indicative,Future,3rd Person,Plural,adoculabunt,adoculebunt,adoculent,adoculient,They will look at
Active Indicative,Perfect,1st Person,Singular,adoculavi,adocului,adoculi,adoculi,I have look ated
Active Indicative,Perfect,1st Person,Plural,adoculavimus,adoculuimus,adoculimus,adoculimus,We have look ated
Active Indicative,Perfect,2nd Person,Singular,adoculavisti,adoculuisti,adoculisti,adoculisti,You have look ated
Active Indicative,Perfect,2nd Person,Plural,adoculavistis,adoculuistis,adoculistis,adoculistis,You (pl.) have look ated
Active Indicative,Perfect,3rd Person,Singular,adoculavit,adoculuit,adoculit,adoculit,He/she/it has look ated
Active Indicative,Perfect,3rd Person,Plural,adoculaverunt,adoculuerunt,adoculerunt,adoculerunt,They have look ated
Active Indicative,Pluperfect,1st Person,Singular,adoculaveram,adoculueram,adoculeram,adoculeram,I had look ated
Active Indicative,Pluperfect,1st Person,Plural,adoculaveramus,adoculueramus,adoculeramus,adoculeramus,We had look ated
Active Indicative,Pluperfect,2nd Person,Singular,adoculaveras,adoculueras,adoculeras,adoculeras,You had look ated
Active Indicative,Pluperfect,2nd Person,Plural,adoculaveratis,adoculueratis,adoculeratis,adoculeratis,You (pl.) had look ated
Active Indicative,Pluperfect,3rd Person,Singular,adoculaverat,adoculuerat,adoculerat,adoculerat,He/she/it had look ated
Active Indicative,Pluperfect,3rd Person,Plural,adoculaverant,adoculuerant,adoculerant,adoculerant,They had look ated
Active Indicative,Future Perfect,1st Person,Singular,adoculavero,adoculueero,adoculero,adoculiero,I will have look ated
Active Indicative,Future Perfect,1st Person,Plural,adoculaverimus,adoculuerimus,adoculerimus,adoculierimus,We will have look ated
Active Indicative,Future Perfect,2nd Person,Singular,adoculaveris,adoculueris,adoculeris,adoculieris,You will have look ated
Active Indicative,Future Perfect,2nd Person,Plural,adoculaveritis,adoculueritis,adoculeritis,adoculieritis,You (pl.) will have look ated
Active Indicative,Future Perfect,3rd Person,Singular,adoculaverit,adoculuerit,adoculerit,adoculierit,He/she/it will have look ated
Active Indicative,Future Perfect,3rd Person,Plural,adoculaverint,adoculuerint,adoculerint,adoculierint,They will have look ated
Passive Indicative,Present,1st Person,Singular,adoculor,adoculeor,adoculor,adoculior,I am being look ated
Passive Indicative,Present,1st Person,Plural,adoculamur,adoculemur,adoculimur,adoculimur,We are being look ated
Passive Indicative,Present,2nd Person,Singular,adocularis,adoculeris,adoculiris,adoculiris,You are being look ated
Passive Indicative,Present,2nd Person,Plural,adoculamini,adoculemini,adoculimini,adoculimini,You (pl.) are being look ated
Passive Indicative,Present,3rd Person,Singular,adoculatur,adoculetur,adoculitur,adoculitur,He/she/it is being look ated
Passive Indicative,Present,3rd Person,Plural,adoculantur,adoculentur,adoculiuntur,adoculiuntur,They are being look ated
Passive Indicative,Imperfect,1st Person,Singular,adoculabar,adoculebar,adoculebar,adoculiebar,I was look ated
Passive Indicative,Imperfect,1st Person,Plural,adoculabamur,adoculebamur,adoculebamur,adoculiebamur,We were look ated
Passive Indicative,Imperfect,2nd Person,Singular,adoculabaris,adoculebaris,adoculebaris,adoculiebaris,You were look ated
Passive Indicative,Imperfect,2nd Person,Plural,adoculabamini,adoculebamini,adoculebamini,adoculiebamini,You (pl.) were look ated
Passive Indicative,Imperfect,3rd Person,Singular,adoculabatur,adoculebatur,adoculebatur,adoculiebatur,He/she/it was look ated
Passive Indicative,Imperfect,3rd Person,Plural,adoculabantur,adoculebantur,adoculebantur,adoculiebantur,They were look ated
Passive Indicative,Future,1st Person,Singular,adoculabor,adoculebor,adocular,adoculiar,I will be look ated
Passive Indicative,Future,1st Person,Plural,adoculabimur,adoculebimur,adoculemur,adoculiemur,We will be look ated
Passive Indicative,Future,2nd Person,Singular,adoculaberis,adoculeberis,adoculeris,adoculieris,You will be look ated
Passive Indicative,Future,2nd Person,Plural,adoculabimini,adoculebimini,adoculemini,adoculiemini,You (pl.) will be look ated
Passive Indicative,Future,3rd Person,Singular,adoculabitur,adoculebitur,adoculetur,adoculietur,He/she/it will be look ated
Passive Indicative,Future,3rd Person,Plural,adoculabuntur,adoculebuntur,adoculentur,adoculientur,They will be look ated
Passive Indicative,Perfect,1st Person,Singular,adoculatus sum,adoculetus sum,adoculus sum,adoculus sum,I have been look ated
Passive Indicative,Perfect,1st Person,Plural,adoculati sumus,adoculeti sumus,adoculi sumus,adoculi sumus,We have been look ated
Passive Indicative,Perfect,2nd Person,Singular,adoculatus es,adoculetus es,adoculus es,adoculus es,You have been look ated
Passive Indicative,Perfect,2nd Person,Plural,adoculati estis,adoculeti estis,adoculi estis,adoculi estis,You (pl.) have been look ated
Passive Indicative,Perfect,3rd Person,Singular,adoculatus est,adoculetus est,adoculus est,adoculus est,He/she/it has been look ated
Passive Indicative,Perfect,3rd Person,Plural,adoculati sunt,adoculeti sunt,adoculi sunt,adoculi sunt,They have been look ated
Passive Indicative,Pluperfect,1st Person,Singular,adoculatus eram,adoculetus eram,adoculus eram,adoculus eram,I had been look ated
Passive Indicative,Pluperfect,1st Person,Plural,adoculati eramus,adoculeti eramus,adoculi eramus,adoculi eramus,We had been look ated
Passive Indicative,Pluperfect,2nd Person,Singular,adoculatus eras,adoculetus eras,adoculus eras,adoculus eras,You had been look ated
