Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,adopinaturo,adopinatureo,adopinaturo,adopinaturio,I suppose
Active Indicative,Present,1st Person,Plural,adopinaturamus,adopinaturemus,adopinaturimus,adopinaturimus,We suppose
Active Indicative,Present,2nd Person,Singular,adopinaturas,adopinatures,adopinaturis,adopinaturis,You suppose
Active Indicative,Present,2nd Person,Plural,adopinaturatis,adopinaturetis,adopinaturitis,adopinaturitis,You (pl.) suppose
Active Indicative,Present,3rd Person,Singular,adopinaturat,adopinaturet,adopinaturit,adopinaturit,He/she/it suppose
Active Indicative,Present,3rd Person,Plural,adopinaturant,adopinaturent,adopinaturiunt,adopinaturiunt,They suppose
Active Indicative,Imperfect,1st Person,Singular,adopinaturabam,adopinaturebam,adopinaturebam,adopinaturiebam,I was supposeing
Active Indicative,Imperfect,1st Person,Plural,adopinaturabamus,adopinaturebamus,adopinaturebamus,adopinaturiebamus,We were supposeing
Active Indicative,Imperfect,2nd Person,Singular,adopinaturabas,adopinaturebas,adopinaturebas,adopinaturiebas,You were supposeing
Active Indicative,Imperfect,2nd Person,Plural,adopinaturabatis,adopinaturebatis,adopinaturebatis,adopinaturiebatis,You (pl.) were supposeing
Active Indicative,Imperfect,3rd Person,Singular,adopinaturabat,adopinaturebat,adopinaturebat,adopinaturiebat,He/she/it was supposeing
Active Indicative,Imperfect,3rd Person,Plural,adopinaturabant,adopinaturebant,adopinaturebant,adopinaturiebant,They were supposeing
Active Indicative,Future,1st Person,Singular,adopinaturabo,adopinaturebo,adopinaturam,adopinaturiam,I will suppose
Active Indicative,Future,1st Person,Plural,adopinaturabimus,adopinaturebimus,adopinaturemus,adopinaturiemus,We will suppose
Active Indicative,Future,2nd Person,Singular,adopinaturabis,adopinaturebis,adopinatures,adopinaturies,You will suppose
Active Indicative,Future,2nd Person,Plural,adopinaturabitis,adopinaturebitis,adopinaturetis,adopinaturietis,You (pl.) will suppose
Active Indicative,Future,3rd Person,Singular,adopinaturabit,adopinaturebit,adopinaturet,adopinaturiet,He/she/it will suppose
Active Indicative,Future,3rd Person,Plural,adopinaturabunt,adopinaturebunt,adopinaturent,adopinaturient,They will suppose
Active Indicative,Perfect,1st Person,Singular,adopinaturavi,adopinaturui,adopinaturi,adopinaturi,I have supposeed
