Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,adopino,adopineo,adopino,adopinio,I suppose
Active Indicative,Present,1st Person,Plural,adopinamus,adopinemus,adopinimus,adopinimus,We suppose
Active Indicative,Present,2nd Person,Singular,adopinas,adopines,adopinis,adopinis,You suppose
Active Indicative,Present,2nd Person,Plural,adopinatis,adopinetis,adopinitis,adopinitis,You (pl.) suppose
Active Indicative,Present,3rd Person,Singular,adopinat,adopinet,adopinit,adopinit,He/she/it suppose
Active Indicative,Present,3rd Person,Plural,adopinant,adopinent,adopiniunt,adopiniunt,They suppose
Active Indicative,Imperfect,1st Person,Singular,adopinabam,adopinebam,adopinebam,adopiniebam,I was supposeing
Active Indicative,Imperfect,1st Person,Plural,adopinabamus,adopinebamus,adopinebamus,adopiniebamus,We were supposeing
Active Indicative,Imperfect,2nd Person,Singular,adopinabas,adopinebas,adopinebas,adopiniebas,You were supposeing
Active Indicative,Imperfect,2nd Person,Plural,adopinabatis,adopinebatis,adopinebatis,adopiniebatis,You (pl.) were supposeing
Active Indicative,Imperfect,3rd Person,Singular,adopinabat,adopinebat,adopinebat,adopiniebat,He/she/it was supposeing
Active Indicative,Imperfect,3rd Person,Plural,adopinabant,adopinebant,adopinebant,adopiniebant,They were supposeing
Active Indicative,Future,1st Person,Singular,adopinabo,adopinebo,adopinam,adopiniam,I will suppose
Active Indicative,Future,1st Person,Plural,adopinabimus,adopinebimus,adopinemus,adopiniemus,We will suppose
Active Indicative,Future,2nd Person,Singular,adopinabis,adopinebis,adopines,adopinies,You will suppose
Active Indicative,Future,2nd Person,Plural,adopinabitis,adopinebitis,adopinetis,adopinietis,You (pl.) will suppose
Active Indicative,Future,3rd Person,Singular,adopinabit,adopinebit,adopinet,adopiniet,He/she/it will suppose
Active Indicative,Future,3rd Person,Plural,adopinabunt,adopinebunt,adopinent,adopinient,They will suppose
Active Indicative,Perfect,1st Person,Singular,adopinavi,adopinui,adopini,adopini,I have supposeed
Active Indicative,Perfect,1st Person,Plural,adopinavimus,adopinuimus,adopinimus,adopinimus,We have supposeed
Active Indicative,Perfect,2nd Person,Singular,adopinavisti,adopinuisti,adopinisti,adopinisti,You have supposeed
Active Indicative,Perfect,2nd Person,Plural,adopinavistis,adopinuistis,adopinistis,adopinistis,You (pl.) have supposeed
Active Indicative,Perfect,3rd Person,Singular,adopinavit,adopinuit,adopinit,adopinit,He/she/it has supposeed
Active Indicative,Perfect,3rd Person,Plural,adopinaverunt,adopinuerunt,adopinerunt,adopinerunt,They have supposeed
Active Indicative,Pluperfect,1st Person,Singular,adopinaveram,adopinueram,adopineram,adopineram,I had supposeed
Active Indicative,Pluperfect,1st Person,Plural,adopinaveramus,adopinueramus,adopineramus,adopineramus,We had supposeed
Active Indicative,Pluperfect,2nd Person,Singular,adopinaveras,adopinueras,adopineras,adopineras,You had supposeed
Active Indicative,Pluperfect,2nd Person,Plural,adopinaveratis,adopinueratis,adopineratis,adopineratis,You (pl.) had supposeed
Active Indicative,Pluperfect,3rd Person,Singular,adopinaverat,adopinuerat,adopinerat,adopinerat,He/she/it had supposeed
Active Indicative,Pluperfect,3rd Person,Plural,adopinaverant,adopinuerant,adopinerant,adopinerant,They had supposeed
Active Indicative,Future Perfect,1st Person,Singular,adopinavero,adopinueero,adopinero,adopiniero,I will have supposeed
Active Indicative,Future Perfect,1st Person,Plural,adopinaverimus,adopinuerimus,adopinerimus,adopinierimus,We will have supposeed
Active Indicative,Future Perfect,2nd Person,Singular,adopinaveris,adopinueris,adopineris,adopinieris,You will have supposeed
Active Indicative,Future Perfect,2nd Person,Plural,adopinaveritis,adopinueritis,adopineritis,adopinieritis,You (pl.) will have supposeed
Active Indicative,Future Perfect,3rd Person,Singular,adopinaverit,adopinuerit,adopinerit,adopinierit,He/she/it will have supposeed
Active Indicative,Future Perfect,3rd Person,Plural,adopinaverint,adopinuerint,adopinerint,adopinierint,They will have supposeed
Passive Indicative,Present,1st Person,Singular,adopinor,adopineor,adopinor,adopinior,I am being supposeed
Passive Indicative,Present,1st Person,Plural,adopinamur,adopinemur,adopinimur,adopinimur,We are being supposeed
Passive Indicative,Present,2nd Person,Singular,adopinaris,adopineris,adopiniris,adopiniris,You are being supposeed
Passive Indicative,Present,2nd Person,Plural,adopinamini,adopinemini,adopinimini,adopinimini,You (pl.) are being supposeed
Passive Indicative,Present,3rd Person,Singular,adopinatur,adopinetur,adopinitur,adopinitur,He/she/it is being supposeed
Passive Indicative,Present,3rd Person,Plural,adopinantur,adopinentur,adopiniuntur,adopiniuntur,They are being supposeed
Passive Indicative,Imperfect,1st Person,Singular,adopinabar,adopinebar,adopinebar,adopiniebar,I was supposeed
Passive Indicative,Imperfect,1st Person,Plural,adopinabamur,adopinebamur,adopinebamur,adopiniebamur,We were supposeed
Passive Indicative,Imperfect,2nd Person,Singular,adopinabaris,adopinebaris,adopinebaris,adopiniebaris,You were supposeed
Passive Indicative,Imperfect,2nd Person,Plural,adopinabamini,adopinebamini,adopinebamini,adopiniebamini,You (pl.) were supposeed
Passive Indicative,Imperfect,3rd Person,Singular,adopinabatur,adopinebatur,adopinebatur,adopiniebatur,He/she/it was supposeed
Passive Indicative,Imperfect,3rd Person,Plural,adopinabantur,adopinebantur,adopinebantur,adopiniebantur,They were supposeed
Passive Indicative,Future,1st Person,Singular,adopinabor,adopinebor,adopinar,adopiniar,I will be supposeed
Passive Indicative,Future,1st Person,Plural,adopinabimur,adopinebimur,adopinemur,adopiniemur,We will be supposeed
