Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,affronto,affronteo,affronto,affrontio,I confront
Active Indicative,Present,1st Person,Plural,affrontamus,affrontemus,affrontimus,affrontimus,We confront
Active Indicative,Present,2nd Person,Singular,affrontas,affrontes,affrontis,affrontis,You confront
Active Indicative,Present,2nd Person,Plural,affrontatis,affrontetis,affrontitis,affrontitis,You (pl.) confront
Active Indicative,Present,3rd Person,Singular,affrontat,affrontet,affrontit,affrontit,He/she/it confront
Active Indicative,Present,3rd Person,Plural,affrontant,affrontent,affrontiunt,affrontiunt,They confront
Active Indicative,Imperfect,1st Person,Singular,affrontabam,affrontebam,affrontebam,affrontiebam,I was confronting
Active Indicative,Imperfect,1st Person,Plural,affrontabamus,affrontebamus,affrontebamus,affrontiebamus,We were confronting
Active Indicative,Imperfect,2nd Person,Singular,affrontabas,affrontebas,affrontebas,affrontiebas,You were confronting
Active Indicative,Imperfect,2nd Person,Plural,affrontabatis,affrontebatis,affrontebatis,affrontiebatis,You (pl.) were confronting
Active Indicative,Imperfect,3rd Person,Singular,affrontabat,affrontebat,affrontebat,affrontiebat,He/she/it was confronting
Active Indicative,Imperfect,3rd Person,Plural,affrontabant,affrontebant,affrontebant,affrontiebant,They were confronting
Active Indicative,Future,1st Person,Singular,affrontabo,affrontebo,affrontam,affrontiam,I will confront
Active Indicative,Future,1st Person,Plural,affrontabimus,affrontebimus,affrontemus,affrontiemus,We will confront
Active Indicative,Future,2nd Person,Singular,affrontabis,affrontebis,affrontes,affronties,You will confront
Active Indicative,Future,2nd Person,Plural,affrontabitis,affrontebitis,affrontetis,affrontietis,You (pl.) will confront
Active Indicative,Future,3rd Person,Singular,affrontabit,affrontebit,affrontet,affrontiet,He/she/it will confront
Active Indicative,Future,3rd Person,Plural,affrontabunt,affrontebunt,affrontent,affrontient,They will confront
Active Indicative,Perfect,1st Person,Singular,affrontavi,affrontui,affronti,affronti,I have confronted
Active Indicative,Perfect,1st Person,Plural,affrontavimus,affrontuimus,affrontimus,affrontimus,We have confronted
Active Indicative,Perfect,2nd Person,Singular,affrontavisti,affrontuisti,affrontisti,affrontisti,You have confronted
Active Indicative,Perfect,2nd Person,Plural,affrontavistis,affrontuistis,affrontistis,affrontistis,You (pl.) have confronted
Active Indicative,Perfect,3rd Person,Singular,affrontavit,affrontuit,affrontit,affrontit,He/she/it has confronted
Active Indicative,Perfect,3rd Person,Plural,affrontaverunt,affrontuerunt,affronterunt,affronterunt,They have confronted
Active Indicative,Pluperfect,1st Person,Singular,affrontaveram,affrontueram,affronteram,affronteram,I had confronted
Active Indicative,Pluperfect,1st Person,Plural,affrontaveramus,affrontueramus,affronteramus,affronteramus,We had confronted
Active Indicative,Pluperfect,2nd Person,Singular,affrontaveras,affrontueras,affronteras,affronteras,You had confronted
Active Indicative,Pluperfect,2nd Person,Plural,affrontaveratis,affrontueratis,affronteratis,affronteratis,You (pl.) had confronted
Active Indicative,Pluperfect,3rd Person,Singular,affrontaverat,affrontuerat,affronterat,affronterat,He/she/it had confronted
Active Indicative,Pluperfect,3rd Person,Plural,affrontaverant,affrontuerant,affronterant,affronterant,They had confronted
Active Indicative,Future Perfect,1st Person,Singular,affrontavero,affrontueero,affrontero,affrontiero,I will have confronted
Active Indicative,Future Perfect,1st Person,Plural,affrontaverimus,affrontuerimus,affronterimus,affrontierimus,We will have confronted
Active Indicative,Future Perfect,2nd Person,Singular,affrontaveris,affrontueris,affronteris,affrontieris,You will have confronted
Active Indicative,Future Perfect,2nd Person,Plural,affrontaveritis,affrontueritis,affronteritis,affrontieritis,You (pl.) will have confronted
Active Indicative,Future Perfect,3rd Person,Singular,affrontaverit,affrontuerit,affronterit,affrontierit,He/she/it will have confronted
Active Indicative,Future Perfect,3rd Person,Plural,affrontaverint,affrontuerint,affronterint,affrontierint,They will have confronted
Passive Indicative,Present,1st Person,Singular,affrontor,affronteor,affrontor,affrontior,I am being confronted
Passive Indicative,Present,1st Person,Plural,affrontamur,affrontemur,affrontimur,affrontimur,We are being confronted
Passive Indicative,Present,2nd Person,Singular,affrontaris,affronteris,affrontiris,affrontiris,You are being confronted
Passive Indicative,Present,2nd Person,Plural,affrontamini,affrontemini,affrontimini,affrontimini,You (pl.) are being confronted
Passive Indicative,Present,3rd Person,Singular,affrontatur,affrontetur,affrontitur,affrontitur,He/she/it is being confronted
Passive Indicative,Present,3rd Person,Plural,affrontantur,affrontentur,affrontiuntur,affrontiuntur,They are being confronted
Passive Indicative,Imperfect,1st Person,Singular,affrontabar,affrontebar,affrontebar,affrontiebar,I was confronted
Passive Indicative,Imperfect,1st Person,Plural,affrontabamur,affrontebamur,affrontebamur,affrontiebamur,We were confronted
Passive Indicative,Imperfect,2nd Person,Singular,affrontabaris,affrontebaris,affrontebaris,affrontiebaris,You were confronted
Passive Indicative,Imperfect,2nd Person,Plural,affrontabamini,affrontebamini,affrontebamini,affrontiebamini,You (pl.) were confronted
Passive Indicative,Imperfect,3rd Person,Singular,affrontabatur,affrontebatur,affrontebatur,affrontiebatur,He/she/it was confronted
Passive Indicative,Imperfect,3rd Person,Plural,affrontabantur,affrontebantur,affrontebantur,affrontiebantur,They were confronted
Passive Indicative,Future,1st Person,Singular,affrontabor,affrontebor,affrontar,affrontiar,I will be confronted
Passive Indicative,Future,1st Person,Plural,affrontabimur,affrontebimur,affrontemur,affrontiemur,We will be confronted
