Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,affugiento,affugienteo,affugiento,affugientio,I flee
Active Indicative,Present,1st Person,Plural,affugientamus,affugientemus,affugientimus,affugientimus,We flee
Active Indicative,Present,2nd Person,Singular,affugientas,affugientes,affugientis,affugientis,You flee
Active Indicative,Present,2nd Person,Plural,affugientatis,affugientetis,affugientitis,affugientitis,You (pl.) flee
Active Indicative,Present,3rd Person,Singular,affugientat,affugientet,affugientit,affugientit,He/she/it flee
Active Indicative,Present,3rd Person,Plural,affugientant,affugientent,affugientiunt,affugientiunt,They flee
Active Indicative,Imperfect,1st Person,Singular,affugientabam,affugientebam,affugientebam,affugientiebam,I was fleeing
Active Indicative,Imperfect,1st Person,Plural,affugientabamus,affugientebamus,affugientebamus,affugientiebamus,We were fleeing
Active Indicative,Imperfect,2nd Person,Singular,affugientabas,affugientebas,affugientebas,affugientiebas,You were fleeing
Active Indicative,Imperfect,2nd Person,Plural,affugientabatis,affugientebatis,affugientebatis,affugientiebatis,You (pl.) were fleeing
Active Indicative,Imperfect,3rd Person,Singular,affugientabat,affugientebat,affugientebat,affugientiebat,He/she/it was fleeing
Active Indicative,Imperfect,3rd Person,Plural,affugientabant,affugientebant,affugientebant,affugientiebant,They were fleeing
Active Indicative,Future,1st Person,Singular,affugientabo,affugientebo,affugientam,affugientiam,I will flee
Active Indicative,Future,1st Person,Plural,affugientabimus,affugientebimus,affugientemus,affugientiemus,We will flee
Active Indicative,Future,2nd Person,Singular,affugientabis,affugientebis,affugientes,affugienties,You will flee
Active Indicative,Future,2nd Person,Plural,affugientabitis,affugientebitis,affugientetis,affugientietis,You (pl.) will flee
Active Indicative,Future,3rd Person,Singular,affugientabit,affugientebit,affugientet,affugientiet,He/she/it will flee
Active Indicative,Future,3rd Person,Plural,affugientabunt,affugientebunt,affugientent,affugientient,They will flee
Active Indicative,Perfect,1st Person,Singular,affugientavi,affugientui,affugienti,affugienti,I have fleeed
Active Indicative,Perfect,1st Person,Plural,affugientavimus,affugientuimus,affugientimus,affugientimus,We have fleeed
Active Indicative,Perfect,2nd Person,Singular,affugientavisti,affugientuisti,affugientisti,affugientisti,You have fleeed
Active Indicative,Perfect,2nd Person,Plural,affugientavistis,affugientuistis,affugientistis,affugientistis,You (pl.) have fleeed
Active Indicative,Perfect,3rd Person,Singular,affugientavit,affugientuit,affugientit,affugientit,He/she/it has fleeed
Active Indicative,Perfect,3rd Person,Plural,affugientaverunt,affugientuerunt,affugienterunt,affugienterunt,They have fleeed
Active Indicative,Pluperfect,1st Person,Singular,affugientaveram,affugientueram,affugienteram,affugienteram,I had fleeed
Active Indicative,Pluperfect,1st Person,Plural,affugientaveramus,affugientueramus,affugienteramus,affugienteramus,We had fleeed
Active Indicative,Pluperfect,2nd Person,Singular,affugientaveras,affugientueras,affugienteras,affugienteras,You had fleeed
Active Indicative,Pluperfect,2nd Person,Plural,affugientaveratis,affugientueratis,affugienteratis,affugienteratis,You (pl.) had fleeed
Active Indicative,Pluperfect,3rd Person,Singular,affugientaverat,affugientuerat,affugienterat,affugienterat,He/she/it had fleeed
Active Indicative,Pluperfect,3rd Person,Plural,affugientaverant,affugientuerant,affugienterant,affugienterant,They had fleeed
Active Indicative,Future Perfect,1st Person,Singular,affugientavero,affugientueero,affugientero,affugientiero,I will have fleeed
Active Indicative,Future Perfect,1st Person,Plural,affugientaverimus,affugientuerimus,affugienterimus,affugientierimus,We will have fleeed
Active Indicative,Future Perfect,2nd Person,Singular,affugientaveris,affugientueris,affugienteris,affugientieris,You will have fleeed
Active Indicative,Future Perfect,2nd Person,Plural,affugientaveritis,affugientueritis,affugienteritis,affugientieritis,You (pl.) will have fleeed
Active Indicative,Future Perfect,3rd Person,Singular,affugientaverit,affugientuerit,affugienterit,affugientierit,He/she/it will have fleeed
Active Indicative,Future Perfect,3rd Person,Plural,affugientaverint,affugientuerint,affugienterint,affugientierint,They will have fleeed
Passive Indicative,Present,1st Person,Singular,affugientor,affugienteor,affugientor,affugientior,I am being fleeed
Passive Indicative,Present,1st Person,Plural,affugientamur,affugientemur,affugientimur,affugientimur,We are being fleeed
Passive Indicative,Present,2nd Person,Singular,affugientaris,affugienteris,affugientiris,affugientiris,You are being fleeed
Passive Indicative,Present,2nd Person,Plural,affugientamini,affugientemini,affugientimini,affugientimini,You (pl.) are being fleeed
Passive Indicative,Present,3rd Person,Singular,affugientatur,affugientetur,affugientitur,affugientitur,He/she/it is being fleeed
Passive Indicative,Present,3rd Person,Plural,affugientantur,affugiententur,affugientiuntur,affugientiuntur,They are being fleeed
Passive Indicative,Imperfect,1st Person,Singular,affugientabar,affugientebar,affugientebar,affugientiebar,I was fleeed
Passive Indicative,Imperfect,1st Person,Plural,affugientabamur,affugientebamur,affugientebamur,affugientiebamur,We were fleeed
Passive Indicative,Imperfect,2nd Person,Singular,affugientabaris,affugientebaris,affugientebaris,affugientiebaris,You were fleeed
Passive Indicative,Imperfect,2nd Person,Plural,affugientabamini,affugientebamini,affugientebamini,affugientiebamini,You (pl.) were fleeed
Passive Indicative,Imperfect,3rd Person,Singular,affugientabatur,affugientebatur,affugientebatur,affugientiebatur,He/she/it was fleeed
Passive Indicative,Imperfect,3rd Person,Plural,affugientabantur,affugientebantur,affugientebantur,affugientiebantur,They were fleeed
Passive Indicative,Future,1st Person,Singular,affugientabor,affugientebor,affugientar,affugientiar,I will be fleeed
Passive Indicative,Future,1st Person,Plural,affugientabimur,affugientebimur,affugientemur,affugientiemur,We will be fleeed
Passive Indicative,Future,2nd Person,Singular,affugientaberis,affugienteberis,affugienteris,affugientieris,You will be fleeed
Passive Indicative,Future,2nd Person,Plural,affugientabimini,affugientebimini,affugientemini,affugientiemini,You (pl.) will be fleeed
Passive Indicative,Future,3rd Person,Singular,affugientabitur,affugientebitur,affugientetur,affugientietur,He/she/it will be fleeed
Passive Indicative,Future,3rd Person,Plural,affugientabuntur,affugientebuntur,affugiententur,affugientientur,They will be fleeed
Passive Indicative,Perfect,1st Person,Singular,affugientatus sum,affugientetus sum,affugientus sum,affugientus sum,I have been fleeed
