Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,affumo,affumeo,affumo,affumio,I smoke
Active Indicative,Present,1st Person,Plural,affumamus,affumemus,affumimus,affumimus,We smoke
Active Indicative,Present,2nd Person,Singular,affumas,affumes,affumis,affumis,You smoke
Active Indicative,Present,2nd Person,Plural,affumatis,affumetis,affumitis,affumitis,You (pl.) smoke
Active Indicative,Present,3rd Person,Singular,affumat,affumet,affumit,affumit,He/she/it smoke
Active Indicative,Present,3rd Person,Plural,affumant,affument,affumiunt,affumiunt,They smoke
Active Indicative,Imperfect,1st Person,Singular,affumabam,affumebam,affumebam,affumiebam,I was smokeing
Active Indicative,Imperfect,1st Person,Plural,affumabamus,affumebamus,affumebamus,affumiebamus,We were smokeing
Active Indicative,Imperfect,2nd Person,Singular,affumabas,affumebas,affumebas,affumiebas,You were smokeing
Active Indicative,Imperfect,2nd Person,Plural,affumabatis,affumebatis,affumebatis,affumiebatis,You (pl.) were smokeing
Active Indicative,Imperfect,3rd Person,Singular,affumabat,affumebat,affumebat,affumiebat,He/she/it was smokeing
Active Indicative,Imperfect,3rd Person,Plural,affumabant,affumebant,affumebant,affumiebant,They were smokeing
Active Indicative,Future,1st Person,Singular,affumabo,affumebo,affumam,affumiam,I will smoke
Active Indicative,Future,1st Person,Plural,affumabimus,affumebimus,affumemus,affumiemus,We will smoke
Active Indicative,Future,2nd Person,Singular,affumabis,affumebis,affumes,affumies,You will smoke
Active Indicative,Future,2nd Person,Plural,affumabitis,affumebitis,affumetis,affumietis,You (pl.) will smoke
Active Indicative,Future,3rd Person,Singular,affumabit,affumebit,affumet,affumiet,He/she/it will smoke
Active Indicative,Future,3rd Person,Plural,affumabunt,affumebunt,affument,affumient,They will smoke
Active Indicative,Perfect,1st Person,Singular,affumavi,affumui,affumi,affumi,I have smokeed
Active Indicative,Perfect,1st Person,Plural,affumavimus,affumuimus,affumimus,affumimus,We have smokeed
Active Indicative,Perfect,2nd Person,Singular,affumavisti,affumuisti,affumisti,affumisti,You have smokeed
Active Indicative,Perfect,2nd Person,Plural,affumavistis,affumuistis,affumistis,affumistis,You (pl.) have smokeed
Active Indicative,Perfect,3rd Person,Singular,affumavit,affumuit,affumit,affumit,He/she/it has smokeed
Active Indicative,Perfect,3rd Person,Plural,affumaverunt,affumuerunt,affumerunt,affumerunt,They have smokeed
Active Indicative,Pluperfect,1st Person,Singular,affumaveram,affumueram,affumeram,affumeram,I had smokeed
Active Indicative,Pluperfect,1st Person,Plural,affumaveramus,affumueramus,affumeramus,affumeramus,We had smokeed
Active Indicative,Pluperfect,2nd Person,Singular,affumaveras,affumueras,affumeras,affumeras,You had smokeed
Active Indicative,Pluperfect,2nd Person,Plural,affumaveratis,affumueratis,affumeratis,affumeratis,You (pl.) had smokeed
Active Indicative,Pluperfect,3rd Person,Singular,affumaverat,affumuerat,affumerat,affumerat,He/she/it had smokeed
