Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,aguro,agureo,aguro,agurio,I foretell
Active Indicative,Present,1st Person,Plural,aguramus,aguremus,agurimus,agurimus,We foretell
Active Indicative,Present,2nd Person,Singular,aguras,agures,aguris,aguris,You foretell
Active Indicative,Present,2nd Person,Plural,aguratis,aguretis,aguritis,aguritis,You (pl.) foretell
Active Indicative,Present,3rd Person,Singular,agurat,aguret,agurit,agurit,He/she/it foretell
Active Indicative,Present,3rd Person,Plural,agurant,agurent,aguriunt,aguriunt,They foretell
Active Indicative,Imperfect,1st Person,Singular,agurabam,agurebam,agurebam,aguriebam,I was foretelling
Active Indicative,Imperfect,1st Person,Plural,agurabamus,agurebamus,agurebamus,aguriebamus,We were foretelling
Active Indicative,Imperfect,2nd Person,Singular,agurabas,agurebas,agurebas,aguriebas,You were foretelling
Active Indicative,Imperfect,2nd Person,Plural,agurabatis,agurebatis,agurebatis,aguriebatis,You (pl.) were foretelling
Active Indicative,Imperfect,3rd Person,Singular,agurabat,agurebat,agurebat,aguriebat,He/she/it was foretelling
Active Indicative,Imperfect,3rd Person,Plural,agurabant,agurebant,agurebant,aguriebant,They were foretelling
Active Indicative,Future,1st Person,Singular,agurabo,agurebo,aguram,aguriam,I will foretell
Active Indicative,Future,1st Person,Plural,agurabimus,agurebimus,aguremus,aguriemus,We will foretell
Active Indicative,Future,2nd Person,Singular,agurabis,agurebis,agures,aguries,You will foretell
Active Indicative,Future,2nd Person,Plural,agurabitis,agurebitis,aguretis,agurietis,You (pl.) will foretell
Active Indicative,Future,3rd Person,Singular,agurabit,agurebit,aguret,aguriet,He/she/it will foretell
Active Indicative,Future,3rd Person,Plural,agurabunt,agurebunt,agurent,agurient,They will foretell
Active Indicative,Perfect,1st Person,Singular,aguravi,agurui,aguri,aguri,I have foretelled
Active Indicative,Perfect,1st Person,Plural,aguravimus,aguruimus,agurimus,agurimus,We have foretelled
Active Indicative,Perfect,2nd Person,Singular,aguravisti,aguruisti,aguristi,aguristi,You have foretelled
Active Indicative,Perfect,2nd Person,Plural,aguravistis,aguruistis,aguristis,aguristis,You (pl.) have foretelled
Active Indicative,Perfect,3rd Person,Singular,aguravit,aguruit,agurit,agurit,He/she/it has foretelled
Active Indicative,Perfect,3rd Person,Plural,aguraverunt,aguruerunt,agurerunt,agurerunt,They have foretelled
Active Indicative,Pluperfect,1st Person,Singular,aguraveram,agurueram,agureram,agureram,I had foretelled
Active Indicative,Pluperfect,1st Person,Plural,aguraveramus,agurueramus,agureramus,agureramus,We had foretelled
Active Indicative,Pluperfect,2nd Person,Singular,aguraveras,agurueras,agureras,agureras,You had foretelled
Active Indicative,Pluperfect,2nd Person,Plural,aguraveratis,agurueratis,agureratis,agureratis,You (pl.) had foretelled
Active Indicative,Pluperfect,3rd Person,Singular,aguraverat,aguruerat,agurerat,agurerat,He/she/it had foretelled
Active Indicative,Pluperfect,3rd Person,Plural,aguraverant,aguruerant,agurerant,agurerant,They had foretelled
Active Indicative,Future Perfect,1st Person,Singular,aguravero,agurueero,agurero,aguriero,I will have foretelled
Active Indicative,Future Perfect,1st Person,Plural,aguraverimus,aguruerimus,agurerimus,agurierimus,We will have foretelled
Active Indicative,Future Perfect,2nd Person,Singular,aguraveris,agurueris,agureris,agurieris,You will have foretelled
Active Indicative,Future Perfect,2nd Person,Plural,aguraveritis,agurueritis,agureritis,agurieritis,You (pl.) will have foretelled
Active Indicative,Future Perfect,3rd Person,Singular,aguraverit,aguruerit,agurerit,agurierit,He/she/it will have foretelled
Active Indicative,Future Perfect,3rd Person,Plural,aguraverint,aguruerint,agurerint,agurierint,They will have foretelled
Passive Indicative,Present,1st Person,Singular,aguror,agureor,aguror,agurior,I am being foretelled
Passive Indicative,Present,1st Person,Plural,aguramur,aguremur,agurimur,agurimur,We are being foretelled
Passive Indicative,Present,2nd Person,Singular,aguraris,agureris,aguriris,aguriris,You are being foretelled
Passive Indicative,Present,2nd Person,Plural,aguramini,aguremini,agurimini,agurimini,You (pl.) are being foretelled
Passive Indicative,Present,3rd Person,Singular,aguratur,aguretur,aguritur,aguritur,He/she/it is being foretelled
Passive Indicative,Present,3rd Person,Plural,agurantur,agurentur,aguriuntur,aguriuntur,They are being foretelled
Passive Indicative,Imperfect,1st Person,Singular,agurabar,agurebar,agurebar,aguriebar,I was foretelled
Passive Indicative,Imperfect,1st Person,Plural,agurabamur,agurebamur,agurebamur,aguriebamur,We were foretelled
Passive Indicative,Imperfect,2nd Person,Singular,agurabaris,agurebaris,agurebaris,aguriebaris,You were foretelled
Passive Indicative,Imperfect,2nd Person,Plural,agurabamini,agurebamini,agurebamini,aguriebamini,You (pl.) were foretelled
