Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,aiuno,aiuneo,aiuno,aiunio,I fast
Active Indicative,Present,1st Person,Plural,aiunamus,aiunemus,aiunimus,aiunimus,We fast
Active Indicative,Present,2nd Person,Singular,aiunas,aiunes,aiunis,aiunis,You fast
Active Indicative,Present,2nd Person,Plural,aiunatis,aiunetis,aiunitis,aiunitis,You (pl.) fast
Active Indicative,Present,3rd Person,Singular,aiunat,aiunet,aiunit,aiunit,He/she/it fast
Active Indicative,Present,3rd Person,Plural,aiunant,aiunent,aiuniunt,aiuniunt,They fast
Active Indicative,Imperfect,1st Person,Singular,aiunabam,aiunebam,aiunebam,aiuniebam,I was fasting
Active Indicative,Imperfect,1st Person,Plural,aiunabamus,aiunebamus,aiunebamus,aiuniebamus,We were fasting
Active Indicative,Imperfect,2nd Person,Singular,aiunabas,aiunebas,aiunebas,aiuniebas,You were fasting
Active Indicative,Imperfect,2nd Person,Plural,aiunabatis,aiunebatis,aiunebatis,aiuniebatis,You (pl.) were fasting
Active Indicative,Imperfect,3rd Person,Singular,aiunabat,aiunebat,aiunebat,aiuniebat,He/she/it was fasting
Active Indicative,Imperfect,3rd Person,Plural,aiunabant,aiunebant,aiunebant,aiuniebant,They were fasting
Active Indicative,Future,1st Person,Singular,aiunabo,aiunebo,aiunam,aiuniam,I will fast
Active Indicative,Future,1st Person,Plural,aiunabimus,aiunebimus,aiunemus,aiuniemus,We will fast
Active Indicative,Future,2nd Person,Singular,aiunabis,aiunebis,aiunes,aiunies,You will fast
Active Indicative,Future,2nd Person,Plural,aiunabitis,aiunebitis,aiunetis,aiunietis,You (pl.) will fast
Active Indicative,Future,3rd Person,Singular,aiunabit,aiunebit,aiunet,aiuniet,He/she/it will fast
Active Indicative,Future,3rd Person,Plural,aiunabunt,aiunebunt,aiunent,aiunient,They will fast
Active Indicative,Perfect,1st Person,Singular,aiunavi,aiunui,aiuni,aiuni,I have fasted
Active Indicative,Perfect,1st Person,Plural,aiunavimus,aiunuimus,aiunimus,aiunimus,We have fasted
Active Indicative,Perfect,2nd Person,Singular,aiunavisti,aiunuisti,aiunisti,aiunisti,You have fasted
Active Indicative,Perfect,2nd Person,Plural,aiunavistis,aiunuistis,aiunistis,aiunistis,You (pl.) have fasted
Active Indicative,Perfect,3rd Person,Singular,aiunavit,aiunuit,aiunit,aiunit,He/she/it has fasted
Active Indicative,Perfect,3rd Person,Plural,aiunaverunt,aiunuerunt,aiunerunt,aiunerunt,They have fasted
