Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,alenito,aleniteo,alenito,alenitio,I breathe
Active Indicative,Present,1st Person,Plural,alenitamus,alenitemus,alenitimus,alenitimus,We breathe
Active Indicative,Present,2nd Person,Singular,alenitas,alenites,alenitis,alenitis,You breathe
Active Indicative,Present,2nd Person,Plural,alenitatis,alenitetis,alenititis,alenititis,You (pl.) breathe
Active Indicative,Present,3rd Person,Singular,alenitat,alenitet,alenitit,alenitit,He/she/it breathe
Active Indicative,Present,3rd Person,Plural,alenitant,alenitent,alenitiunt,alenitiunt,They breathe
Active Indicative,Imperfect,1st Person,Singular,alenitabam,alenitebam,alenitebam,alenitiebam,I was breatheing
Active Indicative,Imperfect,1st Person,Plural,alenitabamus,alenitebamus,alenitebamus,alenitiebamus,We were breatheing
Active Indicative,Imperfect,2nd Person,Singular,alenitabas,alenitebas,alenitebas,alenitiebas,You were breatheing
Active Indicative,Imperfect,2nd Person,Plural,alenitabatis,alenitebatis,alenitebatis,alenitiebatis,You (pl.) were breatheing
Active Indicative,Imperfect,3rd Person,Singular,alenitabat,alenitebat,alenitebat,alenitiebat,He/she/it was breatheing
Active Indicative,Imperfect,3rd Person,Plural,alenitabant,alenitebant,alenitebant,alenitiebant,They were breatheing
Active Indicative,Future,1st Person,Singular,alenitabo,alenitebo,alenitam,alenitiam,I will breathe
Active Indicative,Future,1st Person,Plural,alenitabimus,alenitebimus,alenitemus,alenitiemus,We will breathe
Active Indicative,Future,2nd Person,Singular,alenitabis,alenitebis,alenites,alenities,You will breathe
Active Indicative,Future,2nd Person,Plural,alenitabitis,alenitebitis,alenitetis,alenitietis,You (pl.) will breathe
Active Indicative,Future,3rd Person,Singular,alenitabit,alenitebit,alenitet,alenitiet,He/she/it will breathe
Active Indicative,Future,3rd Person,Plural,alenitabunt,alenitebunt,alenitent,alenitient,They will breathe
Active Indicative,Perfect,1st Person,Singular,alenitavi,alenitui,aleniti,aleniti,I have breatheed
Active Indicative,Perfect,1st Person,Plural,alenitavimus,alenituimus,alenitimus,alenitimus,We have breatheed
Active Indicative,Perfect,2nd Person,Singular,alenitavisti,alenituisti,alenitisti,alenitisti,You have breatheed
Active Indicative,Perfect,2nd Person,Plural,alenitavistis,alenituistis,alenitistis,alenitistis,You (pl.) have breatheed
Active Indicative,Perfect,3rd Person,Singular,alenitavit,alenituit,alenitit,alenitit,He/she/it has breatheed
Active Indicative,Perfect,3rd Person,Plural,alenitaverunt,alenituerunt,aleniterunt,aleniterunt,They have breatheed
Active Indicative,Pluperfect,1st Person,Singular,alenitaveram,alenitueram,aleniteram,aleniteram,I had breatheed
Active Indicative,Pluperfect,1st Person,Plural,alenitaveramus,alenitueramus,aleniteramus,aleniteramus,We had breatheed
Active Indicative,Pluperfect,2nd Person,Singular,alenitaveras,alenitueras,aleniteras,aleniteras,You had breatheed
Active Indicative,Pluperfect,2nd Person,Plural,alenitaveratis,alenitueratis,aleniteratis,aleniteratis,You (pl.) had breatheed
Active Indicative,Pluperfect,3rd Person,Singular,alenitaverat,alenituerat,aleniterat,aleniterat,He/she/it had breatheed
Active Indicative,Pluperfect,3rd Person,Plural,alenitaverant,alenituerant,aleniterant,aleniterant,They had breatheed
Active Indicative,Future Perfect,1st Person,Singular,alenitavero,alenitueero,alenitero,alenitiero,I will have breatheed
Active Indicative,Future Perfect,1st Person,Plural,alenitaverimus,alenituerimus,aleniterimus,alenitierimus,We will have breatheed
Active Indicative,Future Perfect,2nd Person,Singular,alenitaveris,alenitueris,aleniteris,alenitieris,You will have breatheed
