Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,allico,alliceo,allico,allicio,I attract
Active Indicative,Present,1st Person,Plural,allicamus,allicemus,allicimus,allicimus,We attract
Active Indicative,Present,2nd Person,Singular,allicas,allices,allicis,allicis,You attract
Active Indicative,Present,2nd Person,Plural,allicatis,allicetis,allicitis,allicitis,You (pl.) attract
Active Indicative,Present,3rd Person,Singular,allicat,allicet,allicit,allicit,He/she/it attract
Active Indicative,Present,3rd Person,Plural,allicant,allicent,alliciunt,alliciunt,They attract
Active Indicative,Imperfect,1st Person,Singular,allicabam,allicebam,allicebam,alliciebam,I was attracting
Active Indicative,Imperfect,1st Person,Plural,allicabamus,allicebamus,allicebamus,alliciebamus,We were attracting
Active Indicative,Imperfect,2nd Person,Singular,allicabas,allicebas,allicebas,alliciebas,You were attracting
Active Indicative,Imperfect,2nd Person,Plural,allicabatis,allicebatis,allicebatis,alliciebatis,You (pl.) were attracting
Active Indicative,Imperfect,3rd Person,Singular,allicabat,allicebat,allicebat,alliciebat,He/she/it was attracting
Active Indicative,Imperfect,3rd Person,Plural,allicabant,allicebant,allicebant,alliciebant,They were attracting
Active Indicative,Future,1st Person,Singular,allicabo,allicebo,allicam,alliciam,I will attract
Active Indicative,Future,1st Person,Plural,allicabimus,allicebimus,allicemus,alliciemus,We will attract
Active Indicative,Future,2nd Person,Singular,allicabis,allicebis,allices,allicies,You will attract
Active Indicative,Future,2nd Person,Plural,allicabitis,allicebitis,allicetis,allicietis,You (pl.) will attract
Active Indicative,Future,3rd Person,Singular,allicabit,allicebit,allicet,alliciet,He/she/it will attract
Active Indicative,Future,3rd Person,Plural,allicabunt,allicebunt,allicent,allicient,They will attract
Active Indicative,Perfect,1st Person,Singular,allicavi,allicui,allici,allici,I have attracted
Active Indicative,Perfect,1st Person,Plural,allicavimus,allicuimus,allicimus,allicimus,We have attracted
Active Indicative,Perfect,2nd Person,Singular,allicavisti,allicuisti,allicisti,allicisti,You have attracted
Active Indicative,Perfect,2nd Person,Plural,allicavistis,allicuistis,allicistis,allicistis,You (pl.) have attracted
Active Indicative,Perfect,3rd Person,Singular,allicavit,allicuit,allicit,allicit,He/she/it has attracted
Active Indicative,Perfect,3rd Person,Plural,allicaverunt,allicuerunt,allicerunt,allicerunt,They have attracted
