Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,ambulo,ambuleo,ambulo,ambulio,I walk
Active Indicative,Present,1st Person,Plural,ambulamus,ambulemus,ambulimus,ambulimus,We walk
Active Indicative,Present,2nd Person,Singular,ambulas,ambules,ambulis,ambulis,You walk
Active Indicative,Present,2nd Person,Plural,ambulatis,ambuletis,ambulitis,ambulitis,You (pl.) walk
Active Indicative,Present,3rd Person,Singular,ambulat,ambulet,ambulit,ambulit,He/she/it walk
Active Indicative,Present,3rd Person,Plural,ambulant,ambulent,ambuliunt,ambuliunt,They walk
Active Indicative,Imperfect,1st Person,Singular,ambulabam,ambulebam,ambulebam,ambuliebam,I was walking
Active Indicative,Imperfect,1st Person,Plural,ambulabamus,ambulebamus,ambulebamus,ambuliebamus,We were walking
Active Indicative,Imperfect,2nd Person,Singular,ambulabas,ambulebas,ambulebas,ambuliebas,You were walking
Active Indicative,Imperfect,2nd Person,Plural,ambulabatis,ambulebatis,ambulebatis,ambuliebatis,You (pl.) were walking
Active Indicative,Imperfect,3rd Person,Singular,ambulabat,ambulebat,ambulebat,ambuliebat,He/she/it was walking
Active Indicative,Imperfect,3rd Person,Plural,ambulabant,ambulebant,ambulebant,ambuliebant,They were walking
Active Indicative,Future,1st Person,Singular,ambulabo,ambulebo,ambulam,ambuliam,I will walk
Active Indicative,Future,1st Person,Plural,ambulabimus,ambulebimus,ambulemus,ambuliemus,We will walk
Active Indicative,Future,2nd Person,Singular,ambulabis,ambulebis,ambules,ambulies,You will walk
Active Indicative,Future,2nd Person,Plural,ambulabitis,ambulebitis,ambuletis,ambulietis,You (pl.) will walk
Active Indicative,Future,3rd Person,Singular,ambulabit,ambulebit,ambulet,ambuliet,He/she/it will walk
Active Indicative,Future,3rd Person,Plural,ambulabunt,ambulebunt,ambulent,ambulient,They will walk
Active Indicative,Perfect,1st Person,Singular,ambulavi,ambului,ambuli,ambuli,I have walked
