Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,amplecto,amplecteo,amplecto,amplectio,I hug
Active Indicative,Present,1st Person,Plural,amplectamus,amplectemus,amplectimus,amplectimus,We hug
Active Indicative,Present,2nd Person,Singular,amplectas,amplectes,amplectis,amplectis,You hug
Active Indicative,Present,2nd Person,Plural,amplectatis,amplectetis,amplectitis,amplectitis,You (pl.) hug
Active Indicative,Present,3rd Person,Singular,amplectat,amplectet,amplectit,amplectit,He/she/it hug
Active Indicative,Present,3rd Person,Plural,amplectant,amplectent,amplectiunt,amplectiunt,They hug
Active Indicative,Imperfect,1st Person,Singular,amplectabam,amplectebam,amplectebam,amplectiebam,I was huging
Active Indicative,Imperfect,1st Person,Plural,amplectabamus,amplectebamus,amplectebamus,amplectiebamus,We were huging
Active Indicative,Imperfect,2nd Person,Singular,amplectabas,amplectebas,amplectebas,amplectiebas,You were huging
Active Indicative,Imperfect,2nd Person,Plural,amplectabatis,amplectebatis,amplectebatis,amplectiebatis,You (pl.) were huging
Active Indicative,Imperfect,3rd Person,Singular,amplectabat,amplectebat,amplectebat,amplectiebat,He/she/it was huging
Active Indicative,Imperfect,3rd Person,Plural,amplectabant,amplectebant,amplectebant,amplectiebant,They were huging
Active Indicative,Future,1st Person,Singular,amplectabo,amplectebo,amplectam,amplectiam,I will hug
Active Indicative,Future,1st Person,Plural,amplectabimus,amplectebimus,amplectemus,amplectiemus,We will hug
Active Indicative,Future,2nd Person,Singular,amplectabis,amplectebis,amplectes,amplecties,You will hug
Active Indicative,Future,2nd Person,Plural,amplectabitis,amplectebitis,amplectetis,amplectietis,You (pl.) will hug
Active Indicative,Future,3rd Person,Singular,amplectabit,amplectebit,amplectet,amplectiet,He/she/it will hug
Active Indicative,Future,3rd Person,Plural,amplectabunt,amplectebunt,amplectent,amplectient,They will hug
Active Indicative,Perfect,1st Person,Singular,amplectavi,amplectui,amplecti,amplecti,I have huged
Active Indicative,Perfect,1st Person,Plural,amplectavimus,amplectuimus,amplectimus,amplectimus,We have huged
Active Indicative,Perfect,2nd Person,Singular,amplectavisti,amplectuisti,amplectisti,amplectisti,You have huged
Active Indicative,Perfect,2nd Person,Plural,amplectavistis,amplectuistis,amplectistis,amplectistis,You (pl.) have huged
Active Indicative,Perfect,3rd Person,Singular,amplectavit,amplectuit,amplectit,amplectit,He/she/it has huged
Active Indicative,Perfect,3rd Person,Plural,amplectaverunt,amplectuerunt,amplecterunt,amplecterunt,They have huged
Active Indicative,Pluperfect,1st Person,Singular,amplectaveram,amplectueram,amplecteram,amplecteram,I had huged
Active Indicative,Pluperfect,1st Person,Plural,amplectaveramus,amplectueramus,amplecteramus,amplecteramus,We had huged
Active Indicative,Pluperfect,2nd Person,Singular,amplectaveras,amplectueras,amplecteras,amplecteras,You had huged
Active Indicative,Pluperfect,2nd Person,Plural,amplectaveratis,amplectueratis,amplecteratis,amplecteratis,You (pl.) had huged
Active Indicative,Pluperfect,3rd Person,Singular,amplectaverat,amplectuerat,amplecterat,amplecterat,He/she/it had huged
Active Indicative,Pluperfect,3rd Person,Plural,amplectaverant,amplectuerant,amplecterant,amplecterant,They had huged
Active Indicative,Future Perfect,1st Person,Singular,amplectavero,amplectueero,amplectero,amplectiero,I will have huged
Active Indicative,Future Perfect,1st Person,Plural,amplectaverimus,amplectuerimus,amplecterimus,amplectierimus,We will have huged
Active Indicative,Future Perfect,2nd Person,Singular,amplectaveris,amplectueris,amplecteris,amplectieris,You will have huged
Active Indicative,Future Perfect,2nd Person,Plural,amplectaveritis,amplectueritis,amplecteritis,amplectieritis,You (pl.) will have huged
Active Indicative,Future Perfect,3rd Person,Singular,amplectaverit,amplectuerit,amplecterit,amplectierit,He/she/it will have huged
