Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,anchora iaco,anchora iaceo,anchora iaco,anchora iacio,I anchor
Active Indicative,Present,1st Person,Plural,anchora iacamus,anchora iacemus,anchora iacimus,anchora iacimus,We anchor
Active Indicative,Present,2nd Person,Singular,anchora iacas,anchora iaces,anchora iacis,anchora iacis,You anchor
Active Indicative,Present,2nd Person,Plural,anchora iacatis,anchora iacetis,anchora iacitis,anchora iacitis,You (pl.) anchor
Active Indicative,Present,3rd Person,Singular,anchora iacat,anchora iacet,anchora iacit,anchora iacit,He/she/it anchor
Active Indicative,Present,3rd Person,Plural,anchora iacant,anchora iacent,anchora iaciunt,anchora iaciunt,They anchor
Active Indicative,Imperfect,1st Person,Singular,anchora iacabam,anchora iacebam,anchora iacebam,anchora iaciebam,I was anchoring
Active Indicative,Imperfect,1st Person,Plural,anchora iacabamus,anchora iacebamus,anchora iacebamus,anchora iaciebamus,We were anchoring
Active Indicative,Imperfect,2nd Person,Singular,anchora iacabas,anchora iacebas,anchora iacebas,anchora iaciebas,You were anchoring
Active Indicative,Imperfect,2nd Person,Plural,anchora iacabatis,anchora iacebatis,anchora iacebatis,anchora iaciebatis,You (pl.) were anchoring
Active Indicative,Imperfect,3rd Person,Singular,anchora iacabat,anchora iacebat,anchora iacebat,anchora iaciebat,He/she/it was anchoring
Active Indicative,Imperfect,3rd Person,Plural,anchora iacabant,anchora iacebant,anchora iacebant,anchora iaciebant,They were anchoring
Active Indicative,Future,1st Person,Singular,anchora iacabo,anchora iacebo,anchora iacam,anchora iaciam,I will anchor
Active Indicative,Future,1st Person,Plural,anchora iacabimus,anchora iacebimus,anchora iacemus,anchora iaciemus,We will anchor
Active Indicative,Future,2nd Person,Singular,anchora iacabis,anchora iacebis,anchora iaces,anchora iacies,You will anchor
Active Indicative,Future,2nd Person,Plural,anchora iacabitis,anchora iacebitis,anchora iacetis,anchora iacietis,You (pl.) will anchor
Active Indicative,Future,3rd Person,Singular,anchora iacabit,anchora iacebit,anchora iacet,anchora iaciet,He/she/it will anchor
Active Indicative,Future,3rd Person,Plural,anchora iacabunt,anchora iacebunt,anchora iacent,anchora iacient,They will anchor
Active Indicative,Perfect,1st Person,Singular,anchora iacavi,anchora iacui,anchora iaci,anchora iaci,I have anchored
Active Indicative,Perfect,1st Person,Plural,anchora iacavimus,anchora iacuimus,anchora iacimus,anchora iacimus,We have anchored
Active Indicative,Perfect,2nd Person,Singular,anchora iacavisti,anchora iacuisti,anchora iacisti,anchora iacisti,You have anchored
Active Indicative,Perfect,2nd Person,Plural,anchora iacavistis,anchora iacuistis,anchora iacistis,anchora iacistis,You (pl.) have anchored
Active Indicative,Perfect,3rd Person,Singular,anchora iacavit,anchora iacuit,anchora iacit,anchora iacit,He/she/it has anchored
Active Indicative,Perfect,3rd Person,Plural,anchora iacaverunt,anchora iacuerunt,anchora iacerunt,anchora iacerunt,They have anchored
Active Indicative,Pluperfect,1st Person,Singular,anchora iacaveram,anchora iacueram,anchora iaceram,anchora iaceram,I had anchored
Active Indicative,Pluperfect,1st Person,Plural,anchora iacaveramus,anchora iacueramus,anchora iaceramus,anchora iaceramus,We had anchored
Active Indicative,Pluperfect,2nd Person,Singular,anchora iacaveras,anchora iacueras,anchora iaceras,anchora iaceras,You had anchored
Active Indicative,Pluperfect,2nd Person,Plural,anchora iacaveratis,anchora iacueratis,anchora iaceratis,anchora iaceratis,You (pl.) had anchored
Active Indicative,Pluperfect,3rd Person,Singular,anchora iacaverat,anchora iacuerat,anchora iacerat,anchora iacerat,He/she/it had anchored
Active Indicative,Pluperfect,3rd Person,Plural,anchora iacaverant,anchora iacuerant,anchora iacerant,anchora iacerant,They had anchored
Active Indicative,Future Perfect,1st Person,Singular,anchora iacavero,anchora iacueero,anchora iacero,anchora iaciero,I will have anchored
Active Indicative,Future Perfect,1st Person,Plural,anchora iacaverimus,anchora iacuerimus,anchora iacerimus,anchora iacierimus,We will have anchored
Active Indicative,Future Perfect,2nd Person,Singular,anchora iacaveris,anchora iacueris,anchora iaceris,anchora iacieris,You will have anchored
Active Indicative,Future Perfect,2nd Person,Plural,anchora iacaveritis,anchora iacueritis,anchora iaceritis,anchora iacieritis,You (pl.) will have anchored
Active Indicative,Future Perfect,3rd Person,Singular,anchora iacaverit,anchora iacuerit,anchora iacerit,anchora iacierit,He/she/it will have anchored
Active Indicative,Future Perfect,3rd Person,Plural,anchora iacaverint,anchora iacuerint,anchora iacerint,anchora iacierint,They will have anchored
Passive Indicative,Present,1st Person,Singular,anchora iacor,anchora iaceor,anchora iacor,anchora iacior,I am being anchored
Passive Indicative,Present,1st Person,Plural,anchora iacamur,anchora iacemur,anchora iacimur,anchora iacimur,We are being anchored
Passive Indicative,Present,2nd Person,Singular,anchora iacaris,anchora iaceris,anchora iaciris,anchora iaciris,You are being anchored
Passive Indicative,Present,2nd Person,Plural,anchora iacamini,anchora iacemini,anchora iacimini,anchora iacimini,You (pl.) are being anchored
Passive Indicative,Present,3rd Person,Singular,anchora iacatur,anchora iacetur,anchora iacitur,anchora iacitur,He/she/it is being anchored
Passive Indicative,Present,3rd Person,Plural,anchora iacantur,anchora iacentur,anchora iaciuntur,anchora iaciuntur,They are being anchored
Passive Indicative,Imperfect,1st Person,Singular,anchora iacabar,anchora iacebar,anchora iacebar,anchora iaciebar,I was anchored
Passive Indicative,Imperfect,1st Person,Plural,anchora iacabamur,anchora iacebamur,anchora iacebamur,anchora iaciebamur,We were anchored
Passive Indicative,Imperfect,2nd Person,Singular,anchora iacabaris,anchora iacebaris,anchora iacebaris,anchora iaciebaris,You were anchored
Passive Indicative,Imperfect,2nd Person,Plural,anchora iacabamini,anchora iacebamini,anchora iacebamini,anchora iaciebamini,You (pl.) were anchored
Passive Indicative,Imperfect,3rd Person,Singular,anchora iacabatur,anchora iacebatur,anchora iacebatur,anchora iaciebatur,He/she/it was anchored
Passive Indicative,Imperfect,3rd Person,Plural,anchora iacabantur,anchora iacebantur,anchora iacebantur,anchora iaciebantur,They were anchored
Passive Indicative,Future,1st Person,Singular,anchora iacabor,anchora iacebor,anchora iacar,anchora iaciar,I will be anchored
Passive Indicative,Future,1st Person,Plural,anchora iacabimur,anchora iacebimur,anchora iacemur,anchora iaciemur,We will be anchored
Passive Indicative,Future,2nd Person,Singular,anchora iacaberis,anchora iaceberis,anchora iaceris,anchora iacieris,You will be anchored
Passive Indicative,Future,2nd Person,Plural,anchora iacabimini,anchora iacebimini,anchora iacemini,anchora iaciemini,You (pl.) will be anchored
Passive Indicative,Future,3rd Person,Singular,anchora iacabitur,anchora iacebitur,anchora iacetur,anchora iacietur,He/she/it will be anchored
Passive Indicative,Future,3rd Person,Plural,anchora iacabuntur,anchora iacebuntur,anchora iacentur,anchora iacientur,They will be anchored
Passive Indicative,Perfect,1st Person,Singular,anchora iacatus sum,anchora iacetus sum,anchora iacus sum,anchora iacus sum,I have been anchored
Passive Indicative,Perfect,1st Person,Plural,anchora iacati sumus,anchora iaceti sumus,anchora iaci sumus,anchora iaci sumus,We have been anchored
Passive Indicative,Perfect,2nd Person,Singular,anchora iacatus es,anchora iacetus es,anchora iacus es,anchora iacus es,You have been anchored
Passive Indicative,Perfect,2nd Person,Plural,anchora iacati estis,anchora iaceti estis,anchora iaci estis,anchora iaci estis,You (pl.) have been anchored
Passive Indicative,Perfect,3rd Person,Singular,anchora iacatus est,anchora iacetus est,anchora iacus est,anchora iacus est,He/she/it has been anchored
Passive Indicative,Perfect,3rd Person,Plural,anchora iacati sunt,anchora iaceti sunt,anchora iaci sunt,anchora iaci sunt,They have been anchored
Passive Indicative,Pluperfect,1st Person,Singular,anchora iacatus eram,anchora iacetus eram,anchora iacus eram,anchora iacus eram,I had been anchored
Passive Indicative,Pluperfect,1st Person,Plural,anchora iacati eramus,anchora iaceti eramus,anchora iaci eramus,anchora iaci eramus,We had been anchored
Passive Indicative,Pluperfect,2nd Person,Singular,anchora iacatus eras,anchora iacetus eras,anchora iacus eras,anchora iacus eras,You had been anchored
Passive Indicative,Pluperfect,2nd Person,Plural,anchora iacati eratis,anchora iaceti eratis,anchora iaci eratis,anchora iaci eratis,You (pl.) had been anchored
Passive Indicative,Pluperfect,3rd Person,Singular,anchora iacatus erat,anchora iacetus erat,anchora iacus erat,anchora iacus erat,He/she/it had been anchored
Passive Indicative,Pluperfect,3rd Person,Plural,anchora iacati erant,anchora iaceti erant,anchora iaci erant,anchora iaci erant,They had been anchored
Passive Indicative,Future Perfect,1st Person,Singular,anchora iacatus ero,anchora iacetus ero,anchora iacus ero,anchora iacus ero,I will have been anchored
Passive Indicative,Future Perfect,1st Person,Plural,anchora iacati erimus,anchora iaceti erimus,anchora iaci erimus,anchora iaci erimus,We will have been anchored
Passive Indicative,Future Perfect,2nd Person,Singular,anchora iacatus eris,anchora iacetus eris,anchora iacus eris,anchora iacus eris,You will have been anchored
Passive Indicative,Future Perfect,2nd Person,Plural,anchora iacati eritis,anchora iaceti eritis,anchora iaci eritis,anchora iaci eritis,You (pl.) will have been anchored
Passive Indicative,Future Perfect,3rd Person,Singular,anchora iacatus erit,anchora iacetus erit,anchora iacus erit,anchora iacus erit,He/she/it will have been anchored
Passive Indicative,Future Perfect,3rd Person,Plural,anchora iacati erunt,anchora iaceti erunt,anchora iaci erunt,anchora iaci erunt,They will have been anchored
Active Subjunctive,Present,1st Person,Singular,anchora iacem,anchora iacem,anchora iacam,anchora iacam,I may anchor
Active Subjunctive,Present,1st Person,Plural,anchora iacemus,anchora iacemus,anchora iacamus,anchora iacamus,We may anchor
Active Subjunctive,Present,2nd Person,Singular,anchora iaces,anchora iaces,anchora iacas,anchora iacas,You may anchor
Active Subjunctive,Present,2nd Person,Plural,anchora iacetis,anchora iacetis,anchora iacatis,anchora iacatis,You (pl.) may anchor
Active Subjunctive,Present,3rd Person,Singular,anchora iacet,anchora iacet,anchora iacat,anchora iacat,He/she/it may anchor
Active Subjunctive,Present,3rd Person,Plural,anchora iacent,anchora iacent,anchora iacant,anchora iacant,They may anchor
Active Subjunctive,Imperfect,1st Person,Singular,anchora iacarem,anchora iacerem,anchora iacerem,anchora iacirem,I should anchor
Active Subjunctive,Imperfect,1st Person,Plural,anchora iacaremus,anchora iaceremus,anchora iaceremus,anchora iaciremus,We should anchor
