Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,antiquo,antiqueo,antiquo,antiquio,I restore
Active Indicative,Present,1st Person,Plural,antiquamus,antiquemus,antiquimus,antiquimus,We restore
Active Indicative,Present,2nd Person,Singular,antiquas,antiques,antiquis,antiquis,You restore
Active Indicative,Present,2nd Person,Plural,antiquatis,antiquetis,antiquitis,antiquitis,You (pl.) restore
Active Indicative,Present,3rd Person,Singular,antiquat,antiquet,antiquit,antiquit,He/she/it restore
Active Indicative,Present,3rd Person,Plural,antiquant,antiquent,antiquiunt,antiquiunt,They restore
Active Indicative,Imperfect,1st Person,Singular,antiquabam,antiquebam,antiquebam,antiquiebam,I was restoreing
Active Indicative,Imperfect,1st Person,Plural,antiquabamus,antiquebamus,antiquebamus,antiquiebamus,We were restoreing
Active Indicative,Imperfect,2nd Person,Singular,antiquabas,antiquebas,antiquebas,antiquiebas,You were restoreing
Active Indicative,Imperfect,2nd Person,Plural,antiquabatis,antiquebatis,antiquebatis,antiquiebatis,You (pl.) were restoreing
Active Indicative,Imperfect,3rd Person,Singular,antiquabat,antiquebat,antiquebat,antiquiebat,He/she/it was restoreing
Active Indicative,Imperfect,3rd Person,Plural,antiquabant,antiquebant,antiquebant,antiquiebant,They were restoreing
Active Indicative,Future,1st Person,Singular,antiquabo,antiquebo,antiquam,antiquiam,I will restore
Active Indicative,Future,1st Person,Plural,antiquabimus,antiquebimus,antiquemus,antiquiemus,We will restore
Active Indicative,Future,2nd Person,Singular,antiquabis,antiquebis,antiques,antiquies,You will restore
Active Indicative,Future,2nd Person,Plural,antiquabitis,antiquebitis,antiquetis,antiquietis,You (pl.) will restore
Active Indicative,Future,3rd Person,Singular,antiquabit,antiquebit,antiquet,antiquiet,He/she/it will restore
Active Indicative,Future,3rd Person,Plural,antiquabunt,antiquebunt,antiquent,antiquient,They will restore
Active Indicative,Perfect,1st Person,Singular,antiquavi,antiqui,antiqui,antiqui,I have restoreed
Active Indicative,Perfect,1st Person,Plural,antiquavimus,antiquimus,antiquimus,antiquimus,We have restoreed
Active Indicative,Perfect,2nd Person,Singular,antiquavisti,antiquisti,antiquisti,antiquisti,You have restoreed
Active Indicative,Perfect,2nd Person,Plural,antiquavistis,antiquistis,antiquistis,antiquistis,You (pl.) have restoreed
Active Indicative,Perfect,3rd Person,Singular,antiquavit,antiquit,antiquit,antiquit,He/she/it has restoreed
Active Indicative,Perfect,3rd Person,Plural,antiquaverunt,antiquerunt,antiquerunt,antiquerunt,They have restoreed
Active Indicative,Pluperfect,1st Person,Singular,antiquaveram,antiqueram,antiqueram,antiqueram,I had restoreed
Active Indicative,Pluperfect,1st Person,Plural,antiquaveramus,antiqueramus,antiqueramus,antiqueramus,We had restoreed
Active Indicative,Pluperfect,2nd Person,Singular,antiquaveras,antiqueras,antiqueras,antiqueras,You had restoreed
Active Indicative,Pluperfect,2nd Person,Plural,antiquaveratis,antiqueratis,antiqueratis,antiqueratis,You (pl.) had restoreed
Active Indicative,Pluperfect,3rd Person,Singular,antiquaverat,antiquerat,antiquerat,antiquerat,He/she/it had restoreed
Active Indicative,Pluperfect,3rd Person,Plural,antiquaverant,antiquerant,antiquerant,antiquerant,They had restoreed
Active Indicative,Future Perfect,1st Person,Singular,antiquavero,antiqueero,antiquero,antiquiero,I will have restoreed
Active Indicative,Future Perfect,1st Person,Plural,antiquaverimus,antiquerimus,antiquerimus,antiquierimus,We will have restoreed
Active Indicative,Future Perfect,2nd Person,Singular,antiquaveris,antiqueris,antiqueris,antiquieris,You will have restoreed
Active Indicative,Future Perfect,2nd Person,Plural,antiquaveritis,antiqueritis,antiqueritis,antiquieritis,You (pl.) will have restoreed
Active Indicative,Future Perfect,3rd Person,Singular,antiquaverit,antiquerit,antiquerit,antiquierit,He/she/it will have restoreed
Active Indicative,Future Perfect,3rd Person,Plural,antiquaverint,antiquerint,antiquerint,antiquierint,They will have restoreed
Passive Indicative,Present,1st Person,Singular,antiquor,antiqueor,antiquor,antiquior,I am being restoreed
Passive Indicative,Present,1st Person,Plural,antiquamur,antiquemur,antiquimur,antiquimur,We are being restoreed
Passive Indicative,Present,2nd Person,Singular,antiquaris,antiqueris,antiquiris,antiquiris,You are being restoreed
Passive Indicative,Present,2nd Person,Plural,antiquamini,antiquemini,antiquimini,antiquimini,You (pl.) are being restoreed
Passive Indicative,Present,3rd Person,Singular,antiquatur,antiquetur,antiquitur,antiquitur,He/she/it is being restoreed
Passive Indicative,Present,3rd Person,Plural,antiquantur,antiquentur,antiquiuntur,antiquiuntur,They are being restoreed
Passive Indicative,Imperfect,1st Person,Singular,antiquabar,antiquebar,antiquebar,antiquiebar,I was restoreed
Passive Indicative,Imperfect,1st Person,Plural,antiquabamur,antiquebamur,antiquebamur,antiquiebamur,We were restoreed
Passive Indicative,Imperfect,2nd Person,Singular,antiquabaris,antiquebaris,antiquebaris,antiquiebaris,You were restoreed
Passive Indicative,Imperfect,2nd Person,Plural,antiquabamini,antiquebamini,antiquebamini,antiquiebamini,You (pl.) were restoreed
Passive Indicative,Imperfect,3rd Person,Singular,antiquabatur,antiquebatur,antiquebatur,antiquiebatur,He/she/it was restoreed
Passive Indicative,Imperfect,3rd Person,Plural,antiquabantur,antiquebantur,antiquebantur,antiquiebantur,They were restoreed
Passive Indicative,Future,1st Person,Singular,antiquabor,antiquebor,antiquar,antiquiar,I will be restoreed
Passive Indicative,Future,1st Person,Plural,antiquabimur,antiquebimur,antiquemur,antiquiemur,We will be restoreed
Passive Indicative,Future,2nd Person,Singular,antiquaberis,antiqueberis,antiqueris,antiquieris,You will be restoreed
Passive Indicative,Future,2nd Person,Plural,antiquabimini,antiquebimini,antiquemini,antiquiemini,You (pl.) will be restoreed
Passive Indicative,Future,3rd Person,Singular,antiquabitur,antiquebitur,antiquetur,antiquietur,He/she/it will be restoreed
Passive Indicative,Future,3rd Person,Plural,antiquabuntur,antiquebuntur,antiquentur,antiquientur,They will be restoreed
Passive Indicative,Perfect,1st Person,Singular,antiquatus sum,antiquetus sum,antiqus sum,antiqus sum,I have been restoreed
Passive Indicative,Perfect,1st Person,Plural,antiquati sumus,antiqueti sumus,antiqui sumus,antiqui sumus,We have been restoreed
Passive Indicative,Perfect,2nd Person,Singular,antiquatus es,antiquetus es,antiqus es,antiqus es,You have been restoreed
Passive Indicative,Perfect,2nd Person,Plural,antiquati estis,antiqueti estis,antiqui estis,antiqui estis,You (pl.) have been restoreed
Passive Indicative,Perfect,3rd Person,Singular,antiquatus est,antiquetus est,antiqus est,antiqus est,He/she/it has been restoreed
Passive Indicative,Perfect,3rd Person,Plural,antiquati sunt,antiqueti sunt,antiqui sunt,antiqui sunt,They have been restoreed
Passive Indicative,Pluperfect,1st Person,Singular,antiquatus eram,antiquetus eram,antiqus eram,antiqus eram,I had been restoreed
