Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,apparo,appareo,apparo,appario,I appear
Active Indicative,Present,1st Person,Plural,apparamus,apparemus,apparimus,apparimus,We appear
Active Indicative,Present,2nd Person,Singular,apparas,appares,apparis,apparis,You appear
Active Indicative,Present,2nd Person,Plural,apparatis,apparetis,apparitis,apparitis,You (pl.) appear
Active Indicative,Present,3rd Person,Singular,apparat,apparet,apparit,apparit,He/she/it appear
Active Indicative,Present,3rd Person,Plural,apparant,apparent,appariunt,appariunt,They appear
Active Indicative,Imperfect,1st Person,Singular,apparabam,apparebam,apparebam,appariebam,I was appearing
Active Indicative,Imperfect,1st Person,Plural,apparabamus,apparebamus,apparebamus,appariebamus,We were appearing
Active Indicative,Imperfect,2nd Person,Singular,apparabas,apparebas,apparebas,appariebas,You were appearing
Active Indicative,Imperfect,2nd Person,Plural,apparabatis,apparebatis,apparebatis,appariebatis,You (pl.) were appearing
Active Indicative,Imperfect,3rd Person,Singular,apparabat,apparebat,apparebat,appariebat,He/she/it was appearing
Active Indicative,Imperfect,3rd Person,Plural,apparabant,apparebant,apparebant,appariebant,They were appearing
Active Indicative,Future,1st Person,Singular,apparabo,apparebo,apparam,appariam,I will appear
Active Indicative,Future,1st Person,Plural,apparabimus,apparebimus,apparemus,appariemus,We will appear
Active Indicative,Future,2nd Person,Singular,apparabis,apparebis,appares,apparies,You will appear
Active Indicative,Future,2nd Person,Plural,apparabitis,apparebitis,apparetis,apparietis,You (pl.) will appear
Active Indicative,Future,3rd Person,Singular,apparabit,apparebit,apparet,appariet,He/she/it will appear
Active Indicative,Future,3rd Person,Plural,apparabunt,apparebunt,apparent,apparient,They will appear
Active Indicative,Perfect,1st Person,Singular,apparavi,apparui,appari,appari,I have appeared
Active Indicative,Perfect,1st Person,Plural,apparavimus,apparuimus,apparimus,apparimus,We have appeared
Active Indicative,Perfect,2nd Person,Singular,apparavisti,apparuisti,apparisti,apparisti,You have appeared
Active Indicative,Perfect,2nd Person,Plural,apparavistis,apparuistis,apparistis,apparistis,You (pl.) have appeared
Active Indicative,Perfect,3rd Person,Singular,apparavit,apparuit,apparit,apparit,He/she/it has appeared
Active Indicative,Perfect,3rd Person,Plural,apparaverunt,apparuerunt,apparerunt,apparerunt,They have appeared
Active Indicative,Pluperfect,1st Person,Singular,apparaveram,apparueram,appareram,appareram,I had appeared
Active Indicative,Pluperfect,1st Person,Plural,apparaveramus,apparueramus,appareramus,appareramus,We had appeared
Active Indicative,Pluperfect,2nd Person,Singular,apparaveras,apparueras,appareras,appareras,You had appeared
Active Indicative,Pluperfect,2nd Person,Plural,apparaveratis,apparueratis,appareratis,appareratis,You (pl.) had appeared
Active Indicative,Pluperfect,3rd Person,Singular,apparaverat,apparuerat,apparerat,apparerat,He/she/it had appeared
Active Indicative,Pluperfect,3rd Person,Plural,apparaverant,apparuerant,apparerant,apparerant,They had appeared
Active Indicative,Future Perfect,1st Person,Singular,apparavero,apparueero,apparero,appariero,I will have appeared
Active Indicative,Future Perfect,1st Person,Plural,apparaverimus,apparuerimus,apparerimus,apparierimus,We will have appeared
Active Indicative,Future Perfect,2nd Person,Singular,apparaveris,apparueris,appareris,apparieris,You will have appeared
Active Indicative,Future Perfect,2nd Person,Plural,apparaveritis,apparueritis,appareritis,apparieritis,You (pl.) will have appeared
Active Indicative,Future Perfect,3rd Person,Singular,apparaverit,apparuerit,apparerit,apparierit,He/she/it will have appeared
Active Indicative,Future Perfect,3rd Person,Plural,apparaverint,apparuerint,apparerint,apparierint,They will have appeared
Passive Indicative,Present,1st Person,Singular,apparor,appareor,apparor,apparior,I am being appeared
Passive Indicative,Present,1st Person,Plural,apparamur,apparemur,apparimur,apparimur,We are being appeared
Passive Indicative,Present,2nd Person,Singular,appararis,appareris,appariris,appariris,You are being appeared
Passive Indicative,Present,2nd Person,Plural,apparamini,apparemini,apparimini,apparimini,You (pl.) are being appeared
Passive Indicative,Present,3rd Person,Singular,apparatur,apparetur,apparitur,apparitur,He/she/it is being appeared
Passive Indicative,Present,3rd Person,Plural,apparantur,apparentur,appariuntur,appariuntur,They are being appeared
Passive Indicative,Imperfect,1st Person,Singular,apparabar,apparebar,apparebar,appariebar,I was appeared
Passive Indicative,Imperfect,1st Person,Plural,apparabamur,apparebamur,apparebamur,appariebamur,We were appeared
Passive Indicative,Imperfect,2nd Person,Singular,apparabaris,apparebaris,apparebaris,appariebaris,You were appeared
Passive Indicative,Imperfect,2nd Person,Plural,apparabamini,apparebamini,apparebamini,appariebamini,You (pl.) were appeared
Passive Indicative,Imperfect,3rd Person,Singular,apparabatur,apparebatur,apparebatur,appariebatur,He/she/it was appeared
Passive Indicative,Imperfect,3rd Person,Plural,apparabantur,apparebantur,apparebantur,appariebantur,They were appeared
Passive Indicative,Future,1st Person,Singular,apparabor,apparebor,apparar,appariar,I will be appeared
Passive Indicative,Future,1st Person,Plural,apparabimur,apparebimur,apparemur,appariemur,We will be appeared
Passive Indicative,Future,2nd Person,Singular,apparaberis,appareberis,appareris,apparieris,You will be appeared
