Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,appario,apparieo,appario,appario,I prepare
Active Indicative,Present,1st Person,Plural,appariamus,appariemus,apparimus,apparimus,We prepare
Active Indicative,Present,2nd Person,Singular,apparias,apparies,apparis,apparis,You prepare
Active Indicative,Present,2nd Person,Plural,appariatis,apparietis,apparitis,apparitis,You (pl.) prepare
Active Indicative,Present,3rd Person,Singular,appariat,appariet,apparit,apparit,He/she/it prepare
Active Indicative,Present,3rd Person,Plural,appariant,apparient,appariunt,appariunt,They prepare
Active Indicative,Imperfect,1st Person,Singular,appariabam,appariebam,appariebam,appariebam,I was prepareing
Active Indicative,Imperfect,1st Person,Plural,appariabamus,appariebamus,appariebamus,appariebamus,We were prepareing
Active Indicative,Imperfect,2nd Person,Singular,appariabas,appariebas,appariebas,appariebas,You were prepareing
Active Indicative,Imperfect,2nd Person,Plural,appariabatis,appariebatis,appariebatis,appariebatis,You (pl.) were prepareing
Active Indicative,Imperfect,3rd Person,Singular,appariabat,appariebat,appariebat,appariebat,He/she/it was prepareing
Active Indicative,Imperfect,3rd Person,Plural,appariabant,appariebant,appariebant,appariebant,They were prepareing
Active Indicative,Future,1st Person,Singular,appariabo,appariebo,appariam,appariam,I will prepare
Active Indicative,Future,1st Person,Plural,appariabimus,appariebimus,appariemus,appariemus,We will prepare
Active Indicative,Future,2nd Person,Singular,appariabis,appariebis,apparies,apparies,You will prepare
Active Indicative,Future,2nd Person,Plural,appariabitis,appariebitis,apparietis,apparietis,You (pl.) will prepare
Active Indicative,Future,3rd Person,Singular,appariabit,appariebit,appariet,appariet,He/she/it will prepare
Active Indicative,Future,3rd Person,Plural,appariabunt,appariebunt,apparient,apparient,They will prepare
Active Indicative,Perfect,1st Person,Singular,appariavi,appariui,appari,appari,I have prepareed
Active Indicative,Perfect,1st Person,Plural,appariavimus,appariuimus,apparimus,apparimus,We have prepareed
Active Indicative,Perfect,2nd Person,Singular,appariavisti,appariuisti,apparisti,apparisti,You have prepareed
Active Indicative,Perfect,2nd Person,Plural,appariavistis,appariuistis,apparistis,apparistis,You (pl.) have prepareed
Active Indicative,Perfect,3rd Person,Singular,appariavit,appariuit,apparit,apparit,He/she/it has prepareed
Active Indicative,Perfect,3rd Person,Plural,appariaverunt,appariuerunt,apparierunt,apparierunt,They have prepareed
Active Indicative,Pluperfect,1st Person,Singular,appariaveram,appariueram,apparieram,apparieram,I had prepareed
Active Indicative,Pluperfect,1st Person,Plural,appariaveramus,appariueramus,apparieramus,apparieramus,We had prepareed
Active Indicative,Pluperfect,2nd Person,Singular,appariaveras,appariueras,apparieras,apparieras,You had prepareed
Active Indicative,Pluperfect,2nd Person,Plural,appariaveratis,appariueratis,apparieratis,apparieratis,You (pl.) had prepareed
Active Indicative,Pluperfect,3rd Person,Singular,appariaverat,appariuerat,apparierat,apparierat,He/she/it had prepareed
Active Indicative,Pluperfect,3rd Person,Plural,appariaverant,appariuerant,apparierant,apparierant,They had prepareed
