Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,appariculo,appariculeo,appariculo,appariculio,I prepare
Active Indicative,Present,1st Person,Plural,appariculamus,appariculemus,appariculimus,appariculimus,We prepare
Active Indicative,Present,2nd Person,Singular,appariculas,apparicules,appariculis,appariculis,You prepare
Active Indicative,Present,2nd Person,Plural,appariculatis,appariculetis,appariculitis,appariculitis,You (pl.) prepare
Active Indicative,Present,3rd Person,Singular,appariculat,appariculet,appariculit,appariculit,He/she/it prepare
Active Indicative,Present,3rd Person,Plural,appariculant,appariculent,appariculiunt,appariculiunt,They prepare
Active Indicative,Imperfect,1st Person,Singular,appariculabam,appariculebam,appariculebam,appariculiebam,I was prepareing
Active Indicative,Imperfect,1st Person,Plural,appariculabamus,appariculebamus,appariculebamus,appariculiebamus,We were prepareing
Active Indicative,Imperfect,2nd Person,Singular,appariculabas,appariculebas,appariculebas,appariculiebas,You were prepareing
Active Indicative,Imperfect,2nd Person,Plural,appariculabatis,appariculebatis,appariculebatis,appariculiebatis,You (pl.) were prepareing
Active Indicative,Imperfect,3rd Person,Singular,appariculabat,appariculebat,appariculebat,appariculiebat,He/she/it was prepareing
Active Indicative,Imperfect,3rd Person,Plural,appariculabant,appariculebant,appariculebant,appariculiebant,They were prepareing
Active Indicative,Future,1st Person,Singular,appariculabo,appariculebo,appariculam,appariculiam,I will prepare
Active Indicative,Future,1st Person,Plural,appariculabimus,appariculebimus,appariculemus,appariculiemus,We will prepare
Active Indicative,Future,2nd Person,Singular,appariculabis,appariculebis,apparicules,appariculies,You will prepare
Active Indicative,Future,2nd Person,Plural,appariculabitis,appariculebitis,appariculetis,appariculietis,You (pl.) will prepare
Active Indicative,Future,3rd Person,Singular,appariculabit,appariculebit,appariculet,appariculiet,He/she/it will prepare
Active Indicative,Future,3rd Person,Plural,appariculabunt,appariculebunt,appariculent,appariculient,They will prepare
Active Indicative,Perfect,1st Person,Singular,appariculavi,apparicului,appariculi,appariculi,I have prepareed
Active Indicative,Perfect,1st Person,Plural,appariculavimus,appariculuimus,appariculimus,appariculimus,We have prepareed
Active Indicative,Perfect,2nd Person,Singular,appariculavisti,appariculuisti,appariculisti,appariculisti,You have prepareed
Active Indicative,Perfect,2nd Person,Plural,appariculavistis,appariculuistis,appariculistis,appariculistis,You (pl.) have prepareed
Active Indicative,Perfect,3rd Person,Singular,appariculavit,appariculuit,appariculit,appariculit,He/she/it has prepareed
Active Indicative,Perfect,3rd Person,Plural,appariculaverunt,appariculuerunt,appariculerunt,appariculerunt,They have prepareed
Active Indicative,Pluperfect,1st Person,Singular,appariculaveram,appariculueram,appariculeram,appariculeram,I had prepareed
Active Indicative,Pluperfect,1st Person,Plural,appariculaveramus,appariculueramus,appariculeramus,appariculeramus,We had prepareed
Active Indicative,Pluperfect,2nd Person,Singular,appariculaveras,appariculueras,appariculeras,appariculeras,You had prepareed
Active Indicative,Pluperfect,2nd Person,Plural,appariculaveratis,appariculueratis,appariculeratis,appariculeratis,You (pl.) had prepareed
Active Indicative,Pluperfect,3rd Person,Singular,appariculaverat,appariculuerat,appariculerat,appariculerat,He/she/it had prepareed
Active Indicative,Pluperfect,3rd Person,Plural,appariculaverant,appariculuerant,appariculerant,appariculerant,They had prepareed
Active Indicative,Future Perfect,1st Person,Singular,appariculavero,appariculueero,appariculero,appariculiero,I will have prepareed
Active Indicative,Future Perfect,1st Person,Plural,appariculaverimus,appariculuerimus,appariculerimus,appariculierimus,We will have prepareed
Active Indicative,Future Perfect,2nd Person,Singular,appariculaveris,appariculueris,appariculeris,appariculieris,You will have prepareed
Active Indicative,Future Perfect,2nd Person,Plural,appariculaveritis,appariculueritis,appariculeritis,appariculieritis,You (pl.) will have prepareed
Active Indicative,Future Perfect,3rd Person,Singular,appariculaverit,appariculuerit,appariculerit,appariculierit,He/she/it will have prepareed
Active Indicative,Future Perfect,3rd Person,Plural,appariculaverint,appariculuerint,appariculerint,appariculierint,They will have prepareed
Passive Indicative,Present,1st Person,Singular,appariculor,appariculeor,appariculor,appariculior,I am being prepareed
Passive Indicative,Present,1st Person,Plural,appariculamur,appariculemur,appariculimur,appariculimur,We are being prepareed
Passive Indicative,Present,2nd Person,Singular,apparicularis,appariculeris,appariculiris,appariculiris,You are being prepareed
