Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,appono,apponeo,appono,apponio,I appoint
Active Indicative,Present,1st Person,Plural,apponamus,apponemus,apponimus,apponimus,We appoint
Active Indicative,Present,2nd Person,Singular,apponas,appones,apponis,apponis,You appoint
Active Indicative,Present,2nd Person,Plural,apponatis,apponetis,apponitis,apponitis,You (pl.) appoint
Active Indicative,Present,3rd Person,Singular,apponat,apponet,apponit,apponit,He/she/it appoint
Active Indicative,Present,3rd Person,Plural,apponant,apponent,apponiunt,apponiunt,They appoint
Active Indicative,Imperfect,1st Person,Singular,apponabam,apponebam,apponebam,apponiebam,I was appointing
Active Indicative,Imperfect,1st Person,Plural,apponabamus,apponebamus,apponebamus,apponiebamus,We were appointing
Active Indicative,Imperfect,2nd Person,Singular,apponabas,apponebas,apponebas,apponiebas,You were appointing
Active Indicative,Imperfect,2nd Person,Plural,apponabatis,apponebatis,apponebatis,apponiebatis,You (pl.) were appointing
Active Indicative,Imperfect,3rd Person,Singular,apponabat,apponebat,apponebat,apponiebat,He/she/it was appointing
Active Indicative,Imperfect,3rd Person,Plural,apponabant,apponebant,apponebant,apponiebant,They were appointing
Active Indicative,Future,1st Person,Singular,apponabo,apponebo,apponam,apponiam,I will appoint
Active Indicative,Future,1st Person,Plural,apponabimus,apponebimus,apponemus,apponiemus,We will appoint
Active Indicative,Future,2nd Person,Singular,apponabis,apponebis,appones,apponies,You will appoint
Active Indicative,Future,2nd Person,Plural,apponabitis,apponebitis,apponetis,apponietis,You (pl.) will appoint
Active Indicative,Future,3rd Person,Singular,apponabit,apponebit,apponet,apponiet,He/she/it will appoint
Active Indicative,Future,3rd Person,Plural,apponabunt,apponebunt,apponent,apponient,They will appoint
Active Indicative,Perfect,1st Person,Singular,apponavi,apponui,apponi,apponi,I have appointed
Active Indicative,Perfect,1st Person,Plural,apponavimus,apponuimus,apponimus,apponimus,We have appointed
Active Indicative,Perfect,2nd Person,Singular,apponavisti,apponuisti,apponisti,apponisti,You have appointed
Active Indicative,Perfect,2nd Person,Plural,apponavistis,apponuistis,apponistis,apponistis,You (pl.) have appointed
Active Indicative,Perfect,3rd Person,Singular,apponavit,apponuit,apponit,apponit,He/she/it has appointed
Active Indicative,Perfect,3rd Person,Plural,apponaverunt,apponuerunt,apponerunt,apponerunt,They have appointed
Active Indicative,Pluperfect,1st Person,Singular,apponaveram,apponueram,apponeram,apponeram,I had appointed
Active Indicative,Pluperfect,1st Person,Plural,apponaveramus,apponueramus,apponeramus,apponeramus,We had appointed
Active Indicative,Pluperfect,2nd Person,Singular,apponaveras,apponueras,apponeras,apponeras,You had appointed
Active Indicative,Pluperfect,2nd Person,Plural,apponaveratis,apponueratis,apponeratis,apponeratis,You (pl.) had appointed
Active Indicative,Pluperfect,3rd Person,Singular,apponaverat,apponuerat,apponerat,apponerat,He/she/it had appointed
Active Indicative,Pluperfect,3rd Person,Plural,apponaverant,apponuerant,apponerant,apponerant,They had appointed
Active Indicative,Future Perfect,1st Person,Singular,apponavero,apponueero,apponero,apponiero,I will have appointed
Active Indicative,Future Perfect,1st Person,Plural,apponaverimus,apponuerimus,apponerimus,apponierimus,We will have appointed
Active Indicative,Future Perfect,2nd Person,Singular,apponaveris,apponueris,apponeris,apponieris,You will have appointed
Active Indicative,Future Perfect,2nd Person,Plural,apponaveritis,apponueritis,apponeritis,apponieritis,You (pl.) will have appointed
Active Indicative,Future Perfect,3rd Person,Singular,apponaverit,apponuerit,apponerit,apponierit,He/she/it will have appointed
Active Indicative,Future Perfect,3rd Person,Plural,apponaverint,apponuerint,apponerint,apponierint,They will have appointed
Passive Indicative,Present,1st Person,Singular,apponor,apponeor,apponor,apponior,I am being appointed
Passive Indicative,Present,1st Person,Plural,apponamur,apponemur,apponimur,apponimur,We are being appointed
Passive Indicative,Present,2nd Person,Singular,apponaris,apponeris,apponiris,apponiris,You are being appointed
Passive Indicative,Present,2nd Person,Plural,apponamini,apponemini,apponimini,apponimini,You (pl.) are being appointed
Passive Indicative,Present,3rd Person,Singular,apponatur,apponetur,apponitur,apponitur,He/she/it is being appointed
Passive Indicative,Present,3rd Person,Plural,apponantur,apponentur,apponiuntur,apponiuntur,They are being appointed
Passive Indicative,Imperfect,1st Person,Singular,apponabar,apponebar,apponebar,apponiebar,I was appointed
Passive Indicative,Imperfect,1st Person,Plural,apponabamur,apponebamur,apponebamur,apponiebamur,We were appointed
Passive Indicative,Imperfect,2nd Person,Singular,apponabaris,apponebaris,apponebaris,apponiebaris,You were appointed
Passive Indicative,Imperfect,2nd Person,Plural,apponabamini,apponebamini,apponebamini,apponiebamini,You (pl.) were appointed
Passive Indicative,Imperfect,3rd Person,Singular,apponabatur,apponebatur,apponebatur,apponiebatur,He/she/it was appointed
Passive Indicative,Imperfect,3rd Person,Plural,apponabantur,apponebantur,apponebantur,apponiebantur,They were appointed
Passive Indicative,Future,1st Person,Singular,apponabor,apponebor,apponar,apponiar,I will be appointed
Passive Indicative,Future,1st Person,Plural,apponabimur,apponebimur,apponemur,apponiemur,We will be appointed
Passive Indicative,Future,2nd Person,Singular,apponaberis,apponeberis,apponeris,apponieris,You will be appointed
Passive Indicative,Future,2nd Person,Plural,apponabimini,apponebimini,apponemini,apponiemini,You (pl.) will be appointed
Passive Indicative,Future,3rd Person,Singular,apponabitur,apponebitur,apponetur,apponietur,He/she/it will be appointed
Passive Indicative,Future,3rd Person,Plural,apponabuntur,apponebuntur,apponentur,apponientur,They will be appointed
Passive Indicative,Perfect,1st Person,Singular,apponatus sum,apponetus sum,apponus sum,apponus sum,I have been appointed
Passive Indicative,Perfect,1st Person,Plural,apponati sumus,apponeti sumus,apponi sumus,apponi sumus,We have been appointed
Passive Indicative,Perfect,2nd Person,Singular,apponatus es,apponetus es,apponus es,apponus es,You have been appointed
Passive Indicative,Perfect,2nd Person,Plural,apponati estis,apponeti estis,apponi estis,apponi estis,You (pl.) have been appointed
Passive Indicative,Perfect,3rd Person,Singular,apponatus est,apponetus est,apponus est,apponus est,He/she/it has been appointed
Passive Indicative,Perfect,3rd Person,Plural,apponati sunt,apponeti sunt,apponi sunt,apponi sunt,They have been appointed
Passive Indicative,Pluperfect,1st Person,Singular,apponatus eram,apponetus eram,apponus eram,apponus eram,I had been appointed
Passive Indicative,Pluperfect,1st Person,Plural,apponati eramus,apponeti eramus,apponi eramus,apponi eramus,We had been appointed
Passive Indicative,Pluperfect,2nd Person,Singular,apponatus eras,apponetus eras,apponus eras,apponus eras,You had been appointed
Passive Indicative,Pluperfect,2nd Person,Plural,apponati eratis,apponeti eratis,apponi eratis,apponi eratis,You (pl.) had been appointed
Passive Indicative,Pluperfect,3rd Person,Singular,apponatus erat,apponetus erat,apponus erat,apponus erat,He/she/it had been appointed
Passive Indicative,Pluperfect,3rd Person,Plural,apponati erant,apponeti erant,apponi erant,apponi erant,They had been appointed
Passive Indicative,Future Perfect,1st Person,Singular,apponatus ero,apponetus ero,apponus ero,apponus ero,I will have been appointed
Passive Indicative,Future Perfect,1st Person,Plural,apponati erimus,apponeti erimus,apponi erimus,apponi erimus,We will have been appointed
Passive Indicative,Future Perfect,2nd Person,Singular,apponatus eris,apponetus eris,apponus eris,apponus eris,You will have been appointed
Passive Indicative,Future Perfect,2nd Person,Plural,apponati eritis,apponeti eritis,apponi eritis,apponi eritis,You (pl.) will have been appointed
Passive Indicative,Future Perfect,3rd Person,Singular,apponatus erit,apponetus erit,apponus erit,apponus erit,He/she/it will have been appointed
Passive Indicative,Future Perfect,3rd Person,Plural,apponati erunt,apponeti erunt,apponi erunt,apponi erunt,They will have been appointed
Active Subjunctive,Present,1st Person,Singular,apponem,apponem,apponam,apponam,I may appoint
Active Subjunctive,Present,1st Person,Plural,apponemus,apponemus,apponamus,apponamus,We may appoint
Active Subjunctive,Present,2nd Person,Singular,appones,appones,apponas,apponas,You may appoint
Active Subjunctive,Present,2nd Person,Plural,apponetis,apponetis,apponatis,apponatis,You (pl.) may appoint
Active Subjunctive,Present,3rd Person,Singular,apponet,apponet,apponat,apponat,He/she/it may appoint
Active Subjunctive,Present,3rd Person,Plural,apponent,apponent,apponant,apponant,They may appoint
Active Subjunctive,Imperfect,1st Person,Singular,apponarem,apponerem,apponerem,apponirem,I should appoint
Active Subjunctive,Imperfect,1st Person,Plural,apponaremus,apponeremus,apponeremus,apponiremus,We should appoint
Active Subjunctive,Imperfect,2nd Person,Singular,apponares,apponeres,apponeres,apponires,You should appoint
Active Subjunctive,Imperfect,2nd Person,Plural,apponaretis,apponeretis,apponeretis,apponiretis,You (pl.) should appoint
Active Subjunctive,Imperfect,3rd Person,Singular,apponaret,apponeret,apponeret,apponiret,He/she/it should appoint
Active Subjunctive,Imperfect,3rd Person,Plural,apponarent,apponerent,apponerent,apponirent,They should appoint
Active Subjunctive,Perfect,1st Person,Singular,apponerim,apponuerim,apponerim,apponierim,I may have appointed
Active Subjunctive,Perfect,1st Person,Plural,apponerimus,apponuerimus,apponerimus,apponierimus,We may have appointed
Active Subjunctive,Perfect,2nd Person,Singular,apponeris,apponueris,apponeris,apponieris,You may have appointed
Active Subjunctive,Perfect,2nd Person,Plural,apponeritis,apponueritis,apponeritis,apponieritis,You (pl.) may have appointed
Active Subjunctive,Perfect,3rd Person,Singular,apponerit,apponuerit,apponerit,apponierit,He/she/it may have appointed
Active Subjunctive,Perfect,3rd Person,Plural,apponerint,apponuerint,apponerint,apponierint,They may have appointed
Active Subjunctive,Pluperfect,1st Person,Singular,apponissem,apponuissem,apponissem,apponissem,I should have appointed
Active Subjunctive,Pluperfect,1st Person,Plural,apponissemus,apponuissemus,apponissemus,apponissemus,We should have appointed
Active Subjunctive,Pluperfect,2nd Person,Singular,apponisses,apponuisses,apponisses,apponisses,You would have appointed
Active Subjunctive,Pluperfect,2nd Person,Plural,apponissetis,apponuissetis,apponissetis,apponissetis,You (pl.) would have appointed
Active Subjunctive,Pluperfect,3rd Person,Singular,apponisset,apponuisset,apponisset,apponisset,He/she/it would have appointed
Active Subjunctive,Pluperfect,3rd Person,Plural,apponissent,apponuissent,apponissent,apponissent,They would have appointed
Passive Subjunctive,Present,1st Person,Singular,apponer,apponer,apponar,apponar,I may be appointed
Passive Subjunctive,Present,1st Person,Plural,apponemur,apponemur,apponamur,apponamur,We may be appointed
Passive Subjunctive,Present,2nd Person,Singular,apponeris,apponeris,apponaris,apponaris,You may be appointed
Passive Subjunctive,Present,2nd Person,Plural,apponemini,apponemini,apponamini,apponamini,You (pl.) may be appointed
Passive Subjunctive,Present,3rd Person,Singular,apponetur,apponetur,apponatur,apponatur,He/she/it may be appointed
Passive Subjunctive,Present,3rd Person,Plural,apponentur,apponentur,apponantur,apponantur,They may be appointed
Passive Subjunctive,Imperfect,1st Person,Singular,apponarer,apponerer,apponerer,apponirer,I should be appointed
Passive Subjunctive,Imperfect,1st Person,Plural,apponaremur,apponeremur,apponeremur,apponiremur,We should be appointed
Passive Subjunctive,Imperfect,2nd Person,Singular,apponareris,apponereris,apponereris,apponireris,You would be appointed
Passive Subjunctive,Imperfect,2nd Person,Plural,apponaremini,apponeremini,apponeremini,apponiremini,You (pl.) would be appointed
Passive Subjunctive,Imperfect,3rd Person,Singular,apponaretur,apponeretur,apponeretur,apponiretur,He/she/it would be appointed
Passive Subjunctive,Imperfect,3rd Person,Plural,apponarentur,apponerentur,apponerentur,apponirentur,They would be appointed
Passive Subjunctive,Perfect,1st Person,Singular,apponatus sim,apponetus sim,apponus sim,apponus sim,I may have been appointed
Passive Subjunctive,Perfect,1st Person,Plural,apponati simus,apponeti simus,apponi simus,apponi simus,We may have been appointed
Passive Subjunctive,Perfect,2nd Person,Singular,apponatus sis,apponetus sis,apponus sis,apponus sis,You may have been appointed
Passive Subjunctive,Perfect,2nd Person,Plural,apponati sitis,apponeti sitis,apponi sitis,apponi sitis,You (pl.) may have been appointed
Passive Subjunctive,Perfect,3rd Person,Singular,apponatus sit,apponetus sit,apponus sit,apponus sit,He/she/it may have been appointed
Passive Subjunctive,Perfect,3rd Person,Plural,apponati sint,apponeti sint,apponi sint,apponi sint,They may have been appointed
Passive Subjunctive,Pluperfect,1st Person,Singular,apponatus essem,apponetus essem,apponus essem,apponus essem,I should have been appointed
Passive Subjunctive,Pluperfect,1st Person,Plural,apponati essemus,apponeti essemus,apponi essemus,apponi essemus,We should have been appointed
Passive Subjunctive,Pluperfect,2nd Person,Singular,apponatus esses,apponetus esses,apponus esses,apponus esses,You would have been appointed
Passive Subjunctive,Pluperfect,2nd Person,Plural,apponati essetis,apponeti essetis,apponi essetis,apponi essetis,You (pl.) would have been appointed
Passive Subjunctive,Pluperfect,3rd Person,Singular,apponatus esset,apponetus esset,apponus esset,apponus esset,He/she/it would have been appointed
Passive Subjunctive,Pluperfect,3rd Person,Plural,apponati essent,apponeti essent,apponi essent,apponi essent,They would have been appointed
