Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,ardo,ardeo,ardo,ardio,I burn
Active Indicative,Present,1st Person,Plural,ardamus,ardemus,ardimus,ardimus,We burn
Active Indicative,Present,2nd Person,Singular,ardas,ardes,ardis,ardis,You burn
Active Indicative,Present,2nd Person,Plural,ardatis,ardetis,arditis,arditis,You (pl.) burn
Active Indicative,Present,3rd Person,Singular,ardat,ardet,ardit,ardit,He/she/it burn
Active Indicative,Present,3rd Person,Plural,ardant,ardent,ardiunt,ardiunt,They burn
Active Indicative,Imperfect,1st Person,Singular,ardabam,ardebam,ardebam,ardiebam,I was burning
Active Indicative,Imperfect,1st Person,Plural,ardabamus,ardebamus,ardebamus,ardiebamus,We were burning
Active Indicative,Imperfect,2nd Person,Singular,ardabas,ardebas,ardebas,ardiebas,You were burning
Active Indicative,Imperfect,2nd Person,Plural,ardabatis,ardebatis,ardebatis,ardiebatis,You (pl.) were burning
Active Indicative,Imperfect,3rd Person,Singular,ardabat,ardebat,ardebat,ardiebat,He/she/it was burning
Active Indicative,Imperfect,3rd Person,Plural,ardabant,ardebant,ardebant,ardiebant,They were burning
Active Indicative,Future,1st Person,Singular,ardabo,ardebo,ardam,ardiam,I will burn
Active Indicative,Future,1st Person,Plural,ardabimus,ardebimus,ardemus,ardiemus,We will burn
Active Indicative,Future,2nd Person,Singular,ardabis,ardebis,ardes,ardies,You will burn
Active Indicative,Future,2nd Person,Plural,ardabitis,ardebitis,ardetis,ardietis,You (pl.) will burn
Active Indicative,Future,3rd Person,Singular,ardabit,ardebit,ardet,ardiet,He/she/it will burn
Active Indicative,Future,3rd Person,Plural,ardabunt,ardebunt,ardent,ardient,They will burn
Active Indicative,Perfect,1st Person,Singular,ardavi,ardui,ardi,ardi,I have burned
Active Indicative,Perfect,1st Person,Plural,ardavimus,arduimus,ardimus,ardimus,We have burned
Active Indicative,Perfect,2nd Person,Singular,ardavisti,arduisti,ardisti,ardisti,You have burned
Active Indicative,Perfect,2nd Person,Plural,ardavistis,arduistis,ardistis,ardistis,You (pl.) have burned
Active Indicative,Perfect,3rd Person,Singular,ardavit,arduit,ardit,ardit,He/she/it has burned
Active Indicative,Perfect,3rd Person,Plural,ardaverunt,arduerunt,arderunt,arderunt,They have burned
Active Indicative,Pluperfect,1st Person,Singular,ardaveram,ardueram,arderam,arderam,I had burned
Active Indicative,Pluperfect,1st Person,Plural,ardaveramus,ardueramus,arderamus,arderamus,We had burned
Active Indicative,Pluperfect,2nd Person,Singular,ardaveras,ardueras,arderas,arderas,You had burned
Active Indicative,Pluperfect,2nd Person,Plural,ardaveratis,ardueratis,arderatis,arderatis,You (pl.) had burned
Active Indicative,Pluperfect,3rd Person,Singular,ardaverat,arduerat,arderat,arderat,He/she/it had burned
Active Indicative,Pluperfect,3rd Person,Plural,ardaverant,arduerant,arderant,arderant,They had burned
Active Indicative,Future Perfect,1st Person,Singular,ardavero,ardueero,ardero,ardiero,I will have burned
Active Indicative,Future Perfect,1st Person,Plural,ardaverimus,arduerimus,arderimus,ardierimus,We will have burned
