Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,arresto,arresteo,arresto,arrestio,I stop
Active Indicative,Present,1st Person,Plural,arrestamus,arrestemus,arrestimus,arrestimus,We stop
Active Indicative,Present,2nd Person,Singular,arrestas,arrestes,arrestis,arrestis,You stop
Active Indicative,Present,2nd Person,Plural,arrestatis,arrestetis,arrestitis,arrestitis,You (pl.) stop
Active Indicative,Present,3rd Person,Singular,arrestat,arrestet,arrestit,arrestit,He/she/it stop
Active Indicative,Present,3rd Person,Plural,arrestant,arrestent,arrestiunt,arrestiunt,They stop
Active Indicative,Imperfect,1st Person,Singular,arrestabam,arrestebam,arrestebam,arrestiebam,I was stoping
Active Indicative,Imperfect,1st Person,Plural,arrestabamus,arrestebamus,arrestebamus,arrestiebamus,We were stoping
Active Indicative,Imperfect,2nd Person,Singular,arrestabas,arrestebas,arrestebas,arrestiebas,You were stoping
Active Indicative,Imperfect,2nd Person,Plural,arrestabatis,arrestebatis,arrestebatis,arrestiebatis,You (pl.) were stoping
Active Indicative,Imperfect,3rd Person,Singular,arrestabat,arrestebat,arrestebat,arrestiebat,He/she/it was stoping
Active Indicative,Imperfect,3rd Person,Plural,arrestabant,arrestebant,arrestebant,arrestiebant,They were stoping
Active Indicative,Future,1st Person,Singular,arrestabo,arrestebo,arrestam,arrestiam,I will stop
Active Indicative,Future,1st Person,Plural,arrestabimus,arrestebimus,arrestemus,arrestiemus,We will stop
Active Indicative,Future,2nd Person,Singular,arrestabis,arrestebis,arrestes,arresties,You will stop
Active Indicative,Future,2nd Person,Plural,arrestabitis,arrestebitis,arrestetis,arrestietis,You (pl.) will stop
Active Indicative,Future,3rd Person,Singular,arrestabit,arrestebit,arrestet,arrestiet,He/she/it will stop
Active Indicative,Future,3rd Person,Plural,arrestabunt,arrestebunt,arrestent,arrestient,They will stop
Active Indicative,Perfect,1st Person,Singular,arrestavi,arrestui,arresti,arresti,I have stoped
Active Indicative,Perfect,1st Person,Plural,arrestavimus,arrestuimus,arrestimus,arrestimus,We have stoped
Active Indicative,Perfect,2nd Person,Singular,arrestavisti,arrestuisti,arrestisti,arrestisti,You have stoped
Active Indicative,Perfect,2nd Person,Plural,arrestavistis,arrestuistis,arrestistis,arrestistis,You (pl.) have stoped
