Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,aspergo,aspergeo,aspergo,aspergio,I sprinkle
Active Indicative,Present,1st Person,Plural,aspergamus,aspergemus,aspergimus,aspergimus,We sprinkle
Active Indicative,Present,2nd Person,Singular,aspergas,asperges,aspergis,aspergis,You sprinkle
Active Indicative,Present,2nd Person,Plural,aspergatis,aspergetis,aspergitis,aspergitis,You (pl.) sprinkle
Active Indicative,Present,3rd Person,Singular,aspergat,asperget,aspergit,aspergit,He/she/it sprinkle
Active Indicative,Present,3rd Person,Plural,aspergant,aspergent,aspergiunt,aspergiunt,They sprinkle
Active Indicative,Imperfect,1st Person,Singular,aspergabam,aspergebam,aspergebam,aspergiebam,I was sprinkleing
Active Indicative,Imperfect,1st Person,Plural,aspergabamus,aspergebamus,aspergebamus,aspergiebamus,We were sprinkleing
Active Indicative,Imperfect,2nd Person,Singular,aspergabas,aspergebas,aspergebas,aspergiebas,You were sprinkleing
Active Indicative,Imperfect,2nd Person,Plural,aspergabatis,aspergebatis,aspergebatis,aspergiebatis,You (pl.) were sprinkleing
Active Indicative,Imperfect,3rd Person,Singular,aspergabat,aspergebat,aspergebat,aspergiebat,He/she/it was sprinkleing
Active Indicative,Imperfect,3rd Person,Plural,aspergabant,aspergebant,aspergebant,aspergiebant,They were sprinkleing
Active Indicative,Future,1st Person,Singular,aspergabo,aspergebo,aspergam,aspergiam,I will sprinkle
Active Indicative,Future,1st Person,Plural,aspergabimus,aspergebimus,aspergemus,aspergiemus,We will sprinkle
Active Indicative,Future,2nd Person,Singular,aspergabis,aspergebis,asperges,aspergies,You will sprinkle
Active Indicative,Future,2nd Person,Plural,aspergabitis,aspergebitis,aspergetis,aspergietis,You (pl.) will sprinkle
Active Indicative,Future,3rd Person,Singular,aspergabit,aspergebit,asperget,aspergiet,He/she/it will sprinkle
Active Indicative,Future,3rd Person,Plural,aspergabunt,aspergebunt,aspergent,aspergient,They will sprinkle
Active Indicative,Perfect,1st Person,Singular,aspergavi,aspergui,aspergi,aspergi,I have sprinkleed
Active Indicative,Perfect,1st Person,Plural,aspergavimus,asperguimus,aspergimus,aspergimus,We have sprinkleed
Active Indicative,Perfect,2nd Person,Singular,aspergavisti,asperguisti,aspergisti,aspergisti,You have sprinkleed
Active Indicative,Perfect,2nd Person,Plural,aspergavistis,asperguistis,aspergistis,aspergistis,You (pl.) have sprinkleed
Active Indicative,Perfect,3rd Person,Singular,aspergavit,asperguit,aspergit,aspergit,He/she/it has sprinkleed
Active Indicative,Perfect,3rd Person,Plural,aspergaverunt,asperguerunt,aspergerunt,aspergerunt,They have sprinkleed
Active Indicative,Pluperfect,1st Person,Singular,aspergaveram,aspergueram,aspergeram,aspergeram,I had sprinkleed
Active Indicative,Pluperfect,1st Person,Plural,aspergaveramus,aspergueramus,aspergeramus,aspergeramus,We had sprinkleed
Active Indicative,Pluperfect,2nd Person,Singular,aspergaveras,aspergueras,aspergeras,aspergeras,You had sprinkleed
Active Indicative,Pluperfect,2nd Person,Plural,aspergaveratis,aspergueratis,aspergeratis,aspergeratis,You (pl.) had sprinkleed
Active Indicative,Pluperfect,3rd Person,Singular,aspergaverat,asperguerat,aspergerat,aspergerat,He/she/it had sprinkleed
Active Indicative,Pluperfect,3rd Person,Plural,aspergaverant,asperguerant,aspergerant,aspergerant,They had sprinkleed
Active Indicative,Future Perfect,1st Person,Singular,aspergavero,aspergueero,aspergero,aspergiero,I will have sprinkleed
Active Indicative,Future Perfect,1st Person,Plural,aspergaverimus,asperguerimus,aspergerimus,aspergierimus,We will have sprinkleed
Active Indicative,Future Perfect,2nd Person,Singular,aspergaveris,aspergueris,aspergeris,aspergieris,You will have sprinkleed
Active Indicative,Future Perfect,2nd Person,Plural,aspergaveritis,aspergueritis,aspergeritis,aspergieritis,You (pl.) will have sprinkleed
Active Indicative,Future Perfect,3rd Person,Singular,aspergaverit,asperguerit,aspergerit,aspergierit,He/she/it will have sprinkleed
Active Indicative,Future Perfect,3rd Person,Plural,aspergaverint,asperguerint,aspergerint,aspergierint,They will have sprinkleed
Passive Indicative,Present,1st Person,Singular,aspergor,aspergeor,aspergor,aspergior,I am being sprinkleed
Passive Indicative,Present,1st Person,Plural,aspergamur,aspergemur,aspergimur,aspergimur,We are being sprinkleed
Passive Indicative,Present,2nd Person,Singular,aspergaris,aspergeris,aspergiris,aspergiris,You are being sprinkleed
Passive Indicative,Present,2nd Person,Plural,aspergamini,aspergemini,aspergimini,aspergimini,You (pl.) are being sprinkleed
Passive Indicative,Present,3rd Person,Singular,aspergatur,aspergetur,aspergitur,aspergitur,He/she/it is being sprinkleed
Passive Indicative,Present,3rd Person,Plural,aspergantur,aspergentur,aspergiuntur,aspergiuntur,They are being sprinkleed
Passive Indicative,Imperfect,1st Person,Singular,aspergabar,aspergebar,aspergebar,aspergiebar,I was sprinkleed
Passive Indicative,Imperfect,1st Person,Plural,aspergabamur,aspergebamur,aspergebamur,aspergiebamur,We were sprinkleed
Passive Indicative,Imperfect,2nd Person,Singular,aspergabaris,aspergebaris,aspergebaris,aspergiebaris,You were sprinkleed
