Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,assedio,assedieo,assedio,assedio,I besiege
Active Indicative,Present,1st Person,Plural,assediamus,assediemus,assedimus,assedimus,We besiege
Active Indicative,Present,2nd Person,Singular,assedias,assedies,assedis,assedis,You besiege
Active Indicative,Present,2nd Person,Plural,assediatis,assedietis,asseditis,asseditis,You (pl.) besiege
Active Indicative,Present,3rd Person,Singular,assediat,assediet,assedit,assedit,He/she/it besiege
Active Indicative,Present,3rd Person,Plural,assediant,assedient,assediunt,assediunt,They besiege
Active Indicative,Imperfect,1st Person,Singular,assediabam,assediebam,assediebam,assediebam,I was besiegeing
Active Indicative,Imperfect,1st Person,Plural,assediabamus,assediebamus,assediebamus,assediebamus,We were besiegeing
Active Indicative,Imperfect,2nd Person,Singular,assediabas,assediebas,assediebas,assediebas,You were besiegeing
Active Indicative,Imperfect,2nd Person,Plural,assediabatis,assediebatis,assediebatis,assediebatis,You (pl.) were besiegeing
Active Indicative,Imperfect,3rd Person,Singular,assediabat,assediebat,assediebat,assediebat,He/she/it was besiegeing
Active Indicative,Imperfect,3rd Person,Plural,assediabant,assediebant,assediebant,assediebant,They were besiegeing
Active Indicative,Future,1st Person,Singular,assediabo,assediebo,assediam,assediam,I will besiege
Active Indicative,Future,1st Person,Plural,assediabimus,assediebimus,assediemus,assediemus,We will besiege
Active Indicative,Future,2nd Person,Singular,assediabis,assediebis,assedies,assedies,You will besiege
Active Indicative,Future,2nd Person,Plural,assediabitis,assediebitis,assedietis,assedietis,You (pl.) will besiege
Active Indicative,Future,3rd Person,Singular,assediabit,assediebit,assediet,assediet,He/she/it will besiege
Active Indicative,Future,3rd Person,Plural,assediabunt,assediebunt,assedient,assedient,They will besiege
Active Indicative,Perfect,1st Person,Singular,assediavi,assediui,assedi,assedi,I have besiegeed
Active Indicative,Perfect,1st Person,Plural,assediavimus,assediuimus,assedimus,assedimus,We have besiegeed
Active Indicative,Perfect,2nd Person,Singular,assediavisti,assediuisti,assedisti,assedisti,You have besiegeed
Active Indicative,Perfect,2nd Person,Plural,assediavistis,assediuistis,assedistis,assedistis,You (pl.) have besiegeed
Active Indicative,Perfect,3rd Person,Singular,assediavit,assediuit,assedit,assedit,He/she/it has besiegeed
Active Indicative,Perfect,3rd Person,Plural,assediaverunt,assediuerunt,assedierunt,assedierunt,They have besiegeed
Active Indicative,Pluperfect,1st Person,Singular,assediaveram,assediueram,assedieram,assedieram,I had besiegeed
Active Indicative,Pluperfect,1st Person,Plural,assediaveramus,assediueramus,assedieramus,assedieramus,We had besiegeed
Active Indicative,Pluperfect,2nd Person,Singular,assediaveras,assediueras,assedieras,assedieras,You had besiegeed
Active Indicative,Pluperfect,2nd Person,Plural,assediaveratis,assediueratis,assedieratis,assedieratis,You (pl.) had besiegeed
Active Indicative,Pluperfect,3rd Person,Singular,assediaverat,assediuerat,assedierat,assedierat,He/she/it had besiegeed
Active Indicative,Pluperfect,3rd Person,Plural,assediaverant,assediuerant,assedierant,assedierant,They had besiegeed
Active Indicative,Future Perfect,1st Person,Singular,assediavero,assediueero,assediero,assediero,I will have besiegeed
Active Indicative,Future Perfect,1st Person,Plural,assediaverimus,assediuerimus,assedierimus,assedierimus,We will have besiegeed
Active Indicative,Future Perfect,2nd Person,Singular,assediaveris,assediueris,assedieris,assedieris,You will have besiegeed
Active Indicative,Future Perfect,2nd Person,Plural,assediaveritis,assediueritis,assedieritis,assedieritis,You (pl.) will have besiegeed
Active Indicative,Future Perfect,3rd Person,Singular,assediaverit,assediuerit,assedierit,assedierit,He/she/it will have besiegeed
Active Indicative,Future Perfect,3rd Person,Plural,assediaverint,assediuerint,assedierint,assedierint,They will have besiegeed
Passive Indicative,Present,1st Person,Singular,assedior,assedieor,assedior,assedior,I am being besiegeed
Passive Indicative,Present,1st Person,Plural,assediamur,assediemur,assedimur,assedimur,We are being besiegeed
Passive Indicative,Present,2nd Person,Singular,assediaris,assedieris,assediris,assediris,You are being besiegeed
Passive Indicative,Present,2nd Person,Plural,assediamini,assediemini,assedimini,assedimini,You (pl.) are being besiegeed
Passive Indicative,Present,3rd Person,Singular,assediatur,assedietur,asseditur,asseditur,He/she/it is being besiegeed
Passive Indicative,Present,3rd Person,Plural,assediantur,assedientur,assediuntur,assediuntur,They are being besiegeed
