Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,assisto,assisteo,assisto,assistio,I attend
Active Indicative,Present,1st Person,Plural,assistamus,assistemus,assistimus,assistimus,We attend
Active Indicative,Present,2nd Person,Singular,assistas,assistes,assistis,assistis,You attend
Active Indicative,Present,2nd Person,Plural,assistatis,assistetis,assistitis,assistitis,You (pl.) attend
Active Indicative,Present,3rd Person,Singular,assistat,assistet,assistit,assistit,He/she/it attend
Active Indicative,Present,3rd Person,Plural,assistant,assistent,assistiunt,assistiunt,They attend
Active Indicative,Imperfect,1st Person,Singular,assistabam,assistebam,assistebam,assistiebam,I was attending
Active Indicative,Imperfect,1st Person,Plural,assistabamus,assistebamus,assistebamus,assistiebamus,We were attending
Active Indicative,Imperfect,2nd Person,Singular,assistabas,assistebas,assistebas,assistiebas,You were attending
Active Indicative,Imperfect,2nd Person,Plural,assistabatis,assistebatis,assistebatis,assistiebatis,You (pl.) were attending
Active Indicative,Imperfect,3rd Person,Singular,assistabat,assistebat,assistebat,assistiebat,He/she/it was attending
Active Indicative,Imperfect,3rd Person,Plural,assistabant,assistebant,assistebant,assistiebant,They were attending
Active Indicative,Future,1st Person,Singular,assistabo,assistebo,assistam,assistiam,I will attend
Active Indicative,Future,1st Person,Plural,assistabimus,assistebimus,assistemus,assistiemus,We will attend
Active Indicative,Future,2nd Person,Singular,assistabis,assistebis,assistes,assisties,You will attend
Active Indicative,Future,2nd Person,Plural,assistabitis,assistebitis,assistetis,assistietis,You (pl.) will attend
Active Indicative,Future,3rd Person,Singular,assistabit,assistebit,assistet,assistiet,He/she/it will attend
Active Indicative,Future,3rd Person,Plural,assistabunt,assistebunt,assistent,assistient,They will attend
Active Indicative,Perfect,1st Person,Singular,assistavi,assistui,assisti,assisti,I have attended
Active Indicative,Perfect,1st Person,Plural,assistavimus,assistuimus,assistimus,assistimus,We have attended
Active Indicative,Perfect,2nd Person,Singular,assistavisti,assistuisti,assististi,assististi,You have attended
Active Indicative,Perfect,2nd Person,Plural,assistavistis,assistuistis,assististis,assististis,You (pl.) have attended
Active Indicative,Perfect,3rd Person,Singular,assistavit,assistuit,assistit,assistit,He/she/it has attended
Active Indicative,Perfect,3rd Person,Plural,assistaverunt,assistuerunt,assisterunt,assisterunt,They have attended
Active Indicative,Pluperfect,1st Person,Singular,assistaveram,assistueram,assisteram,assisteram,I had attended
Active Indicative,Pluperfect,1st Person,Plural,assistaveramus,assistueramus,assisteramus,assisteramus,We had attended
Active Indicative,Pluperfect,2nd Person,Singular,assistaveras,assistueras,assisteras,assisteras,You had attended
Active Indicative,Pluperfect,2nd Person,Plural,assistaveratis,assistueratis,assisteratis,assisteratis,You (pl.) had attended
Active Indicative,Pluperfect,3rd Person,Singular,assistaverat,assistuerat,assisterat,assisterat,He/she/it had attended
Active Indicative,Pluperfect,3rd Person,Plural,assistaverant,assistuerant,assisterant,assisterant,They had attended
Active Indicative,Future Perfect,1st Person,Singular,assistavero,assistueero,assistero,assistiero,I will have attended
Active Indicative,Future Perfect,1st Person,Plural,assistaverimus,assistuerimus,assisterimus,assistierimus,We will have attended
Active Indicative,Future Perfect,2nd Person,Singular,assistaveris,assistueris,assisteris,assistieris,You will have attended
Active Indicative,Future Perfect,2nd Person,Plural,assistaveritis,assistueritis,assisteritis,assistieritis,You (pl.) will have attended
Active Indicative,Future Perfect,3rd Person,Singular,assistaverit,assistuerit,assisterit,assistierit,He/she/it will have attended
Active Indicative,Future Perfect,3rd Person,Plural,assistaverint,assistuerint,assisterint,assistierint,They will have attended
Passive Indicative,Present,1st Person,Singular,assistor,assisteor,assistor,assistior,I am being attended
Passive Indicative,Present,1st Person,Plural,assistamur,assistemur,assistimur,assistimur,We are being attended
Passive Indicative,Present,2nd Person,Singular,assistaris,assisteris,assistiris,assistiris,You are being attended
Passive Indicative,Present,2nd Person,Plural,assistamini,assistemini,assistimini,assistimini,You (pl.) are being attended
