Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,attrago,attrageo,attrago,attragio,I attract
Active Indicative,Present,1st Person,Plural,attragamus,attragemus,attragimus,attragimus,We attract
Active Indicative,Present,2nd Person,Singular,attragas,attrages,attragis,attragis,You attract
Active Indicative,Present,2nd Person,Plural,attragatis,attragetis,attragitis,attragitis,You (pl.) attract
Active Indicative,Present,3rd Person,Singular,attragat,attraget,attragit,attragit,He/she/it attract
Active Indicative,Present,3rd Person,Plural,attragant,attragent,attragiunt,attragiunt,They attract
Active Indicative,Imperfect,1st Person,Singular,attragabam,attragebam,attragebam,attragiebam,I was attracting
Active Indicative,Imperfect,1st Person,Plural,attragabamus,attragebamus,attragebamus,attragiebamus,We were attracting
Active Indicative,Imperfect,2nd Person,Singular,attragabas,attragebas,attragebas,attragiebas,You were attracting
Active Indicative,Imperfect,2nd Person,Plural,attragabatis,attragebatis,attragebatis,attragiebatis,You (pl.) were attracting
Active Indicative,Imperfect,3rd Person,Singular,attragabat,attragebat,attragebat,attragiebat,He/she/it was attracting
Active Indicative,Imperfect,3rd Person,Plural,attragabant,attragebant,attragebant,attragiebant,They were attracting
Active Indicative,Future,1st Person,Singular,attragabo,attragebo,attragam,attragiam,I will attract
Active Indicative,Future,1st Person,Plural,attragabimus,attragebimus,attragemus,attragiemus,We will attract
Active Indicative,Future,2nd Person,Singular,attragabis,attragebis,attrages,attragies,You will attract
Active Indicative,Future,2nd Person,Plural,attragabitis,attragebitis,attragetis,attragietis,You (pl.) will attract
Active Indicative,Future,3rd Person,Singular,attragabit,attragebit,attraget,attragiet,He/she/it will attract
Active Indicative,Future,3rd Person,Plural,attragabunt,attragebunt,attragent,attragient,They will attract
Active Indicative,Perfect,1st Person,Singular,attragavi,attragui,attragi,attragi,I have attracted
Active Indicative,Perfect,1st Person,Plural,attragavimus,attraguimus,attragimus,attragimus,We have attracted
Active Indicative,Perfect,2nd Person,Singular,attragavisti,attraguisti,attragisti,attragisti,You have attracted
Active Indicative,Perfect,2nd Person,Plural,attragavistis,attraguistis,attragistis,attragistis,You (pl.) have attracted
Active Indicative,Perfect,3rd Person,Singular,attragavit,attraguit,attragit,attragit,He/she/it has attracted
Active Indicative,Perfect,3rd Person,Plural,attragaverunt,attraguerunt,attragerunt,attragerunt,They have attracted
Active Indicative,Pluperfect,1st Person,Singular,attragaveram,attragueram,attrageram,attrageram,I had attracted
Active Indicative,Pluperfect,1st Person,Plural,attragaveramus,attragueramus,attrageramus,attrageramus,We had attracted
Active Indicative,Pluperfect,2nd Person,Singular,attragaveras,attragueras,attrageras,attrageras,You had attracted
Active Indicative,Pluperfect,2nd Person,Plural,attragaveratis,attragueratis,attrageratis,attrageratis,You (pl.) had attracted
Active Indicative,Pluperfect,3rd Person,Singular,attragaverat,attraguerat,attragerat,attragerat,He/she/it had attracted
Active Indicative,Pluperfect,3rd Person,Plural,attragaverant,attraguerant,attragerant,attragerant,They had attracted
Active Indicative,Future Perfect,1st Person,Singular,attragavero,attragueero,attragero,attragiero,I will have attracted
Active Indicative,Future Perfect,1st Person,Plural,attragaverimus,attraguerimus,attragerimus,attragierimus,We will have attracted
Active Indicative,Future Perfect,2nd Person,Singular,attragaveris,attragueris,attrageris,attragieris,You will have attracted
Active Indicative,Future Perfect,2nd Person,Plural,attragaveritis,attragueritis,attrageritis,attragieritis,You (pl.) will have attracted
Active Indicative,Future Perfect,3rd Person,Singular,attragaverit,attraguerit,attragerit,attragierit,He/she/it will have attracted
Active Indicative,Future Perfect,3rd Person,Plural,attragaverint,attraguerint,attragerint,attragierint,They will have attracted
Passive Indicative,Present,1st Person,Singular,attragor,attrageor,attragor,attragior,I am being attracted
Passive Indicative,Present,1st Person,Plural,attragamur,attragemur,attragimur,attragimur,We are being attracted
Passive Indicative,Present,2nd Person,Singular,attragaris,attrageris,attragiris,attragiris,You are being attracted
Passive Indicative,Present,2nd Person,Plural,attragamini,attragemini,attragimini,attragimini,You (pl.) are being attracted
Passive Indicative,Present,3rd Person,Singular,attragatur,attragetur,attragitur,attragitur,He/she/it is being attracted
Passive Indicative,Present,3rd Person,Plural,attragantur,attragentur,attragiuntur,attragiuntur,They are being attracted
Passive Indicative,Imperfect,1st Person,Singular,attragabar,attragebar,attragebar,attragiebar,I was attracted
Passive Indicative,Imperfect,1st Person,Plural,attragabamur,attragebamur,attragebamur,attragiebamur,We were attracted
Passive Indicative,Imperfect,2nd Person,Singular,attragabaris,attragebaris,attragebaris,attragiebaris,You were attracted
Passive Indicative,Imperfect,2nd Person,Plural,attragabamini,attragebamini,attragebamini,attragiebamini,You (pl.) were attracted
Passive Indicative,Imperfect,3rd Person,Singular,attragabatur,attragebatur,attragebatur,attragiebatur,He/she/it was attracted
Passive Indicative,Imperfect,3rd Person,Plural,attragabantur,attragebantur,attragebantur,attragiebantur,They were attracted
Passive Indicative,Future,1st Person,Singular,attragabor,attragebor,attragar,attragiar,I will be attracted
Passive Indicative,Future,1st Person,Plural,attragabimur,attragebimur,attragemur,attragiemur,We will be attracted
Passive Indicative,Future,2nd Person,Singular,attragaberis,attrageberis,attrageris,attragieris,You will be attracted
Passive Indicative,Future,2nd Person,Plural,attragabimini,attragebimini,attragemini,attragiemini,You (pl.) will be attracted
Passive Indicative,Future,3rd Person,Singular,attragabitur,attragebitur,attragetur,attragietur,He/she/it will be attracted
Passive Indicative,Future,3rd Person,Plural,attragabuntur,attragebuntur,attragentur,attragientur,They will be attracted
Passive Indicative,Perfect,1st Person,Singular,attragatus sum,attragetus sum,attragus sum,attragus sum,I have been attracted
Passive Indicative,Perfect,1st Person,Plural,attragati sumus,attrageti sumus,attragi sumus,attragi sumus,We have been attracted
Passive Indicative,Perfect,2nd Person,Singular,attragatus es,attragetus es,attragus es,attragus es,You have been attracted
Passive Indicative,Perfect,2nd Person,Plural,attragati estis,attrageti estis,attragi estis,attragi estis,You (pl.) have been attracted
Passive Indicative,Perfect,3rd Person,Singular,attragatus est,attragetus est,attragus est,attragus est,He/she/it has been attracted
Passive Indicative,Perfect,3rd Person,Plural,attragati sunt,attrageti sunt,attragi sunt,attragi sunt,They have been attracted
Passive Indicative,Pluperfect,1st Person,Singular,attragatus eram,attragetus eram,attragus eram,attragus eram,I had been attracted
Passive Indicative,Pluperfect,1st Person,Plural,attragati eramus,attrageti eramus,attragi eramus,attragi eramus,We had been attracted
Passive Indicative,Pluperfect,2nd Person,Singular,attragatus eras,attragetus eras,attragus eras,attragus eras,You had been attracted
Passive Indicative,Pluperfect,2nd Person,Plural,attragati eratis,attrageti eratis,attragi eratis,attragi eratis,You (pl.) had been attracted
Passive Indicative,Pluperfect,3rd Person,Singular,attragatus erat,attragetus erat,attragus erat,attragus erat,He/she/it had been attracted
Passive Indicative,Pluperfect,3rd Person,Plural,attragati erant,attrageti erant,attragi erant,attragi erant,They had been attracted
Passive Indicative,Future Perfect,1st Person,Singular,attragatus ero,attragetus ero,attragus ero,attragus ero,I will have been attracted
Passive Indicative,Future Perfect,1st Person,Plural,attragati erimus,attrageti erimus,attragi erimus,attragi erimus,We will have been attracted
Passive Indicative,Future Perfect,2nd Person,Singular,attragatus eris,attragetus eris,attragus eris,attragus eris,You will have been attracted
Passive Indicative,Future Perfect,2nd Person,Plural,attragati eritis,attrageti eritis,attragi eritis,attragi eritis,You (pl.) will have been attracted
Passive Indicative,Future Perfect,3rd Person,Singular,attragatus erit,attragetus erit,attragus erit,attragus erit,He/she/it will have been attracted
Passive Indicative,Future Perfect,3rd Person,Plural,attragati erunt,attrageti erunt,attragi erunt,attragi erunt,They will have been attracted
Active Subjunctive,Present,1st Person,Singular,attragem,attragem,attragam,attragam,I may attract
Active Subjunctive,Present,1st Person,Plural,attragemus,attragemus,attragamus,attragamus,We may attract
Active Subjunctive,Present,2nd Person,Singular,attrages,attrages,attragas,attragas,You may attract
Active Subjunctive,Present,2nd Person,Plural,attragetis,attragetis,attragatis,attragatis,You (pl.) may attract
Active Subjunctive,Present,3rd Person,Singular,attraget,attraget,attragat,attragat,He/she/it may attract
Active Subjunctive,Present,3rd Person,Plural,attragent,attragent,attragant,attragant,They may attract
Active Subjunctive,Imperfect,1st Person,Singular,attragarem,attragerem,attragerem,attragirem,I should attract
Active Subjunctive,Imperfect,1st Person,Plural,attragaremus,attrageremus,attrageremus,attragiremus,We should attract
Active Subjunctive,Imperfect,2nd Person,Singular,attragares,attrageres,attrageres,attragires,You should attract
Active Subjunctive,Imperfect,2nd Person,Plural,attragaretis,attrageretis,attrageretis,attragiretis,You (pl.) should attract
Active Subjunctive,Imperfect,3rd Person,Singular,attragaret,attrageret,attrageret,attragiret,He/she/it should attract
Active Subjunctive,Imperfect,3rd Person,Plural,attragarent,attragerent,attragerent,attragirent,They should attract
Active Subjunctive,Perfect,1st Person,Singular,attragerim,attraguerim,attragerim,attragierim,I may have attracted
Active Subjunctive,Perfect,1st Person,Plural,attragerimus,attraguerimus,attragerimus,attragierimus,We may have attracted
Active Subjunctive,Perfect,2nd Person,Singular,attrageris,attragueris,attrageris,attragieris,You may have attracted
Active Subjunctive,Perfect,2nd Person,Plural,attrageritis,attragueritis,attrageritis,attragieritis,You (pl.) may have attracted
Active Subjunctive,Perfect,3rd Person,Singular,attragerit,attraguerit,attragerit,attragierit,He/she/it may have attracted
Active Subjunctive,Perfect,3rd Person,Plural,attragerint,attraguerint,attragerint,attragierint,They may have attracted
Active Subjunctive,Pluperfect,1st Person,Singular,attragissem,attraguissem,attragissem,attragissem,I should have attracted
Active Subjunctive,Pluperfect,1st Person,Plural,attragissemus,attraguissemus,attragissemus,attragissemus,We should have attracted
Active Subjunctive,Pluperfect,2nd Person,Singular,attragisses,attraguisses,attragisses,attragisses,You would have attracted
Active Subjunctive,Pluperfect,2nd Person,Plural,attragissetis,attraguissetis,attragissetis,attragissetis,You (pl.) would have attracted
Active Subjunctive,Pluperfect,3rd Person,Singular,attragisset,attraguisset,attragisset,attragisset,He/she/it would have attracted
Active Subjunctive,Pluperfect,3rd Person,Plural,attragissent,attraguissent,attragissent,attragissent,They would have attracted
Passive Subjunctive,Present,1st Person,Singular,attrager,attrager,attragar,attragar,I may be attracted
Passive Subjunctive,Present,1st Person,Plural,attragemur,attragemur,attragamur,attragamur,We may be attracted
Passive Subjunctive,Present,2nd Person,Singular,attrageris,attrageris,attragaris,attragaris,You may be attracted
Passive Subjunctive,Present,2nd Person,Plural,attragemini,attragemini,attragamini,attragamini,You (pl.) may be attracted
Passive Subjunctive,Present,3rd Person,Singular,attragetur,attragetur,attragatur,attragatur,He/she/it may be attracted
Passive Subjunctive,Present,3rd Person,Plural,attragentur,attragentur,attragantur,attragantur,They may be attracted
Passive Subjunctive,Imperfect,1st Person,Singular,attragarer,attragerer,attragerer,attragirer,I should be attracted
Passive Subjunctive,Imperfect,1st Person,Plural,attragaremur,attrageremur,attrageremur,attragiremur,We should be attracted
Passive Subjunctive,Imperfect,2nd Person,Singular,attragareris,attragereris,attragereris,attragireris,You would be attracted
Passive Subjunctive,Imperfect,2nd Person,Plural,attragaremini,attrageremini,attrageremini,attragiremini,You (pl.) would be attracted
Passive Subjunctive,Imperfect,3rd Person,Singular,attragaretur,attrageretur,attrageretur,attragiretur,He/she/it would be attracted
Passive Subjunctive,Imperfect,3rd Person,Plural,attragarentur,attragerentur,attragerentur,attragirentur,They would be attracted
Passive Subjunctive,Perfect,1st Person,Singular,attragatus sim,attragetus sim,attragus sim,attragus sim,I may have been attracted
Passive Subjunctive,Perfect,1st Person,Plural,attragati simus,attrageti simus,attragi simus,attragi simus,We may have been attracted
Passive Subjunctive,Perfect,2nd Person,Singular,attragatus sis,attragetus sis,attragus sis,attragus sis,You may have been attracted
Passive Subjunctive,Perfect,2nd Person,Plural,attragati sitis,attrageti sitis,attragi sitis,attragi sitis,You (pl.) may have been attracted
Passive Subjunctive,Perfect,3rd Person,Singular,attragatus sit,attragetus sit,attragus sit,attragus sit,He/she/it may have been attracted
Passive Subjunctive,Perfect,3rd Person,Plural,attragati sint,attrageti sint,attragi sint,attragi sint,They may have been attracted
Passive Subjunctive,Pluperfect,1st Person,Singular,attragatus essem,attragetus essem,attragus essem,attragus essem,I should have been attracted
Passive Subjunctive,Pluperfect,1st Person,Plural,attragati essemus,attrageti essemus,attragi essemus,attragi essemus,We should have been attracted
Passive Subjunctive,Pluperfect,2nd Person,Singular,attragatus esses,attragetus esses,attragus esses,attragus esses,You would have been attracted
Passive Subjunctive,Pluperfect,2nd Person,Plural,attragati essetis,attrageti essetis,attragi essetis,attragi essetis,You (pl.) would have been attracted
Passive Subjunctive,Pluperfect,3rd Person,Singular,attragatus esset,attragetus esset,attragus esset,attragus esset,He/she/it would have been attracted
Passive Subjunctive,Pluperfect,3rd Person,Plural,attragati essent,attrageti essent,attragi essent,attragi essent,They would have been attracted
