Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,aurizo,aurizeo,aurizo,aurizio,I air
Active Indicative,Present,1st Person,Plural,aurizamus,aurizemus,aurizimus,aurizimus,We air
Active Indicative,Present,2nd Person,Singular,aurizas,aurizes,aurizis,aurizis,You air
Active Indicative,Present,2nd Person,Plural,aurizatis,aurizetis,aurizitis,aurizitis,You (pl.) air
Active Indicative,Present,3rd Person,Singular,aurizat,aurizet,aurizit,aurizit,He/she/it air
Active Indicative,Present,3rd Person,Plural,aurizant,aurizent,auriziunt,auriziunt,They air
Active Indicative,Imperfect,1st Person,Singular,aurizabam,aurizebam,aurizebam,auriziebam,I was airing
Active Indicative,Imperfect,1st Person,Plural,aurizabamus,aurizebamus,aurizebamus,auriziebamus,We were airing
Active Indicative,Imperfect,2nd Person,Singular,aurizabas,aurizebas,aurizebas,auriziebas,You were airing
Active Indicative,Imperfect,2nd Person,Plural,aurizabatis,aurizebatis,aurizebatis,auriziebatis,You (pl.) were airing
Active Indicative,Imperfect,3rd Person,Singular,aurizabat,aurizebat,aurizebat,auriziebat,He/she/it was airing
Active Indicative,Imperfect,3rd Person,Plural,aurizabant,aurizebant,aurizebant,auriziebant,They were airing
Active Indicative,Future,1st Person,Singular,aurizabo,aurizebo,aurizam,auriziam,I will air
Active Indicative,Future,1st Person,Plural,aurizabimus,aurizebimus,aurizemus,auriziemus,We will air
Active Indicative,Future,2nd Person,Singular,aurizabis,aurizebis,aurizes,aurizies,You will air
Active Indicative,Future,2nd Person,Plural,aurizabitis,aurizebitis,aurizetis,aurizietis,You (pl.) will air
Active Indicative,Future,3rd Person,Singular,aurizabit,aurizebit,aurizet,auriziet,He/she/it will air
Active Indicative,Future,3rd Person,Plural,aurizabunt,aurizebunt,aurizent,aurizient,They will air
Active Indicative,Perfect,1st Person,Singular,aurizavi,aurizui,aurizi,aurizi,I have aired
Active Indicative,Perfect,1st Person,Plural,aurizavimus,aurizuimus,aurizimus,aurizimus,We have aired
Active Indicative,Perfect,2nd Person,Singular,aurizavisti,aurizuisti,aurizisti,aurizisti,You have aired
