Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,aurora oriro,aurora orireo,aurora oriro,aurora oririo,I dawn
Active Indicative,Present,1st Person,Plural,aurora oriramus,aurora oriremus,aurora oririmus,aurora oririmus,We dawn
Active Indicative,Present,2nd Person,Singular,aurora oriras,aurora orires,aurora oriris,aurora oriris,You dawn
Active Indicative,Present,2nd Person,Plural,aurora oriratis,aurora oriretis,aurora oriritis,aurora oriritis,You (pl.) dawn
Active Indicative,Present,3rd Person,Singular,aurora orirat,aurora oriret,aurora oririt,aurora oririt,He/she/it dawn
Active Indicative,Present,3rd Person,Plural,aurora orirant,aurora orirent,aurora oririunt,aurora oririunt,They dawn
Active Indicative,Imperfect,1st Person,Singular,aurora orirabam,aurora orirebam,aurora orirebam,aurora oririebam,I was dawning
Active Indicative,Imperfect,1st Person,Plural,aurora orirabamus,aurora orirebamus,aurora orirebamus,aurora oririebamus,We were dawning
Active Indicative,Imperfect,2nd Person,Singular,aurora orirabas,aurora orirebas,aurora orirebas,aurora oririebas,You were dawning
Active Indicative,Imperfect,2nd Person,Plural,aurora orirabatis,aurora orirebatis,aurora orirebatis,aurora oririebatis,You (pl.) were dawning
Active Indicative,Imperfect,3rd Person,Singular,aurora orirabat,aurora orirebat,aurora orirebat,aurora oririebat,He/she/it was dawning
Active Indicative,Imperfect,3rd Person,Plural,aurora orirabant,aurora orirebant,aurora orirebant,aurora oririebant,They were dawning
Active Indicative,Future,1st Person,Singular,aurora orirabo,aurora orirebo,aurora oriram,aurora oririam,I will dawn
Active Indicative,Future,1st Person,Plural,aurora orirabimus,aurora orirebimus,aurora oriremus,aurora oririemus,We will dawn
Active Indicative,Future,2nd Person,Singular,aurora orirabis,aurora orirebis,aurora orires,aurora oriries,You will dawn
Active Indicative,Future,2nd Person,Plural,aurora orirabitis,aurora orirebitis,aurora oriretis,aurora oririetis,You (pl.) will dawn
Active Indicative,Future,3rd Person,Singular,aurora orirabit,aurora orirebit,aurora oriret,aurora oririet,He/she/it will dawn
Active Indicative,Future,3rd Person,Plural,aurora orirabunt,aurora orirebunt,aurora orirent,aurora oririent,They will dawn
Active Indicative,Perfect,1st Person,Singular,aurora oriravi,aurora orirui,aurora oriri,aurora oriri,I have dawned
Active Indicative,Perfect,1st Person,Plural,aurora oriravimus,aurora oriruimus,aurora oririmus,aurora oririmus,We have dawned
