Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,brevio,brevieo,brevio,brevio,I shorten
Active Indicative,Present,1st Person,Plural,breviamus,breviemus,brevimus,brevimus,We shorten
Active Indicative,Present,2nd Person,Singular,brevias,brevies,brevis,brevis,You shorten
Active Indicative,Present,2nd Person,Plural,breviatis,brevietis,brevitis,brevitis,You (pl.) shorten
Active Indicative,Present,3rd Person,Singular,breviat,breviet,brevit,brevit,He/she/it shorten
Active Indicative,Present,3rd Person,Plural,breviant,brevient,breviunt,breviunt,They shorten
Active Indicative,Imperfect,1st Person,Singular,breviabam,breviebam,breviebam,breviebam,I was shortening
Active Indicative,Imperfect,1st Person,Plural,breviabamus,breviebamus,breviebamus,breviebamus,We were shortening
Active Indicative,Imperfect,2nd Person,Singular,breviabas,breviebas,breviebas,breviebas,You were shortening
Active Indicative,Imperfect,2nd Person,Plural,breviabatis,breviebatis,breviebatis,breviebatis,You (pl.) were shortening
Active Indicative,Imperfect,3rd Person,Singular,breviabat,breviebat,breviebat,breviebat,He/she/it was shortening
Active Indicative,Imperfect,3rd Person,Plural,breviabant,breviebant,breviebant,breviebant,They were shortening
Active Indicative,Future,1st Person,Singular,breviabo,breviebo,breviam,breviam,I will shorten
Active Indicative,Future,1st Person,Plural,breviabimus,breviebimus,breviemus,breviemus,We will shorten
Active Indicative,Future,2nd Person,Singular,breviabis,breviebis,brevies,brevies,You will shorten
Active Indicative,Future,2nd Person,Plural,breviabitis,breviebitis,brevietis,brevietis,You (pl.) will shorten
Active Indicative,Future,3rd Person,Singular,breviabit,breviebit,breviet,breviet,He/she/it will shorten
Active Indicative,Future,3rd Person,Plural,breviabunt,breviebunt,brevient,brevient,They will shorten
Active Indicative,Perfect,1st Person,Singular,breviavi,breviui,brevi,brevi,I have shortened
Active Indicative,Perfect,1st Person,Plural,breviavimus,breviuimus,brevimus,brevimus,We have shortened
Active Indicative,Perfect,2nd Person,Singular,breviavisti,breviuisti,brevisti,brevisti,You have shortened
Active Indicative,Perfect,2nd Person,Plural,breviavistis,breviuistis,brevistis,brevistis,You (pl.) have shortened
Active Indicative,Perfect,3rd Person,Singular,breviavit,breviuit,brevit,brevit,He/she/it has shortened
Active Indicative,Perfect,3rd Person,Plural,breviaverunt,breviuerunt,brevierunt,brevierunt,They have shortened
Active Indicative,Pluperfect,1st Person,Singular,breviaveram,breviueram,brevieram,brevieram,I had shortened
Active Indicative,Pluperfect,1st Person,Plural,breviaveramus,breviueramus,brevieramus,brevieramus,We had shortened
Active Indicative,Pluperfect,2nd Person,Singular,breviaveras,breviueras,brevieras,brevieras,You had shortened
Active Indicative,Pluperfect,2nd Person,Plural,breviaveratis,breviueratis,brevieratis,brevieratis,You (pl.) had shortened
Active Indicative,Pluperfect,3rd Person,Singular,breviaverat,breviuerat,brevierat,brevierat,He/she/it had shortened
Active Indicative,Pluperfect,3rd Person,Plural,breviaverant,breviuerant,brevierant,brevierant,They had shortened
Active Indicative,Future Perfect,1st Person,Singular,breviavero,breviueero,breviero,breviero,I will have shortened
Active Indicative,Future Perfect,1st Person,Plural,breviaverimus,breviuerimus,brevierimus,brevierimus,We will have shortened
Active Indicative,Future Perfect,2nd Person,Singular,breviaveris,breviueris,brevieris,brevieris,You will have shortened
Active Indicative,Future Perfect,2nd Person,Plural,breviaveritis,breviueritis,brevieritis,brevieritis,You (pl.) will have shortened
Active Indicative,Future Perfect,3rd Person,Singular,breviaverit,breviuerit,brevierit,brevierit,He/she/it will have shortened
Active Indicative,Future Perfect,3rd Person,Plural,breviaverint,breviuerint,brevierint,brevierint,They will have shortened
Passive Indicative,Present,1st Person,Singular,brevior,brevieor,brevior,brevior,I am being shortened
Passive Indicative,Present,1st Person,Plural,breviamur,breviemur,brevimur,brevimur,We are being shortened
Passive Indicative,Present,2nd Person,Singular,breviaris,brevieris,breviris,breviris,You are being shortened
Passive Indicative,Present,2nd Person,Plural,breviamini,breviemini,brevimini,brevimini,You (pl.) are being shortened
Passive Indicative,Present,3rd Person,Singular,breviatur,brevietur,brevitur,brevitur,He/she/it is being shortened
Passive Indicative,Present,3rd Person,Plural,breviantur,brevientur,breviuntur,breviuntur,They are being shortened
Passive Indicative,Imperfect,1st Person,Singular,breviabar,breviebar,breviebar,breviebar,I was shortened
