Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,bullico,bulliceo,bullico,bullicio,I boil
Active Indicative,Present,1st Person,Plural,bullicamus,bullicemus,bullicimus,bullicimus,We boil
Active Indicative,Present,2nd Person,Singular,bullicas,bullices,bullicis,bullicis,You boil
Active Indicative,Present,2nd Person,Plural,bullicatis,bullicetis,bullicitis,bullicitis,You (pl.) boil
Active Indicative,Present,3rd Person,Singular,bullicat,bullicet,bullicit,bullicit,He/she/it boil
Active Indicative,Present,3rd Person,Plural,bullicant,bullicent,bulliciunt,bulliciunt,They boil
Active Indicative,Imperfect,1st Person,Singular,bullicabam,bullicebam,bullicebam,bulliciebam,I was boiling
Active Indicative,Imperfect,1st Person,Plural,bullicabamus,bullicebamus,bullicebamus,bulliciebamus,We were boiling
Active Indicative,Imperfect,2nd Person,Singular,bullicabas,bullicebas,bullicebas,bulliciebas,You were boiling
Active Indicative,Imperfect,2nd Person,Plural,bullicabatis,bullicebatis,bullicebatis,bulliciebatis,You (pl.) were boiling
Active Indicative,Imperfect,3rd Person,Singular,bullicabat,bullicebat,bullicebat,bulliciebat,He/she/it was boiling
Active Indicative,Imperfect,3rd Person,Plural,bullicabant,bullicebant,bullicebant,bulliciebant,They were boiling
Active Indicative,Future,1st Person,Singular,bullicabo,bullicebo,bullicam,bulliciam,I will boil
Active Indicative,Future,1st Person,Plural,bullicabimus,bullicebimus,bullicemus,bulliciemus,We will boil
Active Indicative,Future,2nd Person,Singular,bullicabis,bullicebis,bullices,bullicies,You will boil
Active Indicative,Future,2nd Person,Plural,bullicabitis,bullicebitis,bullicetis,bullicietis,You (pl.) will boil
Active Indicative,Future,3rd Person,Singular,bullicabit,bullicebit,bullicet,bulliciet,He/she/it will boil
Active Indicative,Future,3rd Person,Plural,bullicabunt,bullicebunt,bullicent,bullicient,They will boil
Active Indicative,Perfect,1st Person,Singular,bullicavi,bullicui,bullici,bullici,I have boiled
Active Indicative,Perfect,1st Person,Plural,bullicavimus,bullicuimus,bullicimus,bullicimus,We have boiled
