Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,calefaco,calefaceo,calefaco,calefacio,I heat
Active Indicative,Present,1st Person,Plural,calefacamus,calefacemus,calefacimus,calefacimus,We heat
Active Indicative,Present,2nd Person,Singular,calefacas,calefaces,calefacis,calefacis,You heat
Active Indicative,Present,2nd Person,Plural,calefacatis,calefacetis,calefacitis,calefacitis,You (pl.) heat
Active Indicative,Present,3rd Person,Singular,calefacat,calefacet,calefacit,calefacit,He/she/it heat
Active Indicative,Present,3rd Person,Plural,calefacant,calefacent,calefaciunt,calefaciunt,They heat
Active Indicative,Imperfect,1st Person,Singular,calefacabam,calefacebam,calefacebam,calefaciebam,I was heating
Active Indicative,Imperfect,1st Person,Plural,calefacabamus,calefacebamus,calefacebamus,calefaciebamus,We were heating
Active Indicative,Imperfect,2nd Person,Singular,calefacabas,calefacebas,calefacebas,calefaciebas,You were heating
Active Indicative,Imperfect,2nd Person,Plural,calefacabatis,calefacebatis,calefacebatis,calefaciebatis,You (pl.) were heating
Active Indicative,Imperfect,3rd Person,Singular,calefacabat,calefacebat,calefacebat,calefaciebat,He/she/it was heating
Active Indicative,Imperfect,3rd Person,Plural,calefacabant,calefacebant,calefacebant,calefaciebant,They were heating
Active Indicative,Future,1st Person,Singular,calefacabo,calefacebo,calefacam,calefaciam,I will heat
Active Indicative,Future,1st Person,Plural,calefacabimus,calefacebimus,calefacemus,calefaciemus,We will heat
Active Indicative,Future,2nd Person,Singular,calefacabis,calefacebis,calefaces,calefacies,You will heat
Active Indicative,Future,2nd Person,Plural,calefacabitis,calefacebitis,calefacetis,calefacietis,You (pl.) will heat
Active Indicative,Future,3rd Person,Singular,calefacabit,calefacebit,calefacet,calefaciet,He/she/it will heat
Active Indicative,Future,3rd Person,Plural,calefacabunt,calefacebunt,calefacent,calefacient,They will heat
Active Indicative,Perfect,1st Person,Singular,calefacavi,calefacui,calefaci,calefaci,I have heated
Active Indicative,Perfect,1st Person,Plural,calefacavimus,calefacuimus,calefacimus,calefacimus,We have heated
Active Indicative,Perfect,2nd Person,Singular,calefacavisti,calefacuisti,calefacisti,calefacisti,You have heated
Active Indicative,Perfect,2nd Person,Plural,calefacavistis,calefacuistis,calefacistis,calefacistis,You (pl.) have heated
Active Indicative,Perfect,3rd Person,Singular,calefacavit,calefacuit,calefacit,calefacit,He/she/it has heated
Active Indicative,Perfect,3rd Person,Plural,calefacaverunt,calefacuerunt,calefacerunt,calefacerunt,They have heated
Active Indicative,Pluperfect,1st Person,Singular,calefacaveram,calefacueram,calefaceram,calefaceram,I had heated
Active Indicative,Pluperfect,1st Person,Plural,calefacaveramus,calefacueramus,calefaceramus,calefaceramus,We had heated
Active Indicative,Pluperfect,2nd Person,Singular,calefacaveras,calefacueras,calefaceras,calefaceras,You had heated
Active Indicative,Pluperfect,2nd Person,Plural,calefacaveratis,calefacueratis,calefaceratis,calefaceratis,You (pl.) had heated
Active Indicative,Pluperfect,3rd Person,Singular,calefacaverat,calefacuerat,calefacerat,calefacerat,He/she/it had heated
Active Indicative,Pluperfect,3rd Person,Plural,calefacaverant,calefacuerant,calefacerant,calefacerant,They had heated
Active Indicative,Future Perfect,1st Person,Singular,calefacavero,calefacueero,calefacero,calefaciero,I will have heated
Active Indicative,Future Perfect,1st Person,Plural,calefacaverimus,calefacuerimus,calefacerimus,calefacierimus,We will have heated
Active Indicative,Future Perfect,2nd Person,Singular,calefacaveris,calefacueris,calefaceris,calefacieris,You will have heated
Active Indicative,Future Perfect,2nd Person,Plural,calefacaveritis,calefacueritis,calefaceritis,calefacieritis,You (pl.) will have heated
Active Indicative,Future Perfect,3rd Person,Singular,calefacaverit,calefacuerit,calefacerit,calefacierit,He/she/it will have heated
Active Indicative,Future Perfect,3rd Person,Plural,calefacaverint,calefacuerint,calefacerint,calefacierint,They will have heated
Passive Indicative,Present,1st Person,Singular,calefacor,calefaceor,calefacor,calefacior,I am being heated
Passive Indicative,Present,1st Person,Plural,calefacamur,calefacemur,calefacimur,calefacimur,We are being heated
Passive Indicative,Present,2nd Person,Singular,calefacaris,calefaceris,calefaciris,calefaciris,You are being heated
Passive Indicative,Present,2nd Person,Plural,calefacamini,calefacemini,calefacimini,calefacimini,You (pl.) are being heated
Passive Indicative,Present,3rd Person,Singular,calefacatur,calefacetur,calefacitur,calefacitur,He/she/it is being heated
