Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,calfo,calfeo,calfo,calfio,I heat
Active Indicative,Present,1st Person,Plural,calfamus,calfemus,calfimus,calfimus,We heat
Active Indicative,Present,2nd Person,Singular,calfas,calfes,calfis,calfis,You heat
Active Indicative,Present,2nd Person,Plural,calfatis,calfetis,calfitis,calfitis,You (pl.) heat
Active Indicative,Present,3rd Person,Singular,calfat,calfet,calfit,calfit,He/she/it heat
Active Indicative,Present,3rd Person,Plural,calfant,calfent,calfiunt,calfiunt,They heat
Active Indicative,Imperfect,1st Person,Singular,calfabam,calfebam,calfebam,calfiebam,I was heating
Active Indicative,Imperfect,1st Person,Plural,calfabamus,calfebamus,calfebamus,calfiebamus,We were heating
Active Indicative,Imperfect,2nd Person,Singular,calfabas,calfebas,calfebas,calfiebas,You were heating
Active Indicative,Imperfect,2nd Person,Plural,calfabatis,calfebatis,calfebatis,calfiebatis,You (pl.) were heating
Active Indicative,Imperfect,3rd Person,Singular,calfabat,calfebat,calfebat,calfiebat,He/she/it was heating
Active Indicative,Imperfect,3rd Person,Plural,calfabant,calfebant,calfebant,calfiebant,They were heating
Active Indicative,Future,1st Person,Singular,calfabo,calfebo,calfam,calfiam,I will heat
Active Indicative,Future,1st Person,Plural,calfabimus,calfebimus,calfemus,calfiemus,We will heat
Active Indicative,Future,2nd Person,Singular,calfabis,calfebis,calfes,calfies,You will heat
Active Indicative,Future,2nd Person,Plural,calfabitis,calfebitis,calfetis,calfietis,You (pl.) will heat
Active Indicative,Future,3rd Person,Singular,calfabit,calfebit,calfet,calfiet,He/she/it will heat
Active Indicative,Future,3rd Person,Plural,calfabunt,calfebunt,calfent,calfient,They will heat
Active Indicative,Perfect,1st Person,Singular,calfavi,calfui,calfi,calfi,I have heated
Active Indicative,Perfect,1st Person,Plural,calfavimus,calfuimus,calfimus,calfimus,We have heated
Active Indicative,Perfect,2nd Person,Singular,calfavisti,calfuisti,calfisti,calfisti,You have heated
Active Indicative,Perfect,2nd Person,Plural,calfavistis,calfuistis,calfistis,calfistis,You (pl.) have heated
Active Indicative,Perfect,3rd Person,Singular,calfavit,calfuit,calfit,calfit,He/she/it has heated
Active Indicative,Perfect,3rd Person,Plural,calfaverunt,calfuerunt,calferunt,calferunt,They have heated
Active Indicative,Pluperfect,1st Person,Singular,calfaveram,calfueram,calferam,calferam,I had heated
Active Indicative,Pluperfect,1st Person,Plural,calfaveramus,calfueramus,calferamus,calferamus,We had heated
Active Indicative,Pluperfect,2nd Person,Singular,calfaveras,calfueras,calferas,calferas,You had heated
Active Indicative,Pluperfect,2nd Person,Plural,calfaveratis,calfueratis,calferatis,calferatis,You (pl.) had heated
Active Indicative,Pluperfect,3rd Person,Singular,calfaverat,calfuerat,calferat,calferat,He/she/it had heated
Active Indicative,Pluperfect,3rd Person,Plural,calfaverant,calfuerant,calferant,calferant,They had heated
Active Indicative,Future Perfect,1st Person,Singular,calfavero,calfueero,calfero,calfiero,I will have heated
Active Indicative,Future Perfect,1st Person,Plural,calfaverimus,calfuerimus,calferimus,calfierimus,We will have heated
Active Indicative,Future Perfect,2nd Person,Singular,calfaveris,calfueris,calferis,calfieris,You will have heated
Active Indicative,Future Perfect,2nd Person,Plural,calfaveritis,calfueritis,calferitis,calfieritis,You (pl.) will have heated
Active Indicative,Future Perfect,3rd Person,Singular,calfaverit,calfuerit,calferit,calfierit,He/she/it will have heated
Active Indicative,Future Perfect,3rd Person,Plural,calfaverint,calfuerint,calferint,calfierint,They will have heated
Passive Indicative,Present,1st Person,Singular,calfor,calfeor,calfor,calfior,I am being heated
Passive Indicative,Present,1st Person,Plural,calfamur,calfemur,calfimur,calfimur,We are being heated
Passive Indicative,Present,2nd Person,Singular,calfaris,calferis,calfiris,calfiris,You are being heated
Passive Indicative,Present,2nd Person,Plural,calfamini,calfemini,calfimini,calfimini,You (pl.) are being heated
Passive Indicative,Present,3rd Person,Singular,calfatur,calfetur,calfitur,calfitur,He/she/it is being heated
Passive Indicative,Present,3rd Person,Plural,calfantur,calfentur,calfiuntur,calfiuntur,They are being heated
Passive Indicative,Imperfect,1st Person,Singular,calfabar,calfebar,calfebar,calfiebar,I was heated
Passive Indicative,Imperfect,1st Person,Plural,calfabamur,calfebamur,calfebamur,calfiebamur,We were heated
Passive Indicative,Imperfect,2nd Person,Singular,calfabaris,calfebaris,calfebaris,calfiebaris,You were heated
Passive Indicative,Imperfect,2nd Person,Plural,calfabamini,calfebamini,calfebamini,calfiebamini,You (pl.) were heated
Passive Indicative,Imperfect,3rd Person,Singular,calfabatur,calfebatur,calfebatur,calfiebatur,He/she/it was heated
Passive Indicative,Imperfect,3rd Person,Plural,calfabantur,calfebantur,calfebantur,calfiebantur,They were heated
Passive Indicative,Future,1st Person,Singular,calfabor,calfebor,calfar,calfiar,I will be heated
Passive Indicative,Future,1st Person,Plural,calfabimur,calfebimur,calfemur,calfiemur,We will be heated
Passive Indicative,Future,2nd Person,Singular,calfaberis,calfeberis,calferis,calfieris,You will be heated
Passive Indicative,Future,2nd Person,Plural,calfabimini,calfebimini,calfemini,calfiemini,You (pl.) will be heated
Passive Indicative,Future,3rd Person,Singular,calfabitur,calfebitur,calfetur,calfietur,He/she/it will be heated
Passive Indicative,Future,3rd Person,Plural,calfabuntur,calfebuntur,calfentur,calfientur,They will be heated
Passive Indicative,Perfect,1st Person,Singular,calfatus sum,calfetus sum,calfus sum,calfus sum,I have been heated
Passive Indicative,Perfect,1st Person,Plural,calfati sumus,calfeti sumus,calfi sumus,calfi sumus,We have been heated
Passive Indicative,Perfect,2nd Person,Singular,calfatus es,calfetus es,calfus es,calfus es,You have been heated
Passive Indicative,Perfect,2nd Person,Plural,calfati estis,calfeti estis,calfi estis,calfi estis,You (pl.) have been heated
Passive Indicative,Perfect,3rd Person,Singular,calfatus est,calfetus est,calfus est,calfus est,He/she/it has been heated
Passive Indicative,Perfect,3rd Person,Plural,calfati sunt,calfeti sunt,calfi sunt,calfi sunt,They have been heated
Passive Indicative,Pluperfect,1st Person,Singular,calfatus eram,calfetus eram,calfus eram,calfus eram,I had been heated
Passive Indicative,Pluperfect,1st Person,Plural,calfati eramus,calfeti eramus,calfi eramus,calfi eramus,We had been heated
Passive Indicative,Pluperfect,2nd Person,Singular,calfatus eras,calfetus eras,calfus eras,calfus eras,You had been heated
