Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,calidizo,calidizeo,calidizo,calidizio,I heat up
Active Indicative,Present,1st Person,Plural,calidizamus,calidizemus,calidizimus,calidizimus,We heat up
Active Indicative,Present,2nd Person,Singular,calidizas,calidizes,calidizis,calidizis,You heat up
Active Indicative,Present,2nd Person,Plural,calidizatis,calidizetis,calidizitis,calidizitis,You (pl.) heat up
Active Indicative,Present,3rd Person,Singular,calidizat,calidizet,calidizit,calidizit,He/she/it heat up
Active Indicative,Present,3rd Person,Plural,calidizant,calidizent,calidiziunt,calidiziunt,They heat up
Active Indicative,Imperfect,1st Person,Singular,calidizabam,calidizebam,calidizebam,calidiziebam,I was heat uping
Active Indicative,Imperfect,1st Person,Plural,calidizabamus,calidizebamus,calidizebamus,calidiziebamus,We were heat uping
Active Indicative,Imperfect,2nd Person,Singular,calidizabas,calidizebas,calidizebas,calidiziebas,You were heat uping
Active Indicative,Imperfect,2nd Person,Plural,calidizabatis,calidizebatis,calidizebatis,calidiziebatis,You (pl.) were heat uping
Active Indicative,Imperfect,3rd Person,Singular,calidizabat,calidizebat,calidizebat,calidiziebat,He/she/it was heat uping
Active Indicative,Imperfect,3rd Person,Plural,calidizabant,calidizebant,calidizebant,calidiziebant,They were heat uping
Active Indicative,Future,1st Person,Singular,calidizabo,calidizebo,calidizam,calidiziam,I will heat up
Active Indicative,Future,1st Person,Plural,calidizabimus,calidizebimus,calidizemus,calidiziemus,We will heat up
Active Indicative,Future,2nd Person,Singular,calidizabis,calidizebis,calidizes,calidizies,You will heat up
Active Indicative,Future,2nd Person,Plural,calidizabitis,calidizebitis,calidizetis,calidizietis,You (pl.) will heat up
Active Indicative,Future,3rd Person,Singular,calidizabit,calidizebit,calidizet,calidiziet,He/she/it will heat up
Active Indicative,Future,3rd Person,Plural,calidizabunt,calidizebunt,calidizent,calidizient,They will heat up
