Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,capo,capeo,capo,capio,I take
Active Indicative,Present,1st Person,Plural,capamus,capemus,capimus,capimus,We take
Active Indicative,Present,2nd Person,Singular,capas,capes,capis,capis,You take
Active Indicative,Present,2nd Person,Plural,capatis,capetis,capitis,capitis,You (pl.) take
Active Indicative,Present,3rd Person,Singular,capat,capet,capit,capit,He/she/it take
Active Indicative,Present,3rd Person,Plural,capant,capent,capiunt,capiunt,They take
Active Indicative,Imperfect,1st Person,Singular,capabam,capebam,capebam,capiebam,I was takeing
Active Indicative,Imperfect,1st Person,Plural,capabamus,capebamus,capebamus,capiebamus,We were takeing
Active Indicative,Imperfect,2nd Person,Singular,capabas,capebas,capebas,capiebas,You were takeing
Active Indicative,Imperfect,2nd Person,Plural,capabatis,capebatis,capebatis,capiebatis,You (pl.) were takeing
Active Indicative,Imperfect,3rd Person,Singular,capabat,capebat,capebat,capiebat,He/she/it was takeing
Active Indicative,Imperfect,3rd Person,Plural,capabant,capebant,capebant,capiebant,They were takeing
Active Indicative,Future,1st Person,Singular,capabo,capebo,capam,capiam,I will take
Active Indicative,Future,1st Person,Plural,capabimus,capebimus,capemus,capiemus,We will take
Active Indicative,Future,2nd Person,Singular,capabis,capebis,capes,capies,You will take
Active Indicative,Future,2nd Person,Plural,capabitis,capebitis,capetis,capietis,You (pl.) will take
Active Indicative,Future,3rd Person,Singular,capabit,capebit,capet,capiet,He/she/it will take
Active Indicative,Future,3rd Person,Plural,capabunt,capebunt,capent,capient,They will take
Active Indicative,Perfect,1st Person,Singular,capavi,capui,capi,capi,I have takeed
Active Indicative,Perfect,1st Person,Plural,capavimus,capuimus,capimus,capimus,We have takeed
Active Indicative,Perfect,2nd Person,Singular,capavisti,capuisti,capisti,capisti,You have takeed
Active Indicative,Perfect,2nd Person,Plural,capavistis,capuistis,capistis,capistis,You (pl.) have takeed
Active Indicative,Perfect,3rd Person,Singular,capavit,capuit,capit,capit,He/she/it has takeed
Active Indicative,Perfect,3rd Person,Plural,capaverunt,capuerunt,caperunt,caperunt,They have takeed
Active Indicative,Pluperfect,1st Person,Singular,capaveram,capueram,caperam,caperam,I had takeed
Active Indicative,Pluperfect,1st Person,Plural,capaveramus,capueramus,caperamus,caperamus,We had takeed
Active Indicative,Pluperfect,2nd Person,Singular,capaveras,capueras,caperas,caperas,You had takeed
Active Indicative,Pluperfect,2nd Person,Plural,capaveratis,capueratis,caperatis,caperatis,You (pl.) had takeed
Active Indicative,Pluperfect,3rd Person,Singular,capaverat,capuerat,caperat,caperat,He/she/it had takeed
Active Indicative,Pluperfect,3rd Person,Plural,capaverant,capuerant,caperant,caperant,They had takeed
Active Indicative,Future Perfect,1st Person,Singular,capavero,capueero,capero,capiero,I will have takeed
Active Indicative,Future Perfect,1st Person,Plural,capaverimus,capuerimus,caperimus,capierimus,We will have takeed
Active Indicative,Future Perfect,2nd Person,Singular,capaveris,capueris,caperis,capieris,You will have takeed
Active Indicative,Future Perfect,2nd Person,Plural,capaveritis,capueritis,caperitis,capieritis,You (pl.) will have takeed
Active Indicative,Future Perfect,3rd Person,Singular,capaverit,capuerit,caperit,capierit,He/she/it will have takeed
Active Indicative,Future Perfect,3rd Person,Plural,capaverint,capuerint,caperint,capierint,They will have takeed
Passive Indicative,Present,1st Person,Singular,capor,capeor,capor,capior,I am being takeed
Passive Indicative,Present,1st Person,Plural,capamur,capemur,capimur,capimur,We are being takeed
Passive Indicative,Present,2nd Person,Singular,caparis,caperis,capiris,capiris,You are being takeed
Passive Indicative,Present,2nd Person,Plural,capamini,capemini,capimini,capimini,You (pl.) are being takeed
Passive Indicative,Present,3rd Person,Singular,capatur,capetur,capitur,capitur,He/she/it is being takeed
Passive Indicative,Present,3rd Person,Plural,capantur,capentur,capiuntur,capiuntur,They are being takeed
Passive Indicative,Imperfect,1st Person,Singular,capabar,capebar,capebar,capiebar,I was takeed
Passive Indicative,Imperfect,1st Person,Plural,capabamur,capebamur,capebamur,capiebamur,We were takeed
Passive Indicative,Imperfect,2nd Person,Singular,capabaris,capebaris,capebaris,capiebaris,You were takeed
Passive Indicative,Imperfect,2nd Person,Plural,capabamini,capebamini,capebamini,capiebamini,You (pl.) were takeed
Passive Indicative,Imperfect,3rd Person,Singular,capabatur,capebatur,capebatur,capiebatur,He/she/it was takeed
Passive Indicative,Imperfect,3rd Person,Plural,capabantur,capebantur,capebantur,capiebantur,They were takeed
Passive Indicative,Future,1st Person,Singular,capabor,capebor,capar,capiar,I will be takeed
Passive Indicative,Future,1st Person,Plural,capabimur,capebimur,capemur,capiemur,We will be takeed
Passive Indicative,Future,2nd Person,Singular,capaberis,capeberis,caperis,capieris,You will be takeed
Passive Indicative,Future,2nd Person,Plural,capabimini,capebimini,capemini,capiemini,You (pl.) will be takeed
Passive Indicative,Future,3rd Person,Singular,capabitur,capebitur,capetur,capietur,He/she/it will be takeed
Passive Indicative,Future,3rd Person,Plural,capabuntur,capebuntur,capentur,capientur,They will be takeed
Passive Indicative,Perfect,1st Person,Singular,capatus sum,capetus sum,capus sum,capus sum,I have been takeed
Passive Indicative,Perfect,1st Person,Plural,capati sumus,capeti sumus,capi sumus,capi sumus,We have been takeed
Passive Indicative,Perfect,2nd Person,Singular,capatus es,capetus es,capus es,capus es,You have been takeed
Passive Indicative,Perfect,2nd Person,Plural,capati estis,capeti estis,capi estis,capi estis,You (pl.) have been takeed
Passive Indicative,Perfect,3rd Person,Singular,capatus est,capetus est,capus est,capus est,He/she/it has been takeed
Passive Indicative,Perfect,3rd Person,Plural,capati sunt,capeti sunt,capi sunt,capi sunt,They have been takeed
Passive Indicative,Pluperfect,1st Person,Singular,capatus eram,capetus eram,capus eram,capus eram,I had been takeed
Passive Indicative,Pluperfect,1st Person,Plural,capati eramus,capeti eramus,capi eramus,capi eramus,We had been takeed
Passive Indicative,Pluperfect,2nd Person,Singular,capatus eras,capetus eras,capus eras,capus eras,You had been takeed
Passive Indicative,Pluperfect,2nd Person,Plural,capati eratis,capeti eratis,capi eratis,capi eratis,You (pl.) had been takeed
Passive Indicative,Pluperfect,3rd Person,Singular,capatus erat,capetus erat,capus erat,capus erat,He/she/it had been takeed
Passive Indicative,Pluperfect,3rd Person,Plural,capati erant,capeti erant,capi erant,capi erant,They had been takeed
Passive Indicative,Future Perfect,1st Person,Singular,capatus ero,capetus ero,capus ero,capus ero,I will have been takeed
Passive Indicative,Future Perfect,1st Person,Plural,capati erimus,capeti erimus,capi erimus,capi erimus,We will have been takeed
Passive Indicative,Future Perfect,2nd Person,Singular,capatus eris,capetus eris,capus eris,capus eris,You will have been takeed
Passive Indicative,Future Perfect,2nd Person,Plural,capati eritis,capeti eritis,capi eritis,capi eritis,You (pl.) will have been takeed
Passive Indicative,Future Perfect,3rd Person,Singular,capatus erit,capetus erit,capus erit,capus erit,He/she/it will have been takeed
Passive Indicative,Future Perfect,3rd Person,Plural,capati erunt,capeti erunt,capi erunt,capi erunt,They will have been takeed
Active Subjunctive,Present,1st Person,Singular,capem,capem,capam,capam,I may take
Active Subjunctive,Present,1st Person,Plural,capemus,capemus,capamus,capamus,We may take
Active Subjunctive,Present,2nd Person,Singular,capes,capes,capas,capas,You may take
Active Subjunctive,Present,2nd Person,Plural,capetis,capetis,capatis,capatis,You (pl.) may take
Active Subjunctive,Present,3rd Person,Singular,capet,capet,capat,capat,He/she/it may take
Active Subjunctive,Present,3rd Person,Plural,capent,capent,capant,capant,They may take
Active Subjunctive,Imperfect,1st Person,Singular,caparem,caperem,caperem,capirem,I should take
Active Subjunctive,Imperfect,1st Person,Plural,caparemus,caperemus,caperemus,capiremus,We should take
Active Subjunctive,Imperfect,2nd Person,Singular,capares,caperes,caperes,capires,You should take
Active Subjunctive,Imperfect,2nd Person,Plural,caparetis,caperetis,caperetis,capiretis,You (pl.) should take
Active Subjunctive,Imperfect,3rd Person,Singular,caparet,caperet,caperet,capiret,He/she/it should take
Active Subjunctive,Imperfect,3rd Person,Plural,caparent,caperent,caperent,capirent,They should take
