Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,capito,capiteo,capito,capitio,I arrive at
Active Indicative,Present,1st Person,Plural,capitamus,capitemus,capitimus,capitimus,We arrive at
Active Indicative,Present,2nd Person,Singular,capitas,capites,capitis,capitis,You arrive at
Active Indicative,Present,2nd Person,Plural,capitatis,capitetis,capititis,capititis,You (pl.) arrive at
Active Indicative,Present,3rd Person,Singular,capitat,capitet,capitit,capitit,He/she/it arrive at
Active Indicative,Present,3rd Person,Plural,capitant,capitent,capitiunt,capitiunt,They arrive at
Active Indicative,Imperfect,1st Person,Singular,capitabam,capitebam,capitebam,capitiebam,I was arrive ating
Active Indicative,Imperfect,1st Person,Plural,capitabamus,capitebamus,capitebamus,capitiebamus,We were arrive ating
Active Indicative,Imperfect,2nd Person,Singular,capitabas,capitebas,capitebas,capitiebas,You were arrive ating
Active Indicative,Imperfect,2nd Person,Plural,capitabatis,capitebatis,capitebatis,capitiebatis,You (pl.) were arrive ating
Active Indicative,Imperfect,3rd Person,Singular,capitabat,capitebat,capitebat,capitiebat,He/she/it was arrive ating
Active Indicative,Imperfect,3rd Person,Plural,capitabant,capitebant,capitebant,capitiebant,They were arrive ating
Active Indicative,Future,1st Person,Singular,capitabo,capitebo,capitam,capitiam,I will arrive at
Active Indicative,Future,1st Person,Plural,capitabimus,capitebimus,capitemus,capitiemus,We will arrive at
Active Indicative,Future,2nd Person,Singular,capitabis,capitebis,capites,capities,You will arrive at
Active Indicative,Future,2nd Person,Plural,capitabitis,capitebitis,capitetis,capitietis,You (pl.) will arrive at
Active Indicative,Future,3rd Person,Singular,capitabit,capitebit,capitet,capitiet,He/she/it will arrive at
Active Indicative,Future,3rd Person,Plural,capitabunt,capitebunt,capitent,capitient,They will arrive at
Active Indicative,Perfect,1st Person,Singular,capitavi,capitui,capiti,capiti,I have arrive ated
Active Indicative,Perfect,1st Person,Plural,capitavimus,capituimus,capitimus,capitimus,We have arrive ated
Active Indicative,Perfect,2nd Person,Singular,capitavisti,capituisti,capitisti,capitisti,You have arrive ated
Active Indicative,Perfect,2nd Person,Plural,capitavistis,capituistis,capitistis,capitistis,You (pl.) have arrive ated
Active Indicative,Perfect,3rd Person,Singular,capitavit,capituit,capitit,capitit,He/she/it has arrive ated
Active Indicative,Perfect,3rd Person,Plural,capitaverunt,capituerunt,capiterunt,capiterunt,They have arrive ated
Active Indicative,Pluperfect,1st Person,Singular,capitaveram,capitueram,capiteram,capiteram,I had arrive ated
Active Indicative,Pluperfect,1st Person,Plural,capitaveramus,capitueramus,capiteramus,capiteramus,We had arrive ated
Active Indicative,Pluperfect,2nd Person,Singular,capitaveras,capitueras,capiteras,capiteras,You had arrive ated
Active Indicative,Pluperfect,2nd Person,Plural,capitaveratis,capitueratis,capiteratis,capiteratis,You (pl.) had arrive ated
Active Indicative,Pluperfect,3rd Person,Singular,capitaverat,capituerat,capiterat,capiterat,He/she/it had arrive ated
Active Indicative,Pluperfect,3rd Person,Plural,capitaverant,capituerant,capiterant,capiterant,They had arrive ated
Active Indicative,Future Perfect,1st Person,Singular,capitavero,capitueero,capitero,capitiero,I will have arrive ated
Active Indicative,Future Perfect,1st Person,Plural,capitaverimus,capituerimus,capiterimus,capitierimus,We will have arrive ated
Active Indicative,Future Perfect,2nd Person,Singular,capitaveris,capitueris,capiteris,capitieris,You will have arrive ated
Active Indicative,Future Perfect,2nd Person,Plural,capitaveritis,capitueritis,capiteritis,capitieritis,You (pl.) will have arrive ated
Active Indicative,Future Perfect,3rd Person,Singular,capitaverit,capituerit,capiterit,capitierit,He/she/it will have arrive ated
Active Indicative,Future Perfect,3rd Person,Plural,capitaverint,capituerint,capiterint,capitierint,They will have arrive ated
Passive Indicative,Present,1st Person,Singular,capitor,capiteor,capitor,capitior,I am being arrive ated
Passive Indicative,Present,1st Person,Plural,capitamur,capitemur,capitimur,capitimur,We are being arrive ated
Passive Indicative,Present,2nd Person,Singular,capitaris,capiteris,capitiris,capitiris,You are being arrive ated
Passive Indicative,Present,2nd Person,Plural,capitamini,capitemini,capitimini,capitimini,You (pl.) are being arrive ated
Passive Indicative,Present,3rd Person,Singular,capitatur,capitetur,capititur,capititur,He/she/it is being arrive ated
Passive Indicative,Present,3rd Person,Plural,capitantur,capitentur,capitiuntur,capitiuntur,They are being arrive ated
Passive Indicative,Imperfect,1st Person,Singular,capitabar,capitebar,capitebar,capitiebar,I was arrive ated
Passive Indicative,Imperfect,1st Person,Plural,capitabamur,capitebamur,capitebamur,capitiebamur,We were arrive ated
Passive Indicative,Imperfect,2nd Person,Singular,capitabaris,capitebaris,capitebaris,capitiebaris,You were arrive ated
Passive Indicative,Imperfect,2nd Person,Plural,capitabamini,capitebamini,capitebamini,capitiebamini,You (pl.) were arrive ated
Passive Indicative,Imperfect,3rd Person,Singular,capitabatur,capitebatur,capitebatur,capitiebatur,He/she/it was arrive ated
Passive Indicative,Imperfect,3rd Person,Plural,capitabantur,capitebantur,capitebantur,capitiebantur,They were arrive ated
Passive Indicative,Future,1st Person,Singular,capitabor,capitebor,capitar,capitiar,I will be arrive ated
Passive Indicative,Future,1st Person,Plural,capitabimur,capitebimur,capitemur,capitiemur,We will be arrive ated
Passive Indicative,Future,2nd Person,Singular,capitaberis,capiteberis,capiteris,capitieris,You will be arrive ated
Passive Indicative,Future,2nd Person,Plural,capitabimini,capitebimini,capitemini,capitiemini,You (pl.) will be arrive ated
Passive Indicative,Future,3rd Person,Singular,capitabitur,capitebitur,capitetur,capitietur,He/she/it will be arrive ated
Passive Indicative,Future,3rd Person,Plural,capitabuntur,capitebuntur,capitentur,capitientur,They will be arrive ated
Passive Indicative,Perfect,1st Person,Singular,capitatus sum,capitetus sum,capitus sum,capitus sum,I have been arrive ated
Passive Indicative,Perfect,1st Person,Plural,capitati sumus,capiteti sumus,capiti sumus,capiti sumus,We have been arrive ated
