Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,caro,careo,caro,cario,I lack
Active Indicative,Present,1st Person,Plural,caramus,caremus,carimus,carimus,We lack
Active Indicative,Present,2nd Person,Singular,caras,cares,caris,caris,You lack
Active Indicative,Present,2nd Person,Plural,caratis,caretis,caritis,caritis,You (pl.) lack
Active Indicative,Present,3rd Person,Singular,carat,caret,carit,carit,He/she/it lack
Active Indicative,Present,3rd Person,Plural,carant,carent,cariunt,cariunt,They lack
Active Indicative,Imperfect,1st Person,Singular,carabam,carebam,carebam,cariebam,I was lacking
Active Indicative,Imperfect,1st Person,Plural,carabamus,carebamus,carebamus,cariebamus,We were lacking
Active Indicative,Imperfect,2nd Person,Singular,carabas,carebas,carebas,cariebas,You were lacking
Active Indicative,Imperfect,2nd Person,Plural,carabatis,carebatis,carebatis,cariebatis,You (pl.) were lacking
Active Indicative,Imperfect,3rd Person,Singular,carabat,carebat,carebat,cariebat,He/she/it was lacking
Active Indicative,Imperfect,3rd Person,Plural,carabant,carebant,carebant,cariebant,They were lacking
Active Indicative,Future,1st Person,Singular,carabo,carebo,caram,cariam,I will lack
Active Indicative,Future,1st Person,Plural,carabimus,carebimus,caremus,cariemus,We will lack
Active Indicative,Future,2nd Person,Singular,carabis,carebis,cares,caries,You will lack
Active Indicative,Future,2nd Person,Plural,carabitis,carebitis,caretis,carietis,You (pl.) will lack
Active Indicative,Future,3rd Person,Singular,carabit,carebit,caret,cariet,He/she/it will lack
Active Indicative,Future,3rd Person,Plural,carabunt,carebunt,carent,carient,They will lack
Active Indicative,Perfect,1st Person,Singular,caravi,carui,cari,cari,I have lacked
Active Indicative,Perfect,1st Person,Plural,caravimus,caruimus,carimus,carimus,We have lacked
Active Indicative,Perfect,2nd Person,Singular,caravisti,caruisti,caristi,caristi,You have lacked
Active Indicative,Perfect,2nd Person,Plural,caravistis,caruistis,caristis,caristis,You (pl.) have lacked
Active Indicative,Perfect,3rd Person,Singular,caravit,caruit,carit,carit,He/she/it has lacked
Active Indicative,Perfect,3rd Person,Plural,caraverunt,caruerunt,carerunt,carerunt,They have lacked
