Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,casico,casiceo,casico,casicio,I fall
Active Indicative,Present,1st Person,Plural,casicamus,casicemus,casicimus,casicimus,We fall
Active Indicative,Present,2nd Person,Singular,casicas,casices,casicis,casicis,You fall
Active Indicative,Present,2nd Person,Plural,casicatis,casicetis,casicitis,casicitis,You (pl.) fall
Active Indicative,Present,3rd Person,Singular,casicat,casicet,casicit,casicit,He/she/it fall
Active Indicative,Present,3rd Person,Plural,casicant,casicent,casiciunt,casiciunt,They fall
Active Indicative,Imperfect,1st Person,Singular,casicabam,casicebam,casicebam,casiciebam,I was falling
Active Indicative,Imperfect,1st Person,Plural,casicabamus,casicebamus,casicebamus,casiciebamus,We were falling
Active Indicative,Imperfect,2nd Person,Singular,casicabas,casicebas,casicebas,casiciebas,You were falling
Active Indicative,Imperfect,2nd Person,Plural,casicabatis,casicebatis,casicebatis,casiciebatis,You (pl.) were falling
Active Indicative,Imperfect,3rd Person,Singular,casicabat,casicebat,casicebat,casiciebat,He/she/it was falling
Active Indicative,Imperfect,3rd Person,Plural,casicabant,casicebant,casicebant,casiciebant,They were falling
Active Indicative,Future,1st Person,Singular,casicabo,casicebo,casicam,casiciam,I will fall
Active Indicative,Future,1st Person,Plural,casicabimus,casicebimus,casicemus,casiciemus,We will fall
Active Indicative,Future,2nd Person,Singular,casicabis,casicebis,casices,casicies,You will fall
Active Indicative,Future,2nd Person,Plural,casicabitis,casicebitis,casicetis,casicietis,You (pl.) will fall
Active Indicative,Future,3rd Person,Singular,casicabit,casicebit,casicet,casiciet,He/she/it will fall
Active Indicative,Future,3rd Person,Plural,casicabunt,casicebunt,casicent,casicient,They will fall
Active Indicative,Perfect,1st Person,Singular,casicavi,casicui,casici,casici,I have falled
Active Indicative,Perfect,1st Person,Plural,casicavimus,casicuimus,casicimus,casicimus,We have falled
Active Indicative,Perfect,2nd Person,Singular,casicavisti,casicuisti,casicisti,casicisti,You have falled
Active Indicative,Perfect,2nd Person,Plural,casicavistis,casicuistis,casicistis,casicistis,You (pl.) have falled
Active Indicative,Perfect,3rd Person,Singular,casicavit,casicuit,casicit,casicit,He/she/it has falled
Active Indicative,Perfect,3rd Person,Plural,casicaverunt,casicuerunt,casicerunt,casicerunt,They have falled
Active Indicative,Pluperfect,1st Person,Singular,casicaveram,casicueram,casiceram,casiceram,I had falled
Active Indicative,Pluperfect,1st Person,Plural,casicaveramus,casicueramus,casiceramus,casiceramus,We had falled
Active Indicative,Pluperfect,2nd Person,Singular,casicaveras,casicueras,casiceras,casiceras,You had falled
Active Indicative,Pluperfect,2nd Person,Plural,casicaveratis,casicueratis,casiceratis,casiceratis,You (pl.) had falled
Active Indicative,Pluperfect,3rd Person,Singular,casicaverat,casicuerat,casicerat,casicerat,He/she/it had falled
Active Indicative,Pluperfect,3rd Person,Plural,casicaverant,casicuerant,casicerant,casicerant,They had falled
Active Indicative,Future Perfect,1st Person,Singular,casicavero,casicueero,casicero,casiciero,I will have falled
Active Indicative,Future Perfect,1st Person,Plural,casicaverimus,casicuerimus,casicerimus,casicierimus,We will have falled
Active Indicative,Future Perfect,2nd Person,Singular,casicaveris,casicueris,casiceris,casicieris,You will have falled
Active Indicative,Future Perfect,2nd Person,Plural,casicaveritis,casicueritis,casiceritis,casicieritis,You (pl.) will have falled
Active Indicative,Future Perfect,3rd Person,Singular,casicaverit,casicuerit,casicerit,casicierit,He/she/it will have falled
Active Indicative,Future Perfect,3rd Person,Plural,casicaverint,casicuerint,casicerint,casicierint,They will have falled
Passive Indicative,Present,1st Person,Singular,casicor,casiceor,casicor,casicior,I am being falled
Passive Indicative,Present,1st Person,Plural,casicamur,casicemur,casicimur,casicimur,We are being falled
Passive Indicative,Present,2nd Person,Singular,casicaris,casiceris,casiciris,casiciris,You are being falled
Passive Indicative,Present,2nd Person,Plural,casicamini,casicemini,casicimini,casicimini,You (pl.) are being falled
Passive Indicative,Present,3rd Person,Singular,casicatur,casicetur,casicitur,casicitur,He/she/it is being falled
Passive Indicative,Present,3rd Person,Plural,casicantur,casicentur,casiciuntur,casiciuntur,They are being falled
Passive Indicative,Imperfect,1st Person,Singular,casicabar,casicebar,casicebar,casiciebar,I was falled
Passive Indicative,Imperfect,1st Person,Plural,casicabamur,casicebamur,casicebamur,casiciebamur,We were falled
Passive Indicative,Imperfect,2nd Person,Singular,casicabaris,casicebaris,casicebaris,casiciebaris,You were falled
Passive Indicative,Imperfect,2nd Person,Plural,casicabamini,casicebamini,casicebamini,casiciebamini,You (pl.) were falled
Passive Indicative,Imperfect,3rd Person,Singular,casicabatur,casicebatur,casicebatur,casiciebatur,He/she/it was falled
Passive Indicative,Imperfect,3rd Person,Plural,casicabantur,casicebantur,casicebantur,casiciebantur,They were falled
Passive Indicative,Future,1st Person,Singular,casicabor,casicebor,casicar,casiciar,I will be falled
Passive Indicative,Future,1st Person,Plural,casicabimur,casicebimur,casicemur,casiciemur,We will be falled
Passive Indicative,Future,2nd Person,Singular,casicaberis,casiceberis,casiceris,casicieris,You will be falled
Passive Indicative,Future,2nd Person,Plural,casicabimini,casicebimini,casicemini,casiciemini,You (pl.) will be falled
Passive Indicative,Future,3rd Person,Singular,casicabitur,casicebitur,casicetur,casicietur,He/she/it will be falled
Passive Indicative,Future,3rd Person,Plural,casicabuntur,casicebuntur,casicentur,casicientur,They will be falled
Passive Indicative,Perfect,1st Person,Singular,casicatus sum,casicetus sum,casicus sum,casicus sum,I have been falled
Passive Indicative,Perfect,1st Person,Plural,casicati sumus,casiceti sumus,casici sumus,casici sumus,We have been falled
Passive Indicative,Perfect,2nd Person,Singular,casicatus es,casicetus es,casicus es,casicus es,You have been falled
Passive Indicative,Perfect,2nd Person,Plural,casicati estis,casiceti estis,casici estis,casici estis,You (pl.) have been falled
Passive Indicative,Perfect,3rd Person,Singular,casicatus est,casicetus est,casicus est,casicus est,He/she/it has been falled
Passive Indicative,Perfect,3rd Person,Plural,casicati sunt,casiceti sunt,casici sunt,casici sunt,They have been falled
Passive Indicative,Pluperfect,1st Person,Singular,casicatus eram,casicetus eram,casicus eram,casicus eram,I had been falled
Passive Indicative,Pluperfect,1st Person,Plural,casicati eramus,casiceti eramus,casici eramus,casici eramus,We had been falled
Passive Indicative,Pluperfect,2nd Person,Singular,casicatus eras,casicetus eras,casicus eras,casicus eras,You had been falled
Passive Indicative,Pluperfect,2nd Person,Plural,casicati eratis,casiceti eratis,casici eratis,casici eratis,You (pl.) had been falled
Passive Indicative,Pluperfect,3rd Person,Singular,casicatus erat,casicetus erat,casicus erat,casicus erat,He/she/it had been falled
Passive Indicative,Pluperfect,3rd Person,Plural,casicati erant,casiceti erant,casici erant,casici erant,They had been falled
Passive Indicative,Future Perfect,1st Person,Singular,casicatus ero,casicetus ero,casicus ero,casicus ero,I will have been falled
Passive Indicative,Future Perfect,1st Person,Plural,casicati erimus,casiceti erimus,casici erimus,casici erimus,We will have been falled
Passive Indicative,Future Perfect,2nd Person,Singular,casicatus eris,casicetus eris,casicus eris,casicus eris,You will have been falled
Passive Indicative,Future Perfect,2nd Person,Plural,casicati eritis,casiceti eritis,casici eritis,casici eritis,You (pl.) will have been falled
Passive Indicative,Future Perfect,3rd Person,Singular,casicatus erit,casicetus erit,casicus erit,casicus erit,He/she/it will have been falled
Passive Indicative,Future Perfect,3rd Person,Plural,casicati erunt,casiceti erunt,casici erunt,casici erunt,They will have been falled
Active Subjunctive,Present,1st Person,Singular,casicem,casicem,casicam,casicam,I may fall
Active Subjunctive,Present,1st Person,Plural,casicemus,casicemus,casicamus,casicamus,We may fall
Active Subjunctive,Present,2nd Person,Singular,casices,casices,casicas,casicas,You may fall
Active Subjunctive,Present,2nd Person,Plural,casicetis,casicetis,casicatis,casicatis,You (pl.) may fall
Active Subjunctive,Present,3rd Person,Singular,casicet,casicet,casicat,casicat,He/she/it may fall
Active Subjunctive,Present,3rd Person,Plural,casicent,casicent,casicant,casicant,They may fall
Active Subjunctive,Imperfect,1st Person,Singular,casicarem,casicerem,casicerem,casicirem,I should fall
Active Subjunctive,Imperfect,1st Person,Plural,casicaremus,casiceremus,casiceremus,casiciremus,We should fall
Active Subjunctive,Imperfect,2nd Person,Singular,casicares,casiceres,casiceres,casicires,You should fall
Active Subjunctive,Imperfect,2nd Person,Plural,casicaretis,casiceretis,casiceretis,casiciretis,You (pl.) should fall
Active Subjunctive,Imperfect,3rd Person,Singular,casicaret,casiceret,casiceret,casiciret,He/she/it should fall
Active Subjunctive,Imperfect,3rd Person,Plural,casicarent,casicerent,casicerent,casicirent,They should fall
Active Subjunctive,Perfect,1st Person,Singular,casicerim,casicuerim,casicerim,casicierim,I may have falled
Active Subjunctive,Perfect,1st Person,Plural,casicerimus,casicuerimus,casicerimus,casicierimus,We may have falled
Active Subjunctive,Perfect,2nd Person,Singular,casiceris,casicueris,casiceris,casicieris,You may have falled
