Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,cavo,caveo,cavo,cavio,I watch out
Active Indicative,Present,1st Person,Plural,cavamus,cavemus,cavimus,cavimus,We watch out
Active Indicative,Present,2nd Person,Singular,cavas,caves,cavis,cavis,You watch out
Active Indicative,Present,2nd Person,Plural,cavatis,cavetis,cavitis,cavitis,You (pl.) watch out
Active Indicative,Present,3rd Person,Singular,cavat,cavet,cavit,cavit,He/she/it watch out
Active Indicative,Present,3rd Person,Plural,cavant,cavent,caviunt,caviunt,They watch out
Active Indicative,Imperfect,1st Person,Singular,cavabam,cavebam,cavebam,caviebam,I was watch outing
Active Indicative,Imperfect,1st Person,Plural,cavabamus,cavebamus,cavebamus,caviebamus,We were watch outing
Active Indicative,Imperfect,2nd Person,Singular,cavabas,cavebas,cavebas,caviebas,You were watch outing
Active Indicative,Imperfect,2nd Person,Plural,cavabatis,cavebatis,cavebatis,caviebatis,You (pl.) were watch outing
Active Indicative,Imperfect,3rd Person,Singular,cavabat,cavebat,cavebat,caviebat,He/she/it was watch outing
Active Indicative,Imperfect,3rd Person,Plural,cavabant,cavebant,cavebant,caviebant,They were watch outing
Active Indicative,Future,1st Person,Singular,cavabo,cavebo,cavam,caviam,I will watch out
Active Indicative,Future,1st Person,Plural,cavabimus,cavebimus,cavemus,caviemus,We will watch out
Active Indicative,Future,2nd Person,Singular,cavabis,cavebis,caves,cavies,You will watch out
Active Indicative,Future,2nd Person,Plural,cavabitis,cavebitis,cavetis,cavietis,You (pl.) will watch out
Active Indicative,Future,3rd Person,Singular,cavabit,cavebit,cavet,caviet,He/she/it will watch out
Active Indicative,Future,3rd Person,Plural,cavabunt,cavebunt,cavent,cavient,They will watch out
Active Indicative,Perfect,1st Person,Singular,cavavi,cavui,cavi,cavi,I have watch outed
Active Indicative,Perfect,1st Person,Plural,cavavimus,cavuimus,cavimus,cavimus,We have watch outed
Active Indicative,Perfect,2nd Person,Singular,cavavisti,cavuisti,cavisti,cavisti,You have watch outed
Active Indicative,Perfect,2nd Person,Plural,cavavistis,cavuistis,cavistis,cavistis,You (pl.) have watch outed
Active Indicative,Perfect,3rd Person,Singular,cavavit,cavuit,cavit,cavit,He/she/it has watch outed
Active Indicative,Perfect,3rd Person,Plural,cavaverunt,cavuerunt,caverunt,caverunt,They have watch outed
Active Indicative,Pluperfect,1st Person,Singular,cavaveram,cavueram,caveram,caveram,I had watch outed
Active Indicative,Pluperfect,1st Person,Plural,cavaveramus,cavueramus,caveramus,caveramus,We had watch outed
Active Indicative,Pluperfect,2nd Person,Singular,cavaveras,cavueras,caveras,caveras,You had watch outed
Active Indicative,Pluperfect,2nd Person,Plural,cavaveratis,cavueratis,caveratis,caveratis,You (pl.) had watch outed
Active Indicative,Pluperfect,3rd Person,Singular,cavaverat,cavuerat,caverat,caverat,He/she/it had watch outed
Active Indicative,Pluperfect,3rd Person,Plural,cavaverant,cavuerant,caverant,caverant,They had watch outed
Active Indicative,Future Perfect,1st Person,Singular,cavavero,cavueero,cavero,caviero,I will have watch outed
Active Indicative,Future Perfect,1st Person,Plural,cavaverimus,cavuerimus,caverimus,cavierimus,We will have watch outed
Active Indicative,Future Perfect,2nd Person,Singular,cavaveris,cavueris,caveris,cavieris,You will have watch outed
Active Indicative,Future Perfect,2nd Person,Plural,cavaveritis,cavueritis,caveritis,cavieritis,You (pl.) will have watch outed
Active Indicative,Future Perfect,3rd Person,Singular,cavaverit,cavuerit,caverit,cavierit,He/she/it will have watch outed
Active Indicative,Future Perfect,3rd Person,Plural,cavaverint,cavuerint,caverint,cavierint,They will have watch outed
Passive Indicative,Present,1st Person,Singular,cavor,caveor,cavor,cavior,I am being watch outed
Passive Indicative,Present,1st Person,Plural,cavamur,cavemur,cavimur,cavimur,We are being watch outed
Passive Indicative,Present,2nd Person,Singular,cavaris,caveris,caviris,caviris,You are being watch outed
Passive Indicative,Present,2nd Person,Plural,cavamini,cavemini,cavimini,cavimini,You (pl.) are being watch outed
Passive Indicative,Present,3rd Person,Singular,cavatur,cavetur,cavitur,cavitur,He/she/it is being watch outed
