Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,cavito,caviteo,cavito,cavitio,I watch out
Active Indicative,Present,1st Person,Plural,cavitamus,cavitemus,cavitimus,cavitimus,We watch out
Active Indicative,Present,2nd Person,Singular,cavitas,cavites,cavitis,cavitis,You watch out
Active Indicative,Present,2nd Person,Plural,cavitatis,cavitetis,cavititis,cavititis,You (pl.) watch out
Active Indicative,Present,3rd Person,Singular,cavitat,cavitet,cavitit,cavitit,He/she/it watch out
Active Indicative,Present,3rd Person,Plural,cavitant,cavitent,cavitiunt,cavitiunt,They watch out
Active Indicative,Imperfect,1st Person,Singular,cavitabam,cavitebam,cavitebam,cavitiebam,I was watch outing
Active Indicative,Imperfect,1st Person,Plural,cavitabamus,cavitebamus,cavitebamus,cavitiebamus,We were watch outing
Active Indicative,Imperfect,2nd Person,Singular,cavitabas,cavitebas,cavitebas,cavitiebas,You were watch outing
Active Indicative,Imperfect,2nd Person,Plural,cavitabatis,cavitebatis,cavitebatis,cavitiebatis,You (pl.) were watch outing
Active Indicative,Imperfect,3rd Person,Singular,cavitabat,cavitebat,cavitebat,cavitiebat,He/she/it was watch outing
Active Indicative,Imperfect,3rd Person,Plural,cavitabant,cavitebant,cavitebant,cavitiebant,They were watch outing
Active Indicative,Future,1st Person,Singular,cavitabo,cavitebo,cavitam,cavitiam,I will watch out
Active Indicative,Future,1st Person,Plural,cavitabimus,cavitebimus,cavitemus,cavitiemus,We will watch out
Active Indicative,Future,2nd Person,Singular,cavitabis,cavitebis,cavites,cavities,You will watch out
Active Indicative,Future,2nd Person,Plural,cavitabitis,cavitebitis,cavitetis,cavitietis,You (pl.) will watch out
Active Indicative,Future,3rd Person,Singular,cavitabit,cavitebit,cavitet,cavitiet,He/she/it will watch out
Active Indicative,Future,3rd Person,Plural,cavitabunt,cavitebunt,cavitent,cavitient,They will watch out
Active Indicative,Perfect,1st Person,Singular,cavitavi,cavitui,caviti,caviti,I have watch outed
Active Indicative,Perfect,1st Person,Plural,cavitavimus,cavituimus,cavitimus,cavitimus,We have watch outed
Active Indicative,Perfect,2nd Person,Singular,cavitavisti,cavituisti,cavitisti,cavitisti,You have watch outed
Active Indicative,Perfect,2nd Person,Plural,cavitavistis,cavituistis,cavitistis,cavitistis,You (pl.) have watch outed
Active Indicative,Perfect,3rd Person,Singular,cavitavit,cavituit,cavitit,cavitit,He/she/it has watch outed
