Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,celebro,celebreo,celebro,celebrio,I celebrate
Active Indicative,Present,1st Person,Plural,celebramus,celebremus,celebrimus,celebrimus,We celebrate
Active Indicative,Present,2nd Person,Singular,celebras,celebres,celebris,celebris,You celebrate
Active Indicative,Present,2nd Person,Plural,celebratis,celebretis,celebritis,celebritis,You (pl.) celebrate
Active Indicative,Present,3rd Person,Singular,celebrat,celebret,celebrit,celebrit,He/she/it celebrate
Active Indicative,Present,3rd Person,Plural,celebrant,celebrent,celebriunt,celebriunt,They celebrate
Active Indicative,Imperfect,1st Person,Singular,celebrabam,celebrebam,celebrebam,celebriebam,I was celebrateing
Active Indicative,Imperfect,1st Person,Plural,celebrabamus,celebrebamus,celebrebamus,celebriebamus,We were celebrateing
Active Indicative,Imperfect,2nd Person,Singular,celebrabas,celebrebas,celebrebas,celebriebas,You were celebrateing
Active Indicative,Imperfect,2nd Person,Plural,celebrabatis,celebrebatis,celebrebatis,celebriebatis,You (pl.) were celebrateing
Active Indicative,Imperfect,3rd Person,Singular,celebrabat,celebrebat,celebrebat,celebriebat,He/she/it was celebrateing
Active Indicative,Imperfect,3rd Person,Plural,celebrabant,celebrebant,celebrebant,celebriebant,They were celebrateing
Active Indicative,Future,1st Person,Singular,celebrabo,celebrebo,celebram,celebriam,I will celebrate
Active Indicative,Future,1st Person,Plural,celebrabimus,celebrebimus,celebremus,celebriemus,We will celebrate
Active Indicative,Future,2nd Person,Singular,celebrabis,celebrebis,celebres,celebries,You will celebrate
Active Indicative,Future,2nd Person,Plural,celebrabitis,celebrebitis,celebretis,celebrietis,You (pl.) will celebrate
Active Indicative,Future,3rd Person,Singular,celebrabit,celebrebit,celebret,celebriet,He/she/it will celebrate
Active Indicative,Future,3rd Person,Plural,celebrabunt,celebrebunt,celebrent,celebrient,They will celebrate
Active Indicative,Perfect,1st Person,Singular,celebravi,celebrui,celebri,celebri,I have celebrateed
Active Indicative,Perfect,1st Person,Plural,celebravimus,celebruimus,celebrimus,celebrimus,We have celebrateed
Active Indicative,Perfect,2nd Person,Singular,celebravisti,celebruisti,celebristi,celebristi,You have celebrateed
Active Indicative,Perfect,2nd Person,Plural,celebravistis,celebruistis,celebristis,celebristis,You (pl.) have celebrateed
Active Indicative,Perfect,3rd Person,Singular,celebravit,celebruit,celebrit,celebrit,He/she/it has celebrateed
Active Indicative,Perfect,3rd Person,Plural,celebraverunt,celebruerunt,celebrerunt,celebrerunt,They have celebrateed
Active Indicative,Pluperfect,1st Person,Singular,celebraveram,celebrueram,celebreram,celebreram,I had celebrateed
Active Indicative,Pluperfect,1st Person,Plural,celebraveramus,celebrueramus,celebreramus,celebreramus,We had celebrateed
Active Indicative,Pluperfect,2nd Person,Singular,celebraveras,celebrueras,celebreras,celebreras,You had celebrateed
Active Indicative,Pluperfect,2nd Person,Plural,celebraveratis,celebrueratis,celebreratis,celebreratis,You (pl.) had celebrateed
Active Indicative,Pluperfect,3rd Person,Singular,celebraverat,celebruerat,celebrerat,celebrerat,He/she/it had celebrateed
Active Indicative,Pluperfect,3rd Person,Plural,celebraverant,celebruerant,celebrerant,celebrerant,They had celebrateed
Active Indicative,Future Perfect,1st Person,Singular,celebravero,celebrueero,celebrero,celebriero,I will have celebrateed
Active Indicative,Future Perfect,1st Person,Plural,celebraverimus,celebruerimus,celebrerimus,celebrierimus,We will have celebrateed
Active Indicative,Future Perfect,2nd Person,Singular,celebraveris,celebrueris,celebreris,celebrieris,You will have celebrateed
Active Indicative,Future Perfect,2nd Person,Plural,celebraveritis,celebrueritis,celebreritis,celebrieritis,You (pl.) will have celebrateed
Active Indicative,Future Perfect,3rd Person,Singular,celebraverit,celebruerit,celebrerit,celebrierit,He/she/it will have celebrateed
Active Indicative,Future Perfect,3rd Person,Plural,celebraverint,celebruerint,celebrerint,celebrierint,They will have celebrateed
Passive Indicative,Present,1st Person,Singular,celebror,celebreor,celebror,celebrior,I am being celebrateed
Passive Indicative,Present,1st Person,Plural,celebramur,celebremur,celebrimur,celebrimur,We are being celebrateed
Passive Indicative,Present,2nd Person,Singular,celebraris,celebreris,celebriris,celebriris,You are being celebrateed
Passive Indicative,Present,2nd Person,Plural,celebramini,celebremini,celebrimini,celebrimini,You (pl.) are being celebrateed
Passive Indicative,Present,3rd Person,Singular,celebratur,celebretur,celebritur,celebritur,He/she/it is being celebrateed
Passive Indicative,Present,3rd Person,Plural,celebrantur,celebrentur,celebriuntur,celebriuntur,They are being celebrateed
Passive Indicative,Imperfect,1st Person,Singular,celebrabar,celebrebar,celebrebar,celebriebar,I was celebrateed
Passive Indicative,Imperfect,1st Person,Plural,celebrabamur,celebrebamur,celebrebamur,celebriebamur,We were celebrateed
Passive Indicative,Imperfect,2nd Person,Singular,celebrabaris,celebrebaris,celebrebaris,celebriebaris,You were celebrateed
Passive Indicative,Imperfect,2nd Person,Plural,celebrabamini,celebrebamini,celebrebamini,celebriebamini,You (pl.) were celebrateed
Passive Indicative,Imperfect,3rd Person,Singular,celebrabatur,celebrebatur,celebrebatur,celebriebatur,He/she/it was celebrateed
Passive Indicative,Imperfect,3rd Person,Plural,celebrabantur,celebrebantur,celebrebantur,celebriebantur,They were celebrateed
Passive Indicative,Future,1st Person,Singular,celebrabor,celebrebor,celebrar,celebriar,I will be celebrateed
Passive Indicative,Future,1st Person,Plural,celebrabimur,celebrebimur,celebremur,celebriemur,We will be celebrateed
Passive Indicative,Future,2nd Person,Singular,celebraberis,celebreberis,celebreris,celebrieris,You will be celebrateed
Passive Indicative,Future,2nd Person,Plural,celebrabimini,celebrebimini,celebremini,celebriemini,You (pl.) will be celebrateed
Passive Indicative,Future,3rd Person,Singular,celebrabitur,celebrebitur,celebretur,celebrietur,He/she/it will be celebrateed
Passive Indicative,Future,3rd Person,Plural,celebrabuntur,celebrebuntur,celebrentur,celebrientur,They will be celebrateed
Passive Indicative,Perfect,1st Person,Singular,celebratus sum,celebretus sum,celebrus sum,celebrus sum,I have been celebrateed
Passive Indicative,Perfect,1st Person,Plural,celebrati sumus,celebreti sumus,celebri sumus,celebri sumus,We have been celebrateed
Passive Indicative,Perfect,2nd Person,Singular,celebratus es,celebretus es,celebrus es,celebrus es,You have been celebrateed
Passive Indicative,Perfect,2nd Person,Plural,celebrati estis,celebreti estis,celebri estis,celebri estis,You (pl.) have been celebrateed
Passive Indicative,Perfect,3rd Person,Singular,celebratus est,celebretus est,celebrus est,celebrus est,He/she/it has been celebrateed
Passive Indicative,Perfect,3rd Person,Plural,celebrati sunt,celebreti sunt,celebri sunt,celebri sunt,They have been celebrateed
Passive Indicative,Pluperfect,1st Person,Singular,celebratus eram,celebretus eram,celebrus eram,celebrus eram,I had been celebrateed
Passive Indicative,Pluperfect,1st Person,Plural,celebrati eramus,celebreti eramus,celebri eramus,celebri eramus,We had been celebrateed
Passive Indicative,Pluperfect,2nd Person,Singular,celebratus eras,celebretus eras,celebrus eras,celebrus eras,You had been celebrateed
Passive Indicative,Pluperfect,2nd Person,Plural,celebrati eratis,celebreti eratis,celebri eratis,celebri eratis,You (pl.) had been celebrateed
Passive Indicative,Pluperfect,3rd Person,Singular,celebratus erat,celebretus erat,celebrus erat,celebrus erat,He/she/it had been celebrateed
