Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,cistulo,cistuleo,cistulo,cistulio,I shriek
Active Indicative,Present,1st Person,Plural,cistulamus,cistulemus,cistulimus,cistulimus,We shriek
Active Indicative,Present,2nd Person,Singular,cistulas,cistules,cistulis,cistulis,You shriek
Active Indicative,Present,2nd Person,Plural,cistulatis,cistuletis,cistulitis,cistulitis,You (pl.) shriek
Active Indicative,Present,3rd Person,Singular,cistulat,cistulet,cistulit,cistulit,He/she/it shriek
Active Indicative,Present,3rd Person,Plural,cistulant,cistulent,cistuliunt,cistuliunt,They shriek
Active Indicative,Imperfect,1st Person,Singular,cistulabam,cistulebam,cistulebam,cistuliebam,I was shrieking
Active Indicative,Imperfect,1st Person,Plural,cistulabamus,cistulebamus,cistulebamus,cistuliebamus,We were shrieking
Active Indicative,Imperfect,2nd Person,Singular,cistulabas,cistulebas,cistulebas,cistuliebas,You were shrieking
Active Indicative,Imperfect,2nd Person,Plural,cistulabatis,cistulebatis,cistulebatis,cistuliebatis,You (pl.) were shrieking
Active Indicative,Imperfect,3rd Person,Singular,cistulabat,cistulebat,cistulebat,cistuliebat,He/she/it was shrieking
Active Indicative,Imperfect,3rd Person,Plural,cistulabant,cistulebant,cistulebant,cistuliebant,They were shrieking
Active Indicative,Future,1st Person,Singular,cistulabo,cistulebo,cistulam,cistuliam,I will shriek
Active Indicative,Future,1st Person,Plural,cistulabimus,cistulebimus,cistulemus,cistuliemus,We will shriek
Active Indicative,Future,2nd Person,Singular,cistulabis,cistulebis,cistules,cistulies,You will shriek
Active Indicative,Future,2nd Person,Plural,cistulabitis,cistulebitis,cistuletis,cistulietis,You (pl.) will shriek
Active Indicative,Future,3rd Person,Singular,cistulabit,cistulebit,cistulet,cistuliet,He/she/it will shriek
Active Indicative,Future,3rd Person,Plural,cistulabunt,cistulebunt,cistulent,cistulient,They will shriek
Active Indicative,Perfect,1st Person,Singular,cistulavi,cistului,cistuli,cistuli,I have shrieked
Active Indicative,Perfect,1st Person,Plural,cistulavimus,cistuluimus,cistulimus,cistulimus,We have shrieked
Active Indicative,Perfect,2nd Person,Singular,cistulavisti,cistuluisti,cistulisti,cistulisti,You have shrieked
Active Indicative,Perfect,2nd Person,Plural,cistulavistis,cistuluistis,cistulistis,cistulistis,You (pl.) have shrieked
Active Indicative,Perfect,3rd Person,Singular,cistulavit,cistuluit,cistulit,cistulit,He/she/it has shrieked
Active Indicative,Perfect,3rd Person,Plural,cistulaverunt,cistuluerunt,cistulerunt,cistulerunt,They have shrieked
Active Indicative,Pluperfect,1st Person,Singular,cistulaveram,cistulueram,cistuleram,cistuleram,I had shrieked
Active Indicative,Pluperfect,1st Person,Plural,cistulaveramus,cistulueramus,cistuleramus,cistuleramus,We had shrieked
Active Indicative,Pluperfect,2nd Person,Singular,cistulaveras,cistulueras,cistuleras,cistuleras,You had shrieked
Active Indicative,Pluperfect,2nd Person,Plural,cistulaveratis,cistulueratis,cistuleratis,cistuleratis,You (pl.) had shrieked
Active Indicative,Pluperfect,3rd Person,Singular,cistulaverat,cistuluerat,cistulerat,cistulerat,He/she/it had shrieked
Active Indicative,Pluperfect,3rd Person,Plural,cistulaverant,cistuluerant,cistulerant,cistulerant,They had shrieked
Active Indicative,Future Perfect,1st Person,Singular,cistulavero,cistulueero,cistulero,cistuliero,I will have shrieked
Active Indicative,Future Perfect,1st Person,Plural,cistulaverimus,cistuluerimus,cistulerimus,cistulierimus,We will have shrieked
Active Indicative,Future Perfect,2nd Person,Singular,cistulaveris,cistulueris,cistuleris,cistulieris,You will have shrieked
Active Indicative,Future Perfect,2nd Person,Plural,cistulaveritis,cistulueritis,cistuleritis,cistulieritis,You (pl.) will have shrieked
Active Indicative,Future Perfect,3rd Person,Singular,cistulaverit,cistuluerit,cistulerit,cistulierit,He/she/it will have shrieked
Active Indicative,Future Perfect,3rd Person,Plural,cistulaverint,cistuluerint,cistulerint,cistulierint,They will have shrieked
Passive Indicative,Present,1st Person,Singular,cistulor,cistuleor,cistulor,cistulior,I am being shrieked
Passive Indicative,Present,1st Person,Plural,cistulamur,cistulemur,cistulimur,cistulimur,We are being shrieked
Passive Indicative,Present,2nd Person,Singular,cistularis,cistuleris,cistuliris,cistuliris,You are being shrieked
