Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,clamo,clameo,clamo,clamio,I cry out
Active Indicative,Present,1st Person,Plural,clamamus,clamemus,clamimus,clamimus,We cry out
Active Indicative,Present,2nd Person,Singular,clamas,clames,clamis,clamis,You cry out
Active Indicative,Present,2nd Person,Plural,clamatis,clametis,clamitis,clamitis,You (pl.) cry out
Active Indicative,Present,3rd Person,Singular,clamat,clamet,clamit,clamit,He/she/it cry out
Active Indicative,Present,3rd Person,Plural,clamant,clament,clamiunt,clamiunt,They cry out
Active Indicative,Imperfect,1st Person,Singular,clamabam,clamebam,clamebam,clamiebam,I was cry outing
Active Indicative,Imperfect,1st Person,Plural,clamabamus,clamebamus,clamebamus,clamiebamus,We were cry outing
Active Indicative,Imperfect,2nd Person,Singular,clamabas,clamebas,clamebas,clamiebas,You were cry outing
Active Indicative,Imperfect,2nd Person,Plural,clamabatis,clamebatis,clamebatis,clamiebatis,You (pl.) were cry outing
Active Indicative,Imperfect,3rd Person,Singular,clamabat,clamebat,clamebat,clamiebat,He/she/it was cry outing
Active Indicative,Imperfect,3rd Person,Plural,clamabant,clamebant,clamebant,clamiebant,They were cry outing
Active Indicative,Future,1st Person,Singular,clamabo,clamebo,clamam,clamiam,I will cry out
Active Indicative,Future,1st Person,Plural,clamabimus,clamebimus,clamemus,clamiemus,We will cry out
Active Indicative,Future,2nd Person,Singular,clamabis,clamebis,clames,clamies,You will cry out
Active Indicative,Future,2nd Person,Plural,clamabitis,clamebitis,clametis,clamietis,You (pl.) will cry out
Active Indicative,Future,3rd Person,Singular,clamabit,clamebit,clamet,clamiet,He/she/it will cry out
Active Indicative,Future,3rd Person,Plural,clamabunt,clamebunt,clament,clamient,They will cry out
Active Indicative,Perfect,1st Person,Singular,clamavi,clamui,clami,clami,I have cry outed
Active Indicative,Perfect,1st Person,Plural,clamavimus,clamuimus,clamimus,clamimus,We have cry outed
Active Indicative,Perfect,2nd Person,Singular,clamavisti,clamuisti,clamisti,clamisti,You have cry outed
Active Indicative,Perfect,2nd Person,Plural,clamavistis,clamuistis,clamistis,clamistis,You (pl.) have cry outed
Active Indicative,Perfect,3rd Person,Singular,clamavit,clamuit,clamit,clamit,He/she/it has cry outed
Active Indicative,Perfect,3rd Person,Plural,clamaverunt,clamuerunt,clamerunt,clamerunt,They have cry outed
Active Indicative,Pluperfect,1st Person,Singular,clamaveram,clamueram,clameram,clameram,I had cry outed
Active Indicative,Pluperfect,1st Person,Plural,clamaveramus,clamueramus,clameramus,clameramus,We had cry outed
Active Indicative,Pluperfect,2nd Person,Singular,clamaveras,clamueras,clameras,clameras,You had cry outed
Active Indicative,Pluperfect,2nd Person,Plural,clamaveratis,clamueratis,clameratis,clameratis,You (pl.) had cry outed
Active Indicative,Pluperfect,3rd Person,Singular,clamaverat,clamuerat,clamerat,clamerat,He/she/it had cry outed
Active Indicative,Pluperfect,3rd Person,Plural,clamaverant,clamuerant,clamerant,clamerant,They had cry outed
Active Indicative,Future Perfect,1st Person,Singular,clamavero,clamueero,clamero,clamiero,I will have cry outed
Active Indicative,Future Perfect,1st Person,Plural,clamaverimus,clamuerimus,clamerimus,clamierimus,We will have cry outed
Active Indicative,Future Perfect,2nd Person,Singular,clamaveris,clamueris,clameris,clamieris,You will have cry outed
Active Indicative,Future Perfect,2nd Person,Plural,clamaveritis,clamueritis,clameritis,clamieritis,You (pl.) will have cry outed
Active Indicative,Future Perfect,3rd Person,Singular,clamaverit,clamuerit,clamerit,clamierit,He/she/it will have cry outed
Active Indicative,Future Perfect,3rd Person,Plural,clamaverint,clamuerint,clamerint,clamierint,They will have cry outed
Passive Indicative,Present,1st Person,Singular,clamor,clameor,clamor,clamior,I am being cry outed
Passive Indicative,Present,1st Person,Plural,clamamur,clamemur,clamimur,clamimur,We are being cry outed
Passive Indicative,Present,2nd Person,Singular,clamaris,clameris,clamiris,clamiris,You are being cry outed
Passive Indicative,Present,2nd Person,Plural,clamamini,clamemini,clamimini,clamimini,You (pl.) are being cry outed
Passive Indicative,Present,3rd Person,Singular,clamatur,clametur,clamitur,clamitur,He/she/it is being cry outed
Passive Indicative,Present,3rd Person,Plural,clamantur,clamentur,clamiuntur,clamiuntur,They are being cry outed
Passive Indicative,Imperfect,1st Person,Singular,clamabar,clamebar,clamebar,clamiebar,I was cry outed
Passive Indicative,Imperfect,1st Person,Plural,clamabamur,clamebamur,clamebamur,clamiebamur,We were cry outed
Passive Indicative,Imperfect,2nd Person,Singular,clamabaris,clamebaris,clamebaris,clamiebaris,You were cry outed
Passive Indicative,Imperfect,2nd Person,Plural,clamabamini,clamebamini,clamebamini,clamiebamini,You (pl.) were cry outed
Passive Indicative,Imperfect,3rd Person,Singular,clamabatur,clamebatur,clamebatur,clamiebatur,He/she/it was cry outed
Passive Indicative,Imperfect,3rd Person,Plural,clamabantur,clamebantur,clamebantur,clamiebantur,They were cry outed
Passive Indicative,Future,1st Person,Singular,clamabor,clamebor,clamar,clamiar,I will be cry outed
Passive Indicative,Future,1st Person,Plural,clamabimur,clamebimur,clamemur,clamiemur,We will be cry outed
Passive Indicative,Future,2nd Person,Singular,clamaberis,clameberis,clameris,clamieris,You will be cry outed
Passive Indicative,Future,2nd Person,Plural,clamabimini,clamebimini,clamemini,clamiemini,You (pl.) will be cry outed
Passive Indicative,Future,3rd Person,Singular,clamabitur,clamebitur,clametur,clamietur,He/she/it will be cry outed
Passive Indicative,Future,3rd Person,Plural,clamabuntur,clamebuntur,clamentur,clamientur,They will be cry outed
Passive Indicative,Perfect,1st Person,Singular,clamatus sum,clametus sum,clamus sum,clamus sum,I have been cry outed
Passive Indicative,Perfect,1st Person,Plural,clamati sumus,clameti sumus,clami sumus,clami sumus,We have been cry outed
Passive Indicative,Perfect,2nd Person,Singular,clamatus es,clametus es,clamus es,clamus es,You have been cry outed
Passive Indicative,Perfect,2nd Person,Plural,clamati estis,clameti estis,clami estis,clami estis,You (pl.) have been cry outed
Passive Indicative,Perfect,3rd Person,Singular,clamatus est,clametus est,clamus est,clamus est,He/she/it has been cry outed
Passive Indicative,Perfect,3rd Person,Plural,clamati sunt,clameti sunt,clami sunt,clami sunt,They have been cry outed
Passive Indicative,Pluperfect,1st Person,Singular,clamatus eram,clametus eram,clamus eram,clamus eram,I had been cry outed
Passive Indicative,Pluperfect,1st Person,Plural,clamati eramus,clameti eramus,clami eramus,clami eramus,We had been cry outed
Passive Indicative,Pluperfect,2nd Person,Singular,clamatus eras,clametus eras,clamus eras,clamus eras,You had been cry outed
Passive Indicative,Pluperfect,2nd Person,Plural,clamati eratis,clameti eratis,clami eratis,clami eratis,You (pl.) had been cry outed
Passive Indicative,Pluperfect,3rd Person,Singular,clamatus erat,clametus erat,clamus erat,clamus erat,He/she/it had been cry outed
Passive Indicative,Pluperfect,3rd Person,Plural,clamati erant,clameti erant,clami erant,clami erant,They had been cry outed
Passive Indicative,Future Perfect,1st Person,Singular,clamatus ero,clametus ero,clamus ero,clamus ero,I will have been cry outed
Passive Indicative,Future Perfect,1st Person,Plural,clamati erimus,clameti erimus,clami erimus,clami erimus,We will have been cry outed
Passive Indicative,Future Perfect,2nd Person,Singular,clamatus eris,clametus eris,clamus eris,clamus eris,You will have been cry outed
Passive Indicative,Future Perfect,2nd Person,Plural,clamati eritis,clameti eritis,clami eritis,clami eritis,You (pl.) will have been cry outed
Passive Indicative,Future Perfect,3rd Person,Singular,clamatus erit,clametus erit,clamus erit,clamus erit,He/she/it will have been cry outed
Passive Indicative,Future Perfect,3rd Person,Plural,clamati erunt,clameti erunt,clami erunt,clami erunt,They will have been cry outed
Active Subjunctive,Present,1st Person,Singular,clamem,clamem,clamam,clamam,I may cry out
Active Subjunctive,Present,1st Person,Plural,clamemus,clamemus,clamamus,clamamus,We may cry out
Active Subjunctive,Present,2nd Person,Singular,clames,clames,clamas,clamas,You may cry out
