Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,claudo,claudeo,claudo,claudio,I close
Active Indicative,Present,1st Person,Plural,claudamus,claudemus,claudimus,claudimus,We close
Active Indicative,Present,2nd Person,Singular,claudas,claudes,claudis,claudis,You close
Active Indicative,Present,2nd Person,Plural,claudatis,claudetis,clauditis,clauditis,You (pl.) close
Active Indicative,Present,3rd Person,Singular,claudat,claudet,claudit,claudit,He/she/it close
Active Indicative,Present,3rd Person,Plural,claudant,claudent,claudiunt,claudiunt,They close
Active Indicative,Imperfect,1st Person,Singular,claudabam,claudebam,claudebam,claudiebam,I was closeing
Active Indicative,Imperfect,1st Person,Plural,claudabamus,claudebamus,claudebamus,claudiebamus,We were closeing
Active Indicative,Imperfect,2nd Person,Singular,claudabas,claudebas,claudebas,claudiebas,You were closeing
Active Indicative,Imperfect,2nd Person,Plural,claudabatis,claudebatis,claudebatis,claudiebatis,You (pl.) were closeing
Active Indicative,Imperfect,3rd Person,Singular,claudabat,claudebat,claudebat,claudiebat,He/she/it was closeing
Active Indicative,Imperfect,3rd Person,Plural,claudabant,claudebant,claudebant,claudiebant,They were closeing
Active Indicative,Future,1st Person,Singular,claudabo,claudebo,claudam,claudiam,I will close
Active Indicative,Future,1st Person,Plural,claudabimus,claudebimus,claudemus,claudiemus,We will close
Active Indicative,Future,2nd Person,Singular,claudabis,claudebis,claudes,claudies,You will close
Active Indicative,Future,2nd Person,Plural,claudabitis,claudebitis,claudetis,claudietis,You (pl.) will close
Active Indicative,Future,3rd Person,Singular,claudabit,claudebit,claudet,claudiet,He/she/it will close
Active Indicative,Future,3rd Person,Plural,claudabunt,claudebunt,claudent,claudient,They will close
Active Indicative,Perfect,1st Person,Singular,claudavi,claudui,claudi,claudi,I have closeed
Active Indicative,Perfect,1st Person,Plural,claudavimus,clauduimus,claudimus,claudimus,We have closeed
Active Indicative,Perfect,2nd Person,Singular,claudavisti,clauduisti,claudisti,claudisti,You have closeed
Active Indicative,Perfect,2nd Person,Plural,claudavistis,clauduistis,claudistis,claudistis,You (pl.) have closeed
Active Indicative,Perfect,3rd Person,Singular,claudavit,clauduit,claudit,claudit,He/she/it has closeed
Active Indicative,Perfect,3rd Person,Plural,claudaverunt,clauduerunt,clauderunt,clauderunt,They have closeed
Active Indicative,Pluperfect,1st Person,Singular,claudaveram,claudueram,clauderam,clauderam,I had closeed
Active Indicative,Pluperfect,1st Person,Plural,claudaveramus,claudueramus,clauderamus,clauderamus,We had closeed
Active Indicative,Pluperfect,2nd Person,Singular,claudaveras,claudueras,clauderas,clauderas,You had closeed
Active Indicative,Pluperfect,2nd Person,Plural,claudaveratis,claudueratis,clauderatis,clauderatis,You (pl.) had closeed
Active Indicative,Pluperfect,3rd Person,Singular,claudaverat,clauduerat,clauderat,clauderat,He/she/it had closeed
Active Indicative,Pluperfect,3rd Person,Plural,claudaverant,clauduerant,clauderant,clauderant,They had closeed
Active Indicative,Future Perfect,1st Person,Singular,claudavero,claudueero,claudero,claudiero,I will have closeed
Active Indicative,Future Perfect,1st Person,Plural,claudaverimus,clauduerimus,clauderimus,claudierimus,We will have closeed
Active Indicative,Future Perfect,2nd Person,Singular,claudaveris,claudueris,clauderis,claudieris,You will have closeed
Active Indicative,Future Perfect,2nd Person,Plural,claudaveritis,claudueritis,clauderitis,claudieritis,You (pl.) will have closeed
Active Indicative,Future Perfect,3rd Person,Singular,claudaverit,clauduerit,clauderit,claudierit,He/she/it will have closeed
Active Indicative,Future Perfect,3rd Person,Plural,claudaverint,clauduerint,clauderint,claudierint,They will have closeed
Passive Indicative,Present,1st Person,Singular,claudor,claudeor,claudor,claudior,I am being closeed
Passive Indicative,Present,1st Person,Plural,claudamur,claudemur,claudimur,claudimur,We are being closeed
Passive Indicative,Present,2nd Person,Singular,claudaris,clauderis,claudiris,claudiris,You are being closeed
Passive Indicative,Present,2nd Person,Plural,claudamini,claudemini,claudimini,claudimini,You (pl.) are being closeed
