Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,cludico,cludiceo,cludico,cludicio,I close
Active Indicative,Present,1st Person,Plural,cludicamus,cludicemus,cludicimus,cludicimus,We close
Active Indicative,Present,2nd Person,Singular,cludicas,cludices,cludicis,cludicis,You close
Active Indicative,Present,2nd Person,Plural,cludicatis,cludicetis,cludicitis,cludicitis,You (pl.) close
Active Indicative,Present,3rd Person,Singular,cludicat,cludicet,cludicit,cludicit,He/she/it close
Active Indicative,Present,3rd Person,Plural,cludicant,cludicent,cludiciunt,cludiciunt,They close
Active Indicative,Imperfect,1st Person,Singular,cludicabam,cludicebam,cludicebam,cludiciebam,I was closeing
Active Indicative,Imperfect,1st Person,Plural,cludicabamus,cludicebamus,cludicebamus,cludiciebamus,We were closeing
Active Indicative,Imperfect,2nd Person,Singular,cludicabas,cludicebas,cludicebas,cludiciebas,You were closeing
Active Indicative,Imperfect,2nd Person,Plural,cludicabatis,cludicebatis,cludicebatis,cludiciebatis,You (pl.) were closeing
Active Indicative,Imperfect,3rd Person,Singular,cludicabat,cludicebat,cludicebat,cludiciebat,He/she/it was closeing
Active Indicative,Imperfect,3rd Person,Plural,cludicabant,cludicebant,cludicebant,cludiciebant,They were closeing
Active Indicative,Future,1st Person,Singular,cludicabo,cludicebo,cludicam,cludiciam,I will close
Active Indicative,Future,1st Person,Plural,cludicabimus,cludicebimus,cludicemus,cludiciemus,We will close
Active Indicative,Future,2nd Person,Singular,cludicabis,cludicebis,cludices,cludicies,You will close
Active Indicative,Future,2nd Person,Plural,cludicabitis,cludicebitis,cludicetis,cludicietis,You (pl.) will close
Active Indicative,Future,3rd Person,Singular,cludicabit,cludicebit,cludicet,cludiciet,He/she/it will close
Active Indicative,Future,3rd Person,Plural,cludicabunt,cludicebunt,cludicent,cludicient,They will close
Active Indicative,Perfect,1st Person,Singular,cludicavi,cludicui,cludici,cludici,I have closeed
Active Indicative,Perfect,1st Person,Plural,cludicavimus,cludicuimus,cludicimus,cludicimus,We have closeed
Active Indicative,Perfect,2nd Person,Singular,cludicavisti,cludicuisti,cludicisti,cludicisti,You have closeed
Active Indicative,Perfect,2nd Person,Plural,cludicavistis,cludicuistis,cludicistis,cludicistis,You (pl.) have closeed
Active Indicative,Perfect,3rd Person,Singular,cludicavit,cludicuit,cludicit,cludicit,He/she/it has closeed
Active Indicative,Perfect,3rd Person,Plural,cludicaverunt,cludicuerunt,cludicerunt,cludicerunt,They have closeed
Active Indicative,Pluperfect,1st Person,Singular,cludicaveram,cludicueram,cludiceram,cludiceram,I had closeed
Active Indicative,Pluperfect,1st Person,Plural,cludicaveramus,cludicueramus,cludiceramus,cludiceramus,We had closeed
Active Indicative,Pluperfect,2nd Person,Singular,cludicaveras,cludicueras,cludiceras,cludiceras,You had closeed
Active Indicative,Pluperfect,2nd Person,Plural,cludicaveratis,cludicueratis,cludiceratis,cludiceratis,You (pl.) had closeed
Active Indicative,Pluperfect,3rd Person,Singular,cludicaverat,cludicuerat,cludicerat,cludicerat,He/she/it had closeed
Active Indicative,Pluperfect,3rd Person,Plural,cludicaverant,cludicuerant,cludicerant,cludicerant,They had closeed
Active Indicative,Future Perfect,1st Person,Singular,cludicavero,cludicueero,cludicero,cludiciero,I will have closeed
Active Indicative,Future Perfect,1st Person,Plural,cludicaverimus,cludicuerimus,cludicerimus,cludicierimus,We will have closeed
Active Indicative,Future Perfect,2nd Person,Singular,cludicaveris,cludicueris,cludiceris,cludicieris,You will have closeed
Active Indicative,Future Perfect,2nd Person,Plural,cludicaveritis,cludicueritis,cludiceritis,cludicieritis,You (pl.) will have closeed
Active Indicative,Future Perfect,3rd Person,Singular,cludicaverit,cludicuerit,cludicerit,cludicierit,He/she/it will have closeed
Active Indicative,Future Perfect,3rd Person,Plural,cludicaverint,cludicuerint,cludicerint,cludicierint,They will have closeed
Passive Indicative,Present,1st Person,Singular,cludicor,cludiceor,cludicor,cludicior,I am being closeed
Passive Indicative,Present,1st Person,Plural,cludicamur,cludicemur,cludicimur,cludicimur,We are being closeed
Passive Indicative,Present,2nd Person,Singular,cludicaris,cludiceris,cludiciris,cludiciris,You are being closeed
Passive Indicative,Present,2nd Person,Plural,cludicamini,cludicemini,cludicimini,cludicimini,You (pl.) are being closeed
Passive Indicative,Present,3rd Person,Singular,cludicatur,cludicetur,cludicitur,cludicitur,He/she/it is being closeed
Passive Indicative,Present,3rd Person,Plural,cludicantur,cludicentur,cludiciuntur,cludiciuntur,They are being closeed
Passive Indicative,Imperfect,1st Person,Singular,cludicabar,cludicebar,cludicebar,cludiciebar,I was closeed
Passive Indicative,Imperfect,1st Person,Plural,cludicabamur,cludicebamur,cludicebamur,cludiciebamur,We were closeed
Passive Indicative,Imperfect,2nd Person,Singular,cludicabaris,cludicebaris,cludicebaris,cludiciebaris,You were closeed
Passive Indicative,Imperfect,2nd Person,Plural,cludicabamini,cludicebamini,cludicebamini,cludiciebamini,You (pl.) were closeed
Passive Indicative,Imperfect,3rd Person,Singular,cludicabatur,cludicebatur,cludicebatur,cludiciebatur,He/she/it was closeed
Passive Indicative,Imperfect,3rd Person,Plural,cludicabantur,cludicebantur,cludicebantur,cludiciebantur,They were closeed
Passive Indicative,Future,1st Person,Singular,cludicabor,cludicebor,cludicar,cludiciar,I will be closeed
Passive Indicative,Future,1st Person,Plural,cludicabimur,cludicebimur,cludicemur,cludiciemur,We will be closeed
Passive Indicative,Future,2nd Person,Singular,cludicaberis,cludiceberis,cludiceris,cludicieris,You will be closeed
Passive Indicative,Future,2nd Person,Plural,cludicabimini,cludicebimini,cludicemini,cludiciemini,You (pl.) will be closeed
Passive Indicative,Future,3rd Person,Singular,cludicabitur,cludicebitur,cludicetur,cludicietur,He/she/it will be closeed
Passive Indicative,Future,3rd Person,Plural,cludicabuntur,cludicebuntur,cludicentur,cludicientur,They will be closeed
Passive Indicative,Perfect,1st Person,Singular,cludicatus sum,cludicetus sum,cludicus sum,cludicus sum,I have been closeed
Passive Indicative,Perfect,1st Person,Plural,cludicati sumus,cludiceti sumus,cludici sumus,cludici sumus,We have been closeed
Passive Indicative,Perfect,2nd Person,Singular,cludicatus es,cludicetus es,cludicus es,cludicus es,You have been closeed
Passive Indicative,Perfect,2nd Person,Plural,cludicati estis,cludiceti estis,cludici estis,cludici estis,You (pl.) have been closeed
Passive Indicative,Perfect,3rd Person,Singular,cludicatus est,cludicetus est,cludicus est,cludicus est,He/she/it has been closeed
Passive Indicative,Perfect,3rd Person,Plural,cludicati sunt,cludiceti sunt,cludici sunt,cludici sunt,They have been closeed
Passive Indicative,Pluperfect,1st Person,Singular,cludicatus eram,cludicetus eram,cludicus eram,cludicus eram,I had been closeed
Passive Indicative,Pluperfect,1st Person,Plural,cludicati eramus,cludiceti eramus,cludici eramus,cludici eramus,We had been closeed
Passive Indicative,Pluperfect,2nd Person,Singular,cludicatus eras,cludicetus eras,cludicus eras,cludicus eras,You had been closeed
