Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,coactico,coacticeo,coactico,coacticio,I press
Active Indicative,Present,1st Person,Plural,coacticamus,coacticemus,coacticimus,coacticimus,We press
Active Indicative,Present,2nd Person,Singular,coacticas,coactices,coacticis,coacticis,You press
Active Indicative,Present,2nd Person,Plural,coacticatis,coacticetis,coacticitis,coacticitis,You (pl.) press
Active Indicative,Present,3rd Person,Singular,coacticat,coacticet,coacticit,coacticit,He/she/it press
Active Indicative,Present,3rd Person,Plural,coacticant,coacticent,coacticiunt,coacticiunt,They press
Active Indicative,Imperfect,1st Person,Singular,coacticabam,coacticebam,coacticebam,coacticiebam,I was pressing
Active Indicative,Imperfect,1st Person,Plural,coacticabamus,coacticebamus,coacticebamus,coacticiebamus,We were pressing
Active Indicative,Imperfect,2nd Person,Singular,coacticabas,coacticebas,coacticebas,coacticiebas,You were pressing
Active Indicative,Imperfect,2nd Person,Plural,coacticabatis,coacticebatis,coacticebatis,coacticiebatis,You (pl.) were pressing
Active Indicative,Imperfect,3rd Person,Singular,coacticabat,coacticebat,coacticebat,coacticiebat,He/she/it was pressing
Active Indicative,Imperfect,3rd Person,Plural,coacticabant,coacticebant,coacticebant,coacticiebant,They were pressing
Active Indicative,Future,1st Person,Singular,coacticabo,coacticebo,coacticam,coacticiam,I will press
Active Indicative,Future,1st Person,Plural,coacticabimus,coacticebimus,coacticemus,coacticiemus,We will press
Active Indicative,Future,2nd Person,Singular,coacticabis,coacticebis,coactices,coacticies,You will press
Active Indicative,Future,2nd Person,Plural,coacticabitis,coacticebitis,coacticetis,coacticietis,You (pl.) will press
Active Indicative,Future,3rd Person,Singular,coacticabit,coacticebit,coacticet,coacticiet,He/she/it will press
Active Indicative,Future,3rd Person,Plural,coacticabunt,coacticebunt,coacticent,coacticient,They will press
Active Indicative,Perfect,1st Person,Singular,coacticavi,coacticui,coactici,coactici,I have pressed
Active Indicative,Perfect,1st Person,Plural,coacticavimus,coacticuimus,coacticimus,coacticimus,We have pressed
Active Indicative,Perfect,2nd Person,Singular,coacticavisti,coacticuisti,coacticisti,coacticisti,You have pressed
Active Indicative,Perfect,2nd Person,Plural,coacticavistis,coacticuistis,coacticistis,coacticistis,You (pl.) have pressed
Active Indicative,Perfect,3rd Person,Singular,coacticavit,coacticuit,coacticit,coacticit,He/she/it has pressed
Active Indicative,Perfect,3rd Person,Plural,coacticaverunt,coacticuerunt,coacticerunt,coacticerunt,They have pressed
Active Indicative,Pluperfect,1st Person,Singular,coacticaveram,coacticueram,coacticeram,coacticeram,I had pressed
Active Indicative,Pluperfect,1st Person,Plural,coacticaveramus,coacticueramus,coacticeramus,coacticeramus,We had pressed
Active Indicative,Pluperfect,2nd Person,Singular,coacticaveras,coacticueras,coacticeras,coacticeras,You had pressed
Active Indicative,Pluperfect,2nd Person,Plural,coacticaveratis,coacticueratis,coacticeratis,coacticeratis,You (pl.) had pressed
Active Indicative,Pluperfect,3rd Person,Singular,coacticaverat,coacticuerat,coacticerat,coacticerat,He/she/it had pressed
Active Indicative,Pluperfect,3rd Person,Plural,coacticaverant,coacticuerant,coacticerant,coacticerant,They had pressed
Active Indicative,Future Perfect,1st Person,Singular,coacticavero,coacticueero,coacticero,coacticiero,I will have pressed
Active Indicative,Future Perfect,1st Person,Plural,coacticaverimus,coacticuerimus,coacticerimus,coacticierimus,We will have pressed
Active Indicative,Future Perfect,2nd Person,Singular,coacticaveris,coacticueris,coacticeris,coacticieris,You will have pressed
Active Indicative,Future Perfect,2nd Person,Plural,coacticaveritis,coacticueritis,coacticeritis,coacticieritis,You (pl.) will have pressed
Active Indicative,Future Perfect,3rd Person,Singular,coacticaverit,coacticuerit,coacticerit,coacticierit,He/she/it will have pressed
Active Indicative,Future Perfect,3rd Person,Plural,coacticaverint,coacticuerint,coacticerint,coacticierint,They will have pressed
Passive Indicative,Present,1st Person,Singular,coacticor,coacticeor,coacticor,coacticior,I am being pressed
Passive Indicative,Present,1st Person,Plural,coacticamur,coacticemur,coacticimur,coacticimur,We are being pressed
Passive Indicative,Present,2nd Person,Singular,coacticaris,coacticeris,coacticiris,coacticiris,You are being pressed
Passive Indicative,Present,2nd Person,Plural,coacticamini,coacticemini,coacticimini,coacticimini,You (pl.) are being pressed
Passive Indicative,Present,3rd Person,Singular,coacticatur,coacticetur,coacticitur,coacticitur,He/she/it is being pressed
