Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,colligo,colligeo,colligo,colligio,I gather
Active Indicative,Present,1st Person,Plural,colligamus,colligemus,colligimus,colligimus,We gather
Active Indicative,Present,2nd Person,Singular,colligas,colliges,colligis,colligis,You gather
Active Indicative,Present,2nd Person,Plural,colligatis,colligetis,colligitis,colligitis,You (pl.) gather
Active Indicative,Present,3rd Person,Singular,colligat,colliget,colligit,colligit,He/she/it gather
Active Indicative,Present,3rd Person,Plural,colligant,colligent,colligiunt,colligiunt,They gather
Active Indicative,Imperfect,1st Person,Singular,colligabam,colligebam,colligebam,colligiebam,I was gathering
Active Indicative,Imperfect,1st Person,Plural,colligabamus,colligebamus,colligebamus,colligiebamus,We were gathering
Active Indicative,Imperfect,2nd Person,Singular,colligabas,colligebas,colligebas,colligiebas,You were gathering
Active Indicative,Imperfect,2nd Person,Plural,colligabatis,colligebatis,colligebatis,colligiebatis,You (pl.) were gathering
Active Indicative,Imperfect,3rd Person,Singular,colligabat,colligebat,colligebat,colligiebat,He/she/it was gathering
Active Indicative,Imperfect,3rd Person,Plural,colligabant,colligebant,colligebant,colligiebant,They were gathering
Active Indicative,Future,1st Person,Singular,colligabo,colligebo,colligam,colligiam,I will gather
Active Indicative,Future,1st Person,Plural,colligabimus,colligebimus,colligemus,colligiemus,We will gather
Active Indicative,Future,2nd Person,Singular,colligabis,colligebis,colliges,colligies,You will gather
Active Indicative,Future,2nd Person,Plural,colligabitis,colligebitis,colligetis,colligietis,You (pl.) will gather
Active Indicative,Future,3rd Person,Singular,colligabit,colligebit,colliget,colligiet,He/she/it will gather
Active Indicative,Future,3rd Person,Plural,colligabunt,colligebunt,colligent,colligient,They will gather
Active Indicative,Perfect,1st Person,Singular,colligavi,colligui,colligi,colligi,I have gathered
Active Indicative,Perfect,1st Person,Plural,colligavimus,colliguimus,colligimus,colligimus,We have gathered
Active Indicative,Perfect,2nd Person,Singular,colligavisti,colliguisti,colligisti,colligisti,You have gathered
Active Indicative,Perfect,2nd Person,Plural,colligavistis,colliguistis,colligistis,colligistis,You (pl.) have gathered
Active Indicative,Perfect,3rd Person,Singular,colligavit,colliguit,colligit,colligit,He/she/it has gathered
Active Indicative,Perfect,3rd Person,Plural,colligaverunt,colliguerunt,colligerunt,colligerunt,They have gathered
Active Indicative,Pluperfect,1st Person,Singular,colligaveram,colligueram,colligeram,colligeram,I had gathered
Active Indicative,Pluperfect,1st Person,Plural,colligaveramus,colligueramus,colligeramus,colligeramus,We had gathered
Active Indicative,Pluperfect,2nd Person,Singular,colligaveras,colligueras,colligeras,colligeras,You had gathered
Active Indicative,Pluperfect,2nd Person,Plural,colligaveratis,colligueratis,colligeratis,colligeratis,You (pl.) had gathered
Active Indicative,Pluperfect,3rd Person,Singular,colligaverat,colliguerat,colligerat,colligerat,He/she/it had gathered
Active Indicative,Pluperfect,3rd Person,Plural,colligaverant,colliguerant,colligerant,colligerant,They had gathered
Active Indicative,Future Perfect,1st Person,Singular,colligavero,colligueero,colligero,colligiero,I will have gathered
Active Indicative,Future Perfect,1st Person,Plural,colligaverimus,colliguerimus,colligerimus,colligierimus,We will have gathered
Active Indicative,Future Perfect,2nd Person,Singular,colligaveris,colligueris,colligeris,colligieris,You will have gathered
Active Indicative,Future Perfect,2nd Person,Plural,colligaveritis,colligueritis,colligeritis,colligieritis,You (pl.) will have gathered
Active Indicative,Future Perfect,3rd Person,Singular,colligaverit,colliguerit,colligerit,colligierit,He/she/it will have gathered
Active Indicative,Future Perfect,3rd Person,Plural,colligaverint,colliguerint,colligerint,colligierint,They will have gathered
Passive Indicative,Present,1st Person,Singular,colligor,colligeor,colligor,colligior,I am being gathered
Passive Indicative,Present,1st Person,Plural,colligamur,colligemur,colligimur,colligimur,We are being gathered
