Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,combatto,combatteo,combatto,combattio,I combat
Active Indicative,Present,1st Person,Plural,combattamus,combattemus,combattimus,combattimus,We combat
Active Indicative,Present,2nd Person,Singular,combattas,combattes,combattis,combattis,You combat
Active Indicative,Present,2nd Person,Plural,combattatis,combattetis,combattitis,combattitis,You (pl.) combat
Active Indicative,Present,3rd Person,Singular,combattat,combattet,combattit,combattit,He/she/it combat
Active Indicative,Present,3rd Person,Plural,combattant,combattent,combattiunt,combattiunt,They combat
Active Indicative,Imperfect,1st Person,Singular,combattabam,combattebam,combattebam,combattiebam,I was combating
Active Indicative,Imperfect,1st Person,Plural,combattabamus,combattebamus,combattebamus,combattiebamus,We were combating
Active Indicative,Imperfect,2nd Person,Singular,combattabas,combattebas,combattebas,combattiebas,You were combating
Active Indicative,Imperfect,2nd Person,Plural,combattabatis,combattebatis,combattebatis,combattiebatis,You (pl.) were combating
Active Indicative,Imperfect,3rd Person,Singular,combattabat,combattebat,combattebat,combattiebat,He/she/it was combating
Active Indicative,Imperfect,3rd Person,Plural,combattabant,combattebant,combattebant,combattiebant,They were combating
Active Indicative,Future,1st Person,Singular,combattabo,combattebo,combattam,combattiam,I will combat
Active Indicative,Future,1st Person,Plural,combattabimus,combattebimus,combattemus,combattiemus,We will combat
Active Indicative,Future,2nd Person,Singular,combattabis,combattebis,combattes,combatties,You will combat
Active Indicative,Future,2nd Person,Plural,combattabitis,combattebitis,combattetis,combattietis,You (pl.) will combat
Active Indicative,Future,3rd Person,Singular,combattabit,combattebit,combattet,combattiet,He/she/it will combat
Active Indicative,Future,3rd Person,Plural,combattabunt,combattebunt,combattent,combattient,They will combat
Active Indicative,Perfect,1st Person,Singular,combattavi,combattui,combatti,combatti,I have combated
Active Indicative,Perfect,1st Person,Plural,combattavimus,combattuimus,combattimus,combattimus,We have combated
Active Indicative,Perfect,2nd Person,Singular,combattavisti,combattuisti,combattisti,combattisti,You have combated
Active Indicative,Perfect,2nd Person,Plural,combattavistis,combattuistis,combattistis,combattistis,You (pl.) have combated
Active Indicative,Perfect,3rd Person,Singular,combattavit,combattuit,combattit,combattit,He/she/it has combated
Active Indicative,Perfect,3rd Person,Plural,combattaverunt,combattuerunt,combatterunt,combatterunt,They have combated
Active Indicative,Pluperfect,1st Person,Singular,combattaveram,combattueram,combatteram,combatteram,I had combated
Active Indicative,Pluperfect,1st Person,Plural,combattaveramus,combattueramus,combatteramus,combatteramus,We had combated
Active Indicative,Pluperfect,2nd Person,Singular,combattaveras,combattueras,combatteras,combatteras,You had combated
Active Indicative,Pluperfect,2nd Person,Plural,combattaveratis,combattueratis,combatteratis,combatteratis,You (pl.) had combated
Active Indicative,Pluperfect,3rd Person,Singular,combattaverat,combattuerat,combatterat,combatterat,He/she/it had combated
Active Indicative,Pluperfect,3rd Person,Plural,combattaverant,combattuerant,combatterant,combatterant,They had combated
Active Indicative,Future Perfect,1st Person,Singular,combattavero,combattueero,combattero,combattiero,I will have combated
Active Indicative,Future Perfect,1st Person,Plural,combattaverimus,combattuerimus,combatterimus,combattierimus,We will have combated
Active Indicative,Future Perfect,2nd Person,Singular,combattaveris,combattueris,combatteris,combattieris,You will have combated
Active Indicative,Future Perfect,2nd Person,Plural,combattaveritis,combattueritis,combatteritis,combattieritis,You (pl.) will have combated
Active Indicative,Future Perfect,3rd Person,Singular,combattaverit,combattuerit,combatterit,combattierit,He/she/it will have combated
Active Indicative,Future Perfect,3rd Person,Plural,combattaverint,combattuerint,combatterint,combattierint,They will have combated
Passive Indicative,Present,1st Person,Singular,combattor,combatteor,combattor,combattior,I am being combated
Passive Indicative,Present,1st Person,Plural,combattamur,combattemur,combattimur,combattimur,We are being combated
Passive Indicative,Present,2nd Person,Singular,combattaris,combatteris,combattiris,combattiris,You are being combated
Passive Indicative,Present,2nd Person,Plural,combattamini,combattemini,combattimini,combattimini,You (pl.) are being combated
Passive Indicative,Present,3rd Person,Singular,combattatur,combattetur,combattitur,combattitur,He/she/it is being combated
Passive Indicative,Present,3rd Person,Plural,combattantur,combattentur,combattiuntur,combattiuntur,They are being combated
Passive Indicative,Imperfect,1st Person,Singular,combattabar,combattebar,combattebar,combattiebar,I was combated
Passive Indicative,Imperfect,1st Person,Plural,combattabamur,combattebamur,combattebamur,combattiebamur,We were combated
Passive Indicative,Imperfect,2nd Person,Singular,combattabaris,combattebaris,combattebaris,combattiebaris,You were combated
Passive Indicative,Imperfect,2nd Person,Plural,combattabamini,combattebamini,combattebamini,combattiebamini,You (pl.) were combated
Passive Indicative,Imperfect,3rd Person,Singular,combattabatur,combattebatur,combattebatur,combattiebatur,He/she/it was combated
Passive Indicative,Imperfect,3rd Person,Plural,combattabantur,combattebantur,combattebantur,combattiebantur,They were combated
Passive Indicative,Future,1st Person,Singular,combattabor,combattebor,combattar,combattiar,I will be combated
Passive Indicative,Future,1st Person,Plural,combattabimur,combattebimur,combattemur,combattiemur,We will be combated
Passive Indicative,Future,2nd Person,Singular,combattaberis,combatteberis,combatteris,combattieris,You will be combated
Passive Indicative,Future,2nd Person,Plural,combattabimini,combattebimini,combattemini,combattiemini,You (pl.) will be combated
Passive Indicative,Future,3rd Person,Singular,combattabitur,combattebitur,combattetur,combattietur,He/she/it will be combated
Passive Indicative,Future,3rd Person,Plural,combattabuntur,combattebuntur,combattentur,combattientur,They will be combated
Passive Indicative,Perfect,1st Person,Singular,combattatus sum,combattetus sum,combattus sum,combattus sum,I have been combated
Passive Indicative,Perfect,1st Person,Plural,combattati sumus,combatteti sumus,combatti sumus,combatti sumus,We have been combated
Passive Indicative,Perfect,2nd Person,Singular,combattatus es,combattetus es,combattus es,combattus es,You have been combated
Passive Indicative,Perfect,2nd Person,Plural,combattati estis,combatteti estis,combatti estis,combatti estis,You (pl.) have been combated
Passive Indicative,Perfect,3rd Person,Singular,combattatus est,combattetus est,combattus est,combattus est,He/she/it has been combated
Passive Indicative,Perfect,3rd Person,Plural,combattati sunt,combatteti sunt,combatti sunt,combatti sunt,They have been combated
Passive Indicative,Pluperfect,1st Person,Singular,combattatus eram,combattetus eram,combattus eram,combattus eram,I had been combated
Passive Indicative,Pluperfect,1st Person,Plural,combattati eramus,combatteti eramus,combatti eramus,combatti eramus,We had been combated
Passive Indicative,Pluperfect,2nd Person,Singular,combattatus eras,combattetus eras,combattus eras,combattus eras,You had been combated
Passive Indicative,Pluperfect,2nd Person,Plural,combattati eratis,combatteti eratis,combatti eratis,combatti eratis,You (pl.) had been combated
Passive Indicative,Pluperfect,3rd Person,Singular,combattatus erat,combattetus erat,combattus erat,combattus erat,He/she/it had been combated
Passive Indicative,Pluperfect,3rd Person,Plural,combattati erant,combatteti erant,combatti erant,combatti erant,They had been combated
Passive Indicative,Future Perfect,1st Person,Singular,combattatus ero,combattetus ero,combattus ero,combattus ero,I will have been combated
Passive Indicative,Future Perfect,1st Person,Plural,combattati erimus,combatteti erimus,combatti erimus,combatti erimus,We will have been combated
Passive Indicative,Future Perfect,2nd Person,Singular,combattatus eris,combattetus eris,combattus eris,combattus eris,You will have been combated
Passive Indicative,Future Perfect,2nd Person,Plural,combattati eritis,combatteti eritis,combatti eritis,combatti eritis,You (pl.) will have been combated
Passive Indicative,Future Perfect,3rd Person,Singular,combattatus erit,combattetus erit,combattus erit,combattus erit,He/she/it will have been combated
Passive Indicative,Future Perfect,3rd Person,Plural,combattati erunt,combatteti erunt,combatti erunt,combatti erunt,They will have been combated
Active Subjunctive,Present,1st Person,Singular,combattem,combattem,combattam,combattam,I may combat
Active Subjunctive,Present,1st Person,Plural,combattemus,combattemus,combattamus,combattamus,We may combat
Active Subjunctive,Present,2nd Person,Singular,combattes,combattes,combattas,combattas,You may combat
