Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,compartio,compartieo,compartio,compartio,I share
Active Indicative,Present,1st Person,Plural,compartiamus,compartiemus,compartimus,compartimus,We share
Active Indicative,Present,2nd Person,Singular,compartias,comparties,compartis,compartis,You share
Active Indicative,Present,2nd Person,Plural,compartiatis,compartietis,compartitis,compartitis,You (pl.) share
Active Indicative,Present,3rd Person,Singular,compartiat,compartiet,compartit,compartit,He/she/it share
Active Indicative,Present,3rd Person,Plural,compartiant,compartient,compartiunt,compartiunt,They share
Active Indicative,Imperfect,1st Person,Singular,compartiabam,compartiebam,compartiebam,compartiebam,I was shareing
Active Indicative,Imperfect,1st Person,Plural,compartiabamus,compartiebamus,compartiebamus,compartiebamus,We were shareing
Active Indicative,Imperfect,2nd Person,Singular,compartiabas,compartiebas,compartiebas,compartiebas,You were shareing
Active Indicative,Imperfect,2nd Person,Plural,compartiabatis,compartiebatis,compartiebatis,compartiebatis,You (pl.) were shareing
Active Indicative,Imperfect,3rd Person,Singular,compartiabat,compartiebat,compartiebat,compartiebat,He/she/it was shareing
Active Indicative,Imperfect,3rd Person,Plural,compartiabant,compartiebant,compartiebant,compartiebant,They were shareing
Active Indicative,Future,1st Person,Singular,compartiabo,compartiebo,compartiam,compartiam,I will share
Active Indicative,Future,1st Person,Plural,compartiabimus,compartiebimus,compartiemus,compartiemus,We will share
Active Indicative,Future,2nd Person,Singular,compartiabis,compartiebis,comparties,comparties,You will share
Active Indicative,Future,2nd Person,Plural,compartiabitis,compartiebitis,compartietis,compartietis,You (pl.) will share
Active Indicative,Future,3rd Person,Singular,compartiabit,compartiebit,compartiet,compartiet,He/she/it will share
Active Indicative,Future,3rd Person,Plural,compartiabunt,compartiebunt,compartient,compartient,They will share
Active Indicative,Perfect,1st Person,Singular,compartiavi,compartiui,comparti,comparti,I have shareed
Active Indicative,Perfect,1st Person,Plural,compartiavimus,compartiuimus,compartimus,compartimus,We have shareed
Active Indicative,Perfect,2nd Person,Singular,compartiavisti,compartiuisti,compartisti,compartisti,You have shareed
Active Indicative,Perfect,2nd Person,Plural,compartiavistis,compartiuistis,compartistis,compartistis,You (pl.) have shareed
Active Indicative,Perfect,3rd Person,Singular,compartiavit,compartiuit,compartit,compartit,He/she/it has shareed
Active Indicative,Perfect,3rd Person,Plural,compartiaverunt,compartiuerunt,compartierunt,compartierunt,They have shareed
Active Indicative,Pluperfect,1st Person,Singular,compartiaveram,compartiueram,compartieram,compartieram,I had shareed
Active Indicative,Pluperfect,1st Person,Plural,compartiaveramus,compartiueramus,compartieramus,compartieramus,We had shareed
Active Indicative,Pluperfect,2nd Person,Singular,compartiaveras,compartiueras,compartieras,compartieras,You had shareed
Active Indicative,Pluperfect,2nd Person,Plural,compartiaveratis,compartiueratis,compartieratis,compartieratis,You (pl.) had shareed
Active Indicative,Pluperfect,3rd Person,Singular,compartiaverat,compartiuerat,compartierat,compartierat,He/she/it had shareed
Active Indicative,Pluperfect,3rd Person,Plural,compartiaverant,compartiuerant,compartierant,compartierant,They had shareed
Active Indicative,Future Perfect,1st Person,Singular,compartiavero,compartiueero,compartiero,compartiero,I will have shareed
Active Indicative,Future Perfect,1st Person,Plural,compartiaverimus,compartiuerimus,compartierimus,compartierimus,We will have shareed
Active Indicative,Future Perfect,2nd Person,Singular,compartiaveris,compartiueris,compartieris,compartieris,You will have shareed
Active Indicative,Future Perfect,2nd Person,Plural,compartiaveritis,compartiueritis,compartieritis,compartieritis,You (pl.) will have shareed
Active Indicative,Future Perfect,3rd Person,Singular,compartiaverit,compartiuerit,compartierit,compartierit,He/she/it will have shareed
Active Indicative,Future Perfect,3rd Person,Plural,compartiaverint,compartiuerint,compartierint,compartierint,They will have shareed
Passive Indicative,Present,1st Person,Singular,compartior,compartieor,compartior,compartior,I am being shareed
Passive Indicative,Present,1st Person,Plural,compartiamur,compartiemur,compartimur,compartimur,We are being shareed
Passive Indicative,Present,2nd Person,Singular,compartiaris,compartieris,compartiris,compartiris,You are being shareed
Passive Indicative,Present,2nd Person,Plural,compartiamini,compartiemini,compartimini,compartimini,You (pl.) are being shareed
Passive Indicative,Present,3rd Person,Singular,compartiatur,compartietur,compartitur,compartitur,He/she/it is being shareed
Passive Indicative,Present,3rd Person,Plural,compartiantur,compartientur,compartiuntur,compartiuntur,They are being shareed
Passive Indicative,Imperfect,1st Person,Singular,compartiabar,compartiebar,compartiebar,compartiebar,I was shareed
Passive Indicative,Imperfect,1st Person,Plural,compartiabamur,compartiebamur,compartiebamur,compartiebamur,We were shareed
Passive Indicative,Imperfect,2nd Person,Singular,compartiabaris,compartiebaris,compartiebaris,compartiebaris,You were shareed
Passive Indicative,Imperfect,2nd Person,Plural,compartiabamini,compartiebamini,compartiebamini,compartiebamini,You (pl.) were shareed
Passive Indicative,Imperfect,3rd Person,Singular,compartiabatur,compartiebatur,compartiebatur,compartiebatur,He/she/it was shareed
Passive Indicative,Imperfect,3rd Person,Plural,compartiabantur,compartiebantur,compartiebantur,compartiebantur,They were shareed
Passive Indicative,Future,1st Person,Singular,compartiabor,compartiebor,compartiar,compartiar,I will be shareed
Passive Indicative,Future,1st Person,Plural,compartiabimur,compartiebimur,compartiemur,compartiemur,We will be shareed
Passive Indicative,Future,2nd Person,Singular,compartiaberis,compartieberis,compartieris,compartieris,You will be shareed
Passive Indicative,Future,2nd Person,Plural,compartiabimini,compartiebimini,compartiemini,compartiemini,You (pl.) will be shareed
Passive Indicative,Future,3rd Person,Singular,compartiabitur,compartiebitur,compartietur,compartietur,He/she/it will be shareed
Passive Indicative,Future,3rd Person,Plural,compartiabuntur,compartiebuntur,compartientur,compartientur,They will be shareed
Passive Indicative,Perfect,1st Person,Singular,compartiatus sum,compartietus sum,compartius sum,compartius sum,I have been shareed
Passive Indicative,Perfect,1st Person,Plural,compartiati sumus,compartieti sumus,comparti sumus,comparti sumus,We have been shareed
Passive Indicative,Perfect,2nd Person,Singular,compartiatus es,compartietus es,compartius es,compartius es,You have been shareed
