Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,concordo,concordeo,concordo,concordio,I agree
Active Indicative,Present,1st Person,Plural,concordamus,concordemus,concordimus,concordimus,We agree
Active Indicative,Present,2nd Person,Singular,concordas,concordes,concordis,concordis,You agree
Active Indicative,Present,2nd Person,Plural,concordatis,concordetis,concorditis,concorditis,You (pl.) agree
Active Indicative,Present,3rd Person,Singular,concordat,concordet,concordit,concordit,He/she/it agree
Active Indicative,Present,3rd Person,Plural,concordant,concordent,concordiunt,concordiunt,They agree
Active Indicative,Imperfect,1st Person,Singular,concordabam,concordebam,concordebam,concordiebam,I was agreeing
Active Indicative,Imperfect,1st Person,Plural,concordabamus,concordebamus,concordebamus,concordiebamus,We were agreeing
Active Indicative,Imperfect,2nd Person,Singular,concordabas,concordebas,concordebas,concordiebas,You were agreeing
Active Indicative,Imperfect,2nd Person,Plural,concordabatis,concordebatis,concordebatis,concordiebatis,You (pl.) were agreeing
Active Indicative,Imperfect,3rd Person,Singular,concordabat,concordebat,concordebat,concordiebat,He/she/it was agreeing
Active Indicative,Imperfect,3rd Person,Plural,concordabant,concordebant,concordebant,concordiebant,They were agreeing
Active Indicative,Future,1st Person,Singular,concordabo,concordebo,concordam,concordiam,I will agree
Active Indicative,Future,1st Person,Plural,concordabimus,concordebimus,concordemus,concordiemus,We will agree
Active Indicative,Future,2nd Person,Singular,concordabis,concordebis,concordes,concordies,You will agree
Active Indicative,Future,2nd Person,Plural,concordabitis,concordebitis,concordetis,concordietis,You (pl.) will agree
Active Indicative,Future,3rd Person,Singular,concordabit,concordebit,concordet,concordiet,He/she/it will agree
Active Indicative,Future,3rd Person,Plural,concordabunt,concordebunt,concordent,concordient,They will agree
Active Indicative,Perfect,1st Person,Singular,concordavi,concordui,concordi,concordi,I have agreeed
Active Indicative,Perfect,1st Person,Plural,concordavimus,concorduimus,concordimus,concordimus,We have agreeed
Active Indicative,Perfect,2nd Person,Singular,concordavisti,concorduisti,concordisti,concordisti,You have agreeed
Active Indicative,Perfect,2nd Person,Plural,concordavistis,concorduistis,concordistis,concordistis,You (pl.) have agreeed
Active Indicative,Perfect,3rd Person,Singular,concordavit,concorduit,concordit,concordit,He/she/it has agreeed
Active Indicative,Perfect,3rd Person,Plural,concordaverunt,concorduerunt,concorderunt,concorderunt,They have agreeed
Active Indicative,Pluperfect,1st Person,Singular,concordaveram,concordueram,concorderam,concorderam,I had agreeed
Active Indicative,Pluperfect,1st Person,Plural,concordaveramus,concordueramus,concorderamus,concorderamus,We had agreeed
Active Indicative,Pluperfect,2nd Person,Singular,concordaveras,concordueras,concorderas,concorderas,You had agreeed
Active Indicative,Pluperfect,2nd Person,Plural,concordaveratis,concordueratis,concorderatis,concorderatis,You (pl.) had agreeed
Active Indicative,Pluperfect,3rd Person,Singular,concordaverat,concorduerat,concorderat,concorderat,He/she/it had agreeed
Active Indicative,Pluperfect,3rd Person,Plural,concordaverant,concorduerant,concorderant,concorderant,They had agreeed
Active Indicative,Future Perfect,1st Person,Singular,concordavero,concordueero,concordero,concordiero,I will have agreeed
Active Indicative,Future Perfect,1st Person,Plural,concordaverimus,concorduerimus,concorderimus,concordierimus,We will have agreeed
Active Indicative,Future Perfect,2nd Person,Singular,concordaveris,concordueris,concorderis,concordieris,You will have agreeed
Active Indicative,Future Perfect,2nd Person,Plural,concordaveritis,concordueritis,concorderitis,concordieritis,You (pl.) will have agreeed
Active Indicative,Future Perfect,3rd Person,Singular,concordaverit,concorduerit,concorderit,concordierit,He/she/it will have agreeed
Active Indicative,Future Perfect,3rd Person,Plural,concordaverint,concorduerint,concorderint,concordierint,They will have agreeed
Passive Indicative,Present,1st Person,Singular,concordor,concordeor,concordor,concordior,I am being agreeed
Passive Indicative,Present,1st Person,Plural,concordamur,concordemur,concordimur,concordimur,We are being agreeed
Passive Indicative,Present,2nd Person,Singular,concordaris,concorderis,concordiris,concordiris,You are being agreeed
Passive Indicative,Present,2nd Person,Plural,concordamini,concordemini,concordimini,concordimini,You (pl.) are being agreeed
Passive Indicative,Present,3rd Person,Singular,concordatur,concordetur,concorditur,concorditur,He/she/it is being agreeed
Passive Indicative,Present,3rd Person,Plural,concordantur,concordentur,concordiuntur,concordiuntur,They are being agreeed
Passive Indicative,Imperfect,1st Person,Singular,concordabar,concordebar,concordebar,concordiebar,I was agreeed
Passive Indicative,Imperfect,1st Person,Plural,concordabamur,concordebamur,concordebamur,concordiebamur,We were agreeed
Passive Indicative,Imperfect,2nd Person,Singular,concordabaris,concordebaris,concordebaris,concordiebaris,You were agreeed
Passive Indicative,Imperfect,2nd Person,Plural,concordabamini,concordebamini,concordebamini,concordiebamini,You (pl.) were agreeed
Passive Indicative,Imperfect,3rd Person,Singular,concordabatur,concordebatur,concordebatur,concordiebatur,He/she/it was agreeed
Passive Indicative,Imperfect,3rd Person,Plural,concordabantur,concordebantur,concordebantur,concordiebantur,They were agreeed
Passive Indicative,Future,1st Person,Singular,concordabor,concordebor,concordar,concordiar,I will be agreeed
Passive Indicative,Future,1st Person,Plural,concordabimur,concordebimur,concordemur,concordiemur,We will be agreeed
Passive Indicative,Future,2nd Person,Singular,concordaberis,concordeberis,concorderis,concordieris,You will be agreeed
Passive Indicative,Future,2nd Person,Plural,concordabimini,concordebimini,concordemini,concordiemini,You (pl.) will be agreeed
Passive Indicative,Future,3rd Person,Singular,concordabitur,concordebitur,concordetur,concordietur,He/she/it will be agreeed
Passive Indicative,Future,3rd Person,Plural,concordabuntur,concordebuntur,concordentur,concordientur,They will be agreeed
Passive Indicative,Perfect,1st Person,Singular,concordatus sum,concordetus sum,concordus sum,concordus sum,I have been agreeed
Passive Indicative,Perfect,1st Person,Plural,concordati sumus,concordeti sumus,concordi sumus,concordi sumus,We have been agreeed
Passive Indicative,Perfect,2nd Person,Singular,concordatus es,concordetus es,concordus es,concordus es,You have been agreeed
Passive Indicative,Perfect,2nd Person,Plural,concordati estis,concordeti estis,concordi estis,concordi estis,You (pl.) have been agreeed
Passive Indicative,Perfect,3rd Person,Singular,concordatus est,concordetus est,concordus est,concordus est,He/she/it has been agreeed
Passive Indicative,Perfect,3rd Person,Plural,concordati sunt,concordeti sunt,concordi sunt,concordi sunt,They have been agreeed
Passive Indicative,Pluperfect,1st Person,Singular,concordatus eram,concordetus eram,concordus eram,concordus eram,I had been agreeed
Passive Indicative,Pluperfect,1st Person,Plural,concordati eramus,concordeti eramus,concordi eramus,concordi eramus,We had been agreeed
Passive Indicative,Pluperfect,2nd Person,Singular,concordatus eras,concordetus eras,concordus eras,concordus eras,You had been agreeed
Passive Indicative,Pluperfect,2nd Person,Plural,concordati eratis,concordeti eratis,concordi eratis,concordi eratis,You (pl.) had been agreeed
Passive Indicative,Pluperfect,3rd Person,Singular,concordatus erat,concordetus erat,concordus erat,concordus erat,He/she/it had been agreeed
Passive Indicative,Pluperfect,3rd Person,Plural,concordati erant,concordeti erant,concordi erant,concordi erant,They had been agreeed
Passive Indicative,Future Perfect,1st Person,Singular,concordatus ero,concordetus ero,concordus ero,concordus ero,I will have been agreeed
Passive Indicative,Future Perfect,1st Person,Plural,concordati erimus,concordeti erimus,concordi erimus,concordi erimus,We will have been agreeed
Passive Indicative,Future Perfect,2nd Person,Singular,concordatus eris,concordetus eris,concordus eris,concordus eris,You will have been agreeed
Passive Indicative,Future Perfect,2nd Person,Plural,concordati eritis,concordeti eritis,concordi eritis,concordi eritis,You (pl.) will have been agreeed
Passive Indicative,Future Perfect,3rd Person,Singular,concordatus erit,concordetus erit,concordus erit,concordus erit,He/she/it will have been agreeed
Passive Indicative,Future Perfect,3rd Person,Plural,concordati erunt,concordeti erunt,concordi erunt,concordi erunt,They will have been agreeed
Active Subjunctive,Present,1st Person,Singular,concordem,concordem,concordam,concordam,I may agree
Active Subjunctive,Present,1st Person,Plural,concordemus,concordemus,concordamus,concordamus,We may agree
Active Subjunctive,Present,2nd Person,Singular,concordes,concordes,concordas,concordas,You may agree
Active Subjunctive,Present,2nd Person,Plural,concordetis,concordetis,concordatis,concordatis,You (pl.) may agree
Active Subjunctive,Present,3rd Person,Singular,concordet,concordet,concordat,concordat,He/she/it may agree
Active Subjunctive,Present,3rd Person,Plural,concordent,concordent,concordant,concordant,They may agree
Active Subjunctive,Imperfect,1st Person,Singular,concordarem,concorderem,concorderem,concordirem,I should agree
Active Subjunctive,Imperfect,1st Person,Plural,concordaremus,concorderemus,concorderemus,concordiremus,We should agree
Active Subjunctive,Imperfect,2nd Person,Singular,concordares,concorderes,concorderes,concordires,You should agree
Active Subjunctive,Imperfect,2nd Person,Plural,concordaretis,concorderetis,concorderetis,concordiretis,You (pl.) should agree
Active Subjunctive,Imperfect,3rd Person,Singular,concordaret,concorderet,concorderet,concordiret,He/she/it should agree
Active Subjunctive,Imperfect,3rd Person,Plural,concordarent,concorderent,concorderent,concordirent,They should agree
Active Subjunctive,Perfect,1st Person,Singular,concorderim,concorduerim,concorderim,concordierim,I may have agreeed
Active Subjunctive,Perfect,1st Person,Plural,concorderimus,concorduerimus,concorderimus,concordierimus,We may have agreeed
Active Subjunctive,Perfect,2nd Person,Singular,concorderis,concordueris,concorderis,concordieris,You may have agreeed
Active Subjunctive,Perfect,2nd Person,Plural,concorderitis,concordueritis,concorderitis,concordieritis,You (pl.) may have agreeed
Active Subjunctive,Perfect,3rd Person,Singular,concorderit,concorduerit,concorderit,concordierit,He/she/it may have agreeed
Active Subjunctive,Perfect,3rd Person,Plural,concorderint,concorduerint,concorderint,concordierint,They may have agreeed
Active Subjunctive,Pluperfect,1st Person,Singular,concordissem,concorduissem,concordissem,concordissem,I should have agreeed
Active Subjunctive,Pluperfect,1st Person,Plural,concordissemus,concorduissemus,concordissemus,concordissemus,We should have agreeed
Active Subjunctive,Pluperfect,2nd Person,Singular,concordisses,concorduisses,concordisses,concordisses,You would have agreeed
Active Subjunctive,Pluperfect,2nd Person,Plural,concordissetis,concorduissetis,concordissetis,concordissetis,You (pl.) would have agreeed
Active Subjunctive,Pluperfect,3rd Person,Singular,concordisset,concorduisset,concordisset,concordisset,He/she/it would have agreeed
Active Subjunctive,Pluperfect,3rd Person,Plural,concordissent,concorduissent,concordissent,concordissent,They would have agreeed
Passive Subjunctive,Present,1st Person,Singular,concorder,concorder,concordar,concordar,I may be agreeed
Passive Subjunctive,Present,1st Person,Plural,concordemur,concordemur,concordamur,concordamur,We may be agreeed
Passive Subjunctive,Present,2nd Person,Singular,concorderis,concorderis,concordaris,concordaris,You may be agreeed
Passive Subjunctive,Present,2nd Person,Plural,concordemini,concordemini,concordamini,concordamini,You (pl.) may be agreeed
Passive Subjunctive,Present,3rd Person,Singular,concordetur,concordetur,concordatur,concordatur,He/she/it may be agreeed
Passive Subjunctive,Present,3rd Person,Plural,concordentur,concordentur,concordantur,concordantur,They may be agreeed
Passive Subjunctive,Imperfect,1st Person,Singular,concordarer,concorderer,concorderer,concordirer,I should be agreeed
Passive Subjunctive,Imperfect,1st Person,Plural,concordaremur,concorderemur,concorderemur,concordiremur,We should be agreeed
Passive Subjunctive,Imperfect,2nd Person,Singular,concordareris,concordereris,concordereris,concordireris,You would be agreeed
Passive Subjunctive,Imperfect,2nd Person,Plural,concordaremini,concorderemini,concorderemini,concordiremini,You (pl.) would be agreeed
Passive Subjunctive,Imperfect,3rd Person,Singular,concordaretur,concorderetur,concorderetur,concordiretur,He/she/it would be agreeed
Passive Subjunctive,Imperfect,3rd Person,Plural,concordarentur,concorderentur,concorderentur,concordirentur,They would be agreeed
Passive Subjunctive,Perfect,1st Person,Singular,concordatus sim,concordetus sim,concordus sim,concordus sim,I may have been agreeed
Passive Subjunctive,Perfect,1st Person,Plural,concordati simus,concordeti simus,concordi simus,concordi simus,We may have been agreeed
Passive Subjunctive,Perfect,2nd Person,Singular,concordatus sis,concordetus sis,concordus sis,concordus sis,You may have been agreeed
Passive Subjunctive,Perfect,2nd Person,Plural,concordati sitis,concordeti sitis,concordi sitis,concordi sitis,You (pl.) may have been agreeed
Passive Subjunctive,Perfect,3rd Person,Singular,concordatus sit,concordetus sit,concordus sit,concordus sit,He/she/it may have been agreeed
Passive Subjunctive,Perfect,3rd Person,Plural,concordati sint,concordeti sint,concordi sint,concordi sint,They may have been agreeed
Passive Subjunctive,Pluperfect,1st Person,Singular,concordatus essem,concordetus essem,concordus essem,concordus essem,I should have been agreeed
Passive Subjunctive,Pluperfect,1st Person,Plural,concordati essemus,concordeti essemus,concordi essemus,concordi essemus,We should have been agreeed
Passive Subjunctive,Pluperfect,2nd Person,Singular,concordatus esses,concordetus esses,concordus esses,concordus esses,You would have been agreeed
Passive Subjunctive,Pluperfect,2nd Person,Plural,concordati essetis,concordeti essetis,concordi essetis,concordi essetis,You (pl.) would have been agreeed
Passive Subjunctive,Pluperfect,3rd Person,Singular,concordatus esset,concordetus esset,concordus esset,concordus esset,He/she/it would have been agreeed
Passive Subjunctive,Pluperfect,3rd Person,Plural,concordati essent,concordeti essent,concordi essent,concordi essent,They would have been agreeed
