Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,concrepo,concrepeo,concrepo,concrepio,I creak
Active Indicative,Present,1st Person,Plural,concrepamus,concrepemus,concrepimus,concrepimus,We creak
Active Indicative,Present,2nd Person,Singular,concrepas,concrepes,concrepis,concrepis,You creak
Active Indicative,Present,2nd Person,Plural,concrepatis,concrepetis,concrepitis,concrepitis,You (pl.) creak
Active Indicative,Present,3rd Person,Singular,concrepat,concrepet,concrepit,concrepit,He/she/it creak
Active Indicative,Present,3rd Person,Plural,concrepant,concrepent,concrepiunt,concrepiunt,They creak
Active Indicative,Imperfect,1st Person,Singular,concrepabam,concrepebam,concrepebam,concrepiebam,I was creaking
Active Indicative,Imperfect,1st Person,Plural,concrepabamus,concrepebamus,concrepebamus,concrepiebamus,We were creaking
Active Indicative,Imperfect,2nd Person,Singular,concrepabas,concrepebas,concrepebas,concrepiebas,You were creaking
Active Indicative,Imperfect,2nd Person,Plural,concrepabatis,concrepebatis,concrepebatis,concrepiebatis,You (pl.) were creaking
Active Indicative,Imperfect,3rd Person,Singular,concrepabat,concrepebat,concrepebat,concrepiebat,He/she/it was creaking
Active Indicative,Imperfect,3rd Person,Plural,concrepabant,concrepebant,concrepebant,concrepiebant,They were creaking
Active Indicative,Future,1st Person,Singular,concrepabo,concrepebo,concrepam,concrepiam,I will creak
Active Indicative,Future,1st Person,Plural,concrepabimus,concrepebimus,concrepemus,concrepiemus,We will creak
Active Indicative,Future,2nd Person,Singular,concrepabis,concrepebis,concrepes,concrepies,You will creak
Active Indicative,Future,2nd Person,Plural,concrepabitis,concrepebitis,concrepetis,concrepietis,You (pl.) will creak
Active Indicative,Future,3rd Person,Singular,concrepabit,concrepebit,concrepet,concrepiet,He/she/it will creak
Active Indicative,Future,3rd Person,Plural,concrepabunt,concrepebunt,concrepent,concrepient,They will creak
Active Indicative,Perfect,1st Person,Singular,concrepavi,concrepui,concrepi,concrepi,I have creaked
Active Indicative,Perfect,1st Person,Plural,concrepavimus,concrepuimus,concrepimus,concrepimus,We have creaked
Active Indicative,Perfect,2nd Person,Singular,concrepavisti,concrepuisti,concrepisti,concrepisti,You have creaked
