Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,congelo,congeleo,congelo,congelio,I freeze
Active Indicative,Present,1st Person,Plural,congelamus,congelemus,congelimus,congelimus,We freeze
Active Indicative,Present,2nd Person,Singular,congelas,congeles,congelis,congelis,You freeze
Active Indicative,Present,2nd Person,Plural,congelatis,congeletis,congelitis,congelitis,You (pl.) freeze
Active Indicative,Present,3rd Person,Singular,congelat,congelet,congelit,congelit,He/she/it freeze
Active Indicative,Present,3rd Person,Plural,congelant,congelent,congeliunt,congeliunt,They freeze
Active Indicative,Imperfect,1st Person,Singular,congelabam,congelebam,congelebam,congeliebam,I was freezeing
Active Indicative,Imperfect,1st Person,Plural,congelabamus,congelebamus,congelebamus,congeliebamus,We were freezeing
Active Indicative,Imperfect,2nd Person,Singular,congelabas,congelebas,congelebas,congeliebas,You were freezeing
Active Indicative,Imperfect,2nd Person,Plural,congelabatis,congelebatis,congelebatis,congeliebatis,You (pl.) were freezeing
Active Indicative,Imperfect,3rd Person,Singular,congelabat,congelebat,congelebat,congeliebat,He/she/it was freezeing
Active Indicative,Imperfect,3rd Person,Plural,congelabant,congelebant,congelebant,congeliebant,They were freezeing
Active Indicative,Future,1st Person,Singular,congelabo,congelebo,congelam,congeliam,I will freeze
Active Indicative,Future,1st Person,Plural,congelabimus,congelebimus,congelemus,congeliemus,We will freeze
Active Indicative,Future,2nd Person,Singular,congelabis,congelebis,congeles,congelies,You will freeze
Active Indicative,Future,2nd Person,Plural,congelabitis,congelebitis,congeletis,congelietis,You (pl.) will freeze
Active Indicative,Future,3rd Person,Singular,congelabit,congelebit,congelet,congeliet,He/she/it will freeze
Active Indicative,Future,3rd Person,Plural,congelabunt,congelebunt,congelent,congelient,They will freeze
Active Indicative,Perfect,1st Person,Singular,congelavi,congelui,congeli,congeli,I have freezeed
Active Indicative,Perfect,1st Person,Plural,congelavimus,congeluimus,congelimus,congelimus,We have freezeed
Active Indicative,Perfect,2nd Person,Singular,congelavisti,congeluisti,congelisti,congelisti,You have freezeed
Active Indicative,Perfect,2nd Person,Plural,congelavistis,congeluistis,congelistis,congelistis,You (pl.) have freezeed
Active Indicative,Perfect,3rd Person,Singular,congelavit,congeluit,congelit,congelit,He/she/it has freezeed
Active Indicative,Perfect,3rd Person,Plural,congelaverunt,congeluerunt,congelerunt,congelerunt,They have freezeed
Active Indicative,Pluperfect,1st Person,Singular,congelaveram,congelueram,congeleram,congeleram,I had freezeed
Active Indicative,Pluperfect,1st Person,Plural,congelaveramus,congelueramus,congeleramus,congeleramus,We had freezeed
Active Indicative,Pluperfect,2nd Person,Singular,congelaveras,congelueras,congeleras,congeleras,You had freezeed
Active Indicative,Pluperfect,2nd Person,Plural,congelaveratis,congelueratis,congeleratis,congeleratis,You (pl.) had freezeed
Active Indicative,Pluperfect,3rd Person,Singular,congelaverat,congeluerat,congelerat,congelerat,He/she/it had freezeed
Active Indicative,Pluperfect,3rd Person,Plural,congelaverant,congeluerant,congelerant,congelerant,They had freezeed
Active Indicative,Future Perfect,1st Person,Singular,congelavero,congelueero,congelero,congeliero,I will have freezeed
Active Indicative,Future Perfect,1st Person,Plural,congelaverimus,congeluerimus,congelerimus,congelierimus,We will have freezeed
Active Indicative,Future Perfect,2nd Person,Singular,congelaveris,congelueris,congeleris,congelieris,You will have freezeed
