Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
A,P,1,S,o,eo,o,io,I {Base}
A,P,1,P,amus,emus,imus,imus,We {Base}
A,P,2,S,as,es,is,is,You {Base}
A,P,2,P,atis,etis,itis,itis,You (pl.) {Base}
A,P,3,S,at,et,it,it,He/she/it {Base}
A,P,3,P,ant,ent,iunt,iunt,They {Base}
A,I,1,S,abam,ebam,ebam,iebam,I was {PresentParticiple}
A,I,1,P,abamus,ebamus,ebamus,iebamus,We were {PresentParticiple}
A,I,2,S,abas,ebas,ebas,iebas,You were {PresentParticiple}
A,I,2,P,abatis,ebatis,ebatis,iebatis,You (pl.) were {PresentParticiple}
A,I,3,S,abat,ebat,ebat,iebat,He/she/it was {PresentParticiple}
A,I,3,P,abant,ebant,ebant,iebant,They were {PresentParticiple}
A,F,1,S,abo,ebo,am,iam,I will {Base}
A,F,1,P,abimus,ebimus,emus,iemus,We will {Base}
A,F,2,S,abis,ebis,es,ies,You will {Base}
A,F,2,P,abitis,ebitis,etis,ietis,You (pl.) will {Base}
A,F,3,S,abit,ebit,et,iet,He/she/it will {Base}
A,F,3,P,abunt,ebunt,ent,ient,They will {Base}
A,PR,1,S,avi,ui,i,i,I have {PastParticiple}
A,PR,1,P,avimus,uimus,imus,imus,We have {PastParticiple}
A,PR,2,S,avisti,uisti,isti,isti,You have {PastParticiple}
A,PR,2,P,avistis,uistis,istis,istis,You (pl.) have {PastParticiple}
A,PR,3,S,avit,uit,it,it,He/she/it has {PastParticiple}
A,PR,3,P,averunt,uerunt,erunt,erunt,They have {PastParticiple}
A,PF,1,S,averam,ueram,eram,eram,I had {PastParticiple}
A,PF,1,P,averamus,ueramus,eramus,eramus,We had {PastParticiple}
A,PF,2,S,averas,ueras,eras,eras,You had {PastParticiple}
A,PF,2,P,averatis,ueratis,eratis,eratis,You (pl.) had {PastParticiple}
A,PF,3,S,averat,uerat,erat,erat,He/she/it had {PastParticiple}
A,PF,3,P,averant,uerant,erant,erant,They had {PastParticiple}
A,FP,1,S,avero,ueero,ero,iero,I will have {PastParticiple}
A,FP,1,P,averimus,uerimus,erimus,ierimus,We will have {PastParticiple}
A,FP,2,S,averis,ueris,eris,ieris,You will have {PastParticiple}
A,FP,2,P,averitis,ueritis,eritis,ieritis,You (pl.) will have {PastParticiple}
A,FP,3,S,averit,uerit,erit,ierit,He/she/it will have {PastParticiple}
A,FP,3,P,averint,uerint,erint,ierint,They will have {PastParticiple}
PI,P,1,S,or,eor,or,ior,I am being {PastParticiple}
PI,P,1,P,amur,emur,imur,imur,We are being {PastParticiple}
PI,P,2,S,aris,eris,iris,iris,You are being {PastParticiple}
PI,P,2,P,amini,emini,imini,imini,You (pl.) are being {PastParticiple}
PI,P,3,S,atur,etur,itur,itur,He/she/it is being {PastParticiple}
PI,P,3,P,antur,entur,iuntur,iuntur,They are being {PastParticiple}
PI,I,1,S,abar,ebar,ebar,iebar,I was {PastParticiple}
PI,I,1,P,abamur,ebamur,ebamur,iebamur,We were {PastParticiple}
PI,I,2,S,abaris,ebaris,ebaris,iebaris,You were {PastParticiple}
PI,I,2,P,abamini,ebamini,ebamini,iebamini,You (pl.) were {PastParticiple}
PI,I,3,S,abatur,ebatur,ebatur,iebatur,He/she/it was {PastParticiple}
PI,I,3,P,abantur,ebantur,ebantur,iebantur,They were {PastParticiple}
PI,F,1,S,abor,ebor,ar,iar,I will be {PastParticiple}
PI,F,1,P,abimur,ebimur,emur,iemur,We will be {PastParticiple}
PI,F,2,S,aberis,eberis,eris,ieris,You will be {PastParticiple}
PI,F,2,P,abimini,ebimini,emini,iemini,You (pl.) will be {PastParticiple}
PI,F,3,S,abitur,ebitur,etur,ietur,He/she/it will be {PastParticiple}
PI,F,3,P,abuntur,ebuntur,entur,ientur,They will be {PastParticiple}
PI,PR,1,S,atus sum,etus sum,us sum,us sum,I have been {PastParticiple}
PI,PR,1,P,ati sumus,eti sumus,i sumus,i sumus,We have been {PastParticiple}
PI,PR,2,S,atus es,etus es,us es,us es,You have been {PastParticiple}
